DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,DSI,FEX_C,RAMA4D_D_R4,RAMA2D_D_R4,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSCY,RAMA4D_D
4707237,1,2,1,,1,1,1773.126025,7110,71,68,2018,09,201809,70,1,48,1,2,156,1,9,2,2,,1,1,,,1,,,2,,3000000,2,,21,21,45,1,4530
4707239,1,2,1,,1,1,7092.5040999,1410,14,68,2018,09,201809,70,24,24,5,2,720,1,4,2,2,,,,1,,,,,2,,3000000,2,,79,79,18,2,1810
4707240,1,2,1,,1,1,4123.9101542,7490,74,68,2018,09,201809,70,4,48,1,2,12,1,9,2,4,,,,,,,,1,2,,2000000,2,,19,19,92,1,9249
4707247,1,2,1,,1,1,3264.0094016,,,68,2018,09,201809,70,1,48,1,1,,,,,,,,,,,,,,,,781242,,,33,,,1,
4707293,1,3,1,05,1,1,744.54925172,1811,18,05,2018,09,201809,70,8,48,1,2,8,1,6,2,8,,,,,,,,1,2,,781200,2,,45,87,22,1,2220
4707298,1,2,1,05,1,1,1279.9014426,4771,47,05,2018,09,201809,70,2,48,1,2,24,1,2,2,2,,,,,,,,1,2,,781242,2,,45,45,52,1,5233
4707312,1,3,1,05,1,1,956.15321037,4643,46,05,2018,09,201809,70,8,48,1,2,12,1,2,2,7,,,,,,,,1,2,,781242,2,,97,45,51,1,5133
4707322,1,2,1,05,1,1,1100.8541187,9511,95,05,2018,09,201809,70,208,48,1,2,4,4,1,2,7,,,,,,,,1,1,50000,781200,2,,03,85,72,2,7250
4707326,1,1,1,05,1,1,573.13286912,8560,85,05,2018,09,201809,70,104,24,4,2,99,4,1,2,1,,,,,,,,1,2,,781242,2,,13,13,80,2,8041
4707342,1,2,1,05,1,1,663.82362386,4631,46,05,2018,09,201809,70,12,48,1,2,12,1,9,2,2,,,,,,,,1,2,,781242,2,,39,97,51,1,5125
4707344,1,1,1,05,1,1,1154.1026398,4111,41,05,2018,09,201809,70,6,60,1,2,6,1,6,2,7,,,,,,,,1,1,1600000,2400000,2,,02,02,70,1,7010
4707357,1,1,1,05,1,1,1045.3200042,4774,47,05,2018,09,201809,70,12,48,4,2,260,1,6,2,1,,,,,,,,1,2,,781200,2,,53,55,52,1,5239
4707357,1,2,1,05,1,1,1045.3200042,4754,47,05,2018,09,201809,70,4,48,1,2,4,1,9,2,1,,,,,,,,1,2,,781200,2,,45,45,52,1,5235
4707360,1,1,1,05,1,1,1146.4065418,8010,80,05,2018,09,201809,70,33,48,1,2,33,1,9,2,1,,,,,,,,1,2,,850000,2,,39,03,74,2,7492
4707368,1,3,1,05,1,1,1399.6498186,4771,47,05,2018,09,201809,70,4,16,1,2,8,1,2,2,2,,,,,,,,1,2,,781242,2,,19,45,52,1,5233
4707374,1,3,1,05,1,1,853.47832905,,,05,2018,09,201809,70,52,30,2,1,,,,,,,,,,,,,,,,1000000,,,03,,,2,
4707375,1,1,1,05,1,1,573.13286912,1081,10,05,2018,09,201809,70,16,48,1,2,312,1,2,2,2,,,,,,,,1,1,60000,781242,2,,45,45,15,2,1551
4707376,1,1,1,05,1,1,793.04604572,4754,47,05,2018,09,201809,70,16,48,1,2,27,1,7,2,2,,,,,,,,1,2,,781242,2,,45,39,72,2,7220
4707376,1,2,1,05,1,1,793.04604572,1081,10,05,2018,09,201809,70,16,48,1,2,17,1,3,2,7,,,,,,,,1,2,,781242,2,,37,97,15,2,1551
