DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,P5220,P5220S1,P6008,P6007,P6007S1,P4000,P4010,P4020,P4030S1,P4030S1A1,P4030S2,P4030S3,P4030S4,P4030S4A1,P4030S5,P4040,REGIS,P6006
4707234,1,1,1,,1,2114.85406,68,2018,09,201809,3,1,1,1,1,10,1,3,2,1700000,250000000,1200000,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,,2,1,4,1,4,1,1,1,3,1,1,01,
4707235,1,1,1,,1,1773.126025,68,2018,09,201809,4,1,1,1,1,1,1,3,2,2000000,300000000,2100000,,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,,2,1,4,1,4,1,1,1,3,1,1,01,
4707236,1,1,1,,1,3106.3958902,68,2018,09,201809,4,1,1,1,1,1,1,3,1,,98,2100000,,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,,2,1,4,1,4,1,1,1,3,1,1,01,
4707237,1,1,1,,1,1773.126025,68,2018,09,201809,4,1,1,1,1,10,1,3,1,,98,1800000,,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,,2,1,4,1,4,1,1,1,3,1,1,01,
4707238,1,1,1,,1,1773.126025,68,2018,09,201809,4,1,1,1,1,1,3,3,1,,250000000,1300000,,2,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,2,,2,1,4,1,4,1,1,1,3,1,1,01,
4707239,1,1,1,,1,7092.5040999,68,2018,09,201809,4,3,1,1,1,1,1,3,3,,,,1600000,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,4,4,2,,2,1,3,1,4,1,1,1,3,1,1,01,
4707240,1,1,1,,1,4123.9101542,68,2018,09,201809,3,1,1,1,1,1,1,3,2,1000000,220000000,1300000,,2,1,2,1,1,1,1,1,2,2,1,2,2,1,2,1,1,2,2,1,2,1,2,2,2,,2,1,4,1,4,1,1,1,3,1,1,01,
4707241,1,1,1,,1,2442.7014817,68,2018,09,201809,3,1,1,1,1,1,1,3,3,,,,320000,2,1,2,2,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,1,3,2,,1,1,4,1,1,1,1,1,3,1,1,01,
4707242,1,1,1,,1,4033.1723213,68,2018,09,201809,2,1,1,1,1,1,4,3,3,,,,250000,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,3,2,,1,1,2,1,1,1,1,1,3,1,1,01,
4707243,1,1,1,,1,2912.5932896,68,2018,09,201809,3,2,1,1,1,1,1,3,3,,,,350000,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,1,3,4,2,,2,1,4,1,2,1,1,1,3,1,1,01,
