DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4707236,1,2,1,,1,1,3106.3958902,68,2018,09,201809,80,1,4,5,2,,,10,3,,2,,,,,3
4707238,1,1,1,,1,1,1773.126025,68,2018,09,201809,80,1,4,5,2,,,10,3,,2,,,,,3
4707239,1,3,1,,1,1,7092.5040999,68,2018,09,201809,80,2,,,,2,,,2,,2,,,,,2
4707239,1,4,1,,1,1,7092.5040999,68,2018,09,201809,80,2,,,,2,,,2,,2,,,,,2
4707243,1,2,1,,1,1,2912.5932896,68,2018,09,201809,80,1,1,6,1,,1,9,2,,2,,1,48,781242,2
4707243,1,4,1,,1,1,2912.5932896,68,2018,09,201809,80,2,,,,2,,,2,,2,,,,,2
4707245,1,6,1,,1,1,3664.2897817,68,2018,09,201809,80,1,4,3,2,,,9,2,,2,,,,,2
4707247,1,1,1,,1,1,3264.0094016,68,2018,09,201809,80,1,4,3,1,,4,1,2,,2,,1,48,781242,2
4707293,1,1,1,05,1,1,744.54925172,05,2018,09,201809,80,1,4,4,2,,,4,2,,2,,,,,2
4707295,1,1,1,05,1,1,1371.5021014,05,2018,09,201809,80,1,3,4,2,,,4,1,2,2,,,,,1
4707298,1,3,1,05,1,1,1279.9014426,05,2018,09,201809,80,1,1,4,2,,,4,2,,2,,2,,781242,2
4707299,1,2,1,05,1,1,1081.4736579,05,2018,09,201809,80,2,,,,2,,,2,,2,,,,,2
4707301,1,2,1,05,1,1,871.25795857,05,2018,09,201809,80,1,4,4,2,,,4,2,,2,,,,,2
4707301,1,3,1,05,1,1,871.25795857,05,2018,09,201809,80,2,,,,2,,,2,,2,,,,,2
4707302,1,1,1,05,1,1,1533.3674485,05,2018,09,201809,80,1,3,4,2,,,4,3,,2,,,,,3
4707305,1,3,1,05,1,1,936.77274954,05,2018,09,201809,80,2,,,,2,,,2,,2,,,,,2
4707306,1,2,1,05,1,1,714.44203148,05,2018,09,201809,80,1,4,3,2,,,9,2,,2,,,,,2
4707308,1,1,1,05,1,1,1289.3863478,05,2018,09,201809,80,1,4,5,2,,,10,3,,2,,,,,3
4707308,1,2,1,05,1,1,1289.3863478,05,2018,09,201809,80,1,2,6,1,,1,2,1,,1,50000,1,24,781242,2
4707308,1,3,1,05,1,1,1289.3863478,05,2018,09,201809,80,1,3,5,2,,,8,3,,2,,,,,3
4707308,1,4,1,05,1,1,1289.3863478,05,2018,09,201809,80,1,4,3,2,,,9,2,,2,,,,,2
4707310,1,1,1,05,1,1,1058.4806286,05,2018,09,201809,80,2,,,,2,,,2,,2,,,,,2
4707312,1,2,1,05,1,1,956.15321037,05,2018,09,201809,80,1,1,8,2,,,4,2,,2,,,,,2
4707313,1,1,1,05,1,1,1058.4806286,05,2018,09,201809,80,2,,,,2,,,2,,2,,,,,2
4707314,1,1,1,05,1,1,1058.4806286,05,2018,09,201809,80,1,4,7,2,,,4,2,,2,,,,,2
4707315,1,3,1,05,1,1,1040.4914067,05,2018,09,201809,80,1,1,8,2,,,2,2,,2,,,,,2
4707315,1,4,1,05,1,1,1040.4914067,05,2018,09,201809,80,2,,,,2,,,2,,2,,2,,400000,2
4707316,1,1,1,05,1,1,1058.4806286,05,2018,09,201809,80,1,4,5,2,,,10,3,,2,,,,,3
4707317,1,2,1,05,1,1,1341.2466096,05,2018,09,201809,80,1,4,7,2,,,7,2,,2,,2,,781242,2
4707317,1,3,1,05,1,1,1341.2466096,05,2018,09,201809,80,2,,,,2,,,2,,2,,,,,2
4707318,1,1,1,05,1,1,1058.4806286,05,2018,09,201809,80,1,4,9,2,,,8,2,,2,,,,,2
4707319,1,1,1,05,1,1,1270.0845872,05,2018,09,201809,80,1,4,5,2,,,10,3,,2,,,,,3
4707320,1,2,1,05,1,1,1490.0840543,05,2018,09,201809,80,1,4,3,2,,,9,1,,2,,,,,2
4707321,1,1,1,05,1,1,1270.0845872,05,2018,09,201809,80,1,1,5,2,,,10,3,,2,,,,,3
