DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,DSI,FEX_C,RAMA4D_D_R4,RAMA2D_D_R4,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSCY,RAMA4D_D
4561959,1,1,1,05,1,1,1134.6970158,1392,13,05,2018,03,201803,70,52,48,1,2,2,1,4,2,1,,,,,,,,1,2,,781000,3,,97,97,18,2,1810
4561962,1,4,1,05,1,1,1575.5011993,4759,47,05,2018,03,201803,70,8,48,1,2,10,1,9,2,1,,,,,,,,1,2,,800000,2,,45,97,52,1,5211
4561974,1,2,1,05,1,1,1167.4159245,5619,56,05,2018,03,201803,70,10,48,1,2,28,1,6,2,1,,,,,,,,1,2,,781242,2,,55,45,55,1,5529
4561976,1,2,1,05,1,1,1680.9561596,4771,47,05,2018,03,201803,70,1,48,1,2,24,1,9,2,2,,,,,,,,1,2,,781242,2,,45,45,52,1,5233
4561983,1,1,1,05,1,1,1099.9008991,8544,85,05,2018,03,201803,70,104,48,1,2,104,4,9,2,1,,,,,,,,1,2,,1200000,3,,13,13,80,2,8050
4561983,1,2,1,05,1,1,1099.9008991,1410,14,05,2018,03,201803,70,12,48,1,2,12,1,2,2,1,,,,,,,,1,2,,781242,3,,79,79,18,1,1810
4561987,1,1,1,05,1,1,634.80586572,4111,41,05,2018,03,201803,70,4,48,1,2,4,1,2,2,1,,,,,,,,1,1,720000,781242,2,,95,95,45,1,4521
4561987,1,3,1,05,1,1,634.80586572,4759,47,05,2018,03,201803,70,4,48,1,2,36,1,9,2,1,,,,,,,,1,2,,781242,2,,59,45,52,1,5219
4561987,1,4,1,05,1,1,634.80586572,4771,47,05,2018,03,201803,70,4,48,1,2,8,1,4,2,1,,,,,,,,1,2,,781242,2,,45,45,52,1,5233
4561993,1,1,1,05,1,1,1152.8055402,5611,56,05,2018,03,201803,70,3,48,1,2,14,1,3,2,8,,,,,,,,1,2,,781200,2,,50,50,55,1,5529
4561994,1,3,1,05,1,1,545.50466586,8413,84,05,2018,03,201803,70,8,40,1,2,4,2,9,2,2,,,,,,,,1,2,,1000000,2,,16,16,75,1,7512
4562000,1,3,1,05,1,1,1358.8996442,4330,43,05,2018,03,201803,70,8,50,1,2,24,4,1,2,1,,,,,,,,1,2,,900000,2,,95,93,52,1,5241
4562008,1,1,1,05,1,1,1435.946663,2392,23,05,2018,03,201803,70,208,48,1,2,208,1,9,2,2,,,,,,,,1,2,,1600000,2,,39,39,26,2,2695
4562014,1,2,1,05,1,1,1169.6416337,3811,38,05,2018,03,201803,70,4,48,1,2,44,1,9,2,1,,,,,,,,1,2,,781242,2,,99,99,90,1,9000
4562014,1,3,1,05,1,1,1169.6416337,5619,56,05,2018,03,201803,70,4,48,1,2,4,1,4,2,2,,,,,,,,1,1,600000,781242,2,,45,53,55,1,5529
4562016,1,2,1,05,1,1,915.22933902,4772,47,05,2018,03,201803,70,8,24,1,2,10,1,3,2,2,,,,,,,,1,2,,600000,2,,45,45,52,1,5234
