DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4561959,1,2,1,05,1,1,1134.6970158,05,2018,03,201803,80,1,4,4,1,,2,8,2,,2,,1,48,781000,2
4561962,1,2,1,05,1,1,1575.5011993,05,2018,03,201803,80,1,1,2,2,,,2,2,,2,,1,24,300000,2
4561963,1,2,1,05,1,1,1029.92515,05,2018,03,201803,80,1,1,4,2,,,4,2,,2,,2,,98,2
4561964,1,1,1,05,1,1,1356.3635155,05,2018,03,201803,80,1,4,5,2,,,4,3,,2,,,,,3
4561964,1,4,1,05,1,1,1356.3635155,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4561965,1,2,1,05,1,1,1497.24959,05,2018,03,201803,80,1,4,3,2,,,9,2,,2,,,,,2
4561968,1,1,1,05,1,1,545.50466586,05,2018,03,201803,80,1,4,8,2,,,8,2,,2,,2,,98,2
4561970,1,1,1,05,1,1,545.50466586,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4561970,1,6,1,05,1,1,545.50466586,05,2018,03,201803,80,1,4,4,2,,,4,2,,2,,,,,2
4561971,1,1,1,05,1,1,1209.4989974,05,2018,03,201803,80,1,4,4,2,,,4,3,,2,,,,,3
4561971,1,2,1,05,1,1,1209.4989974,05,2018,03,201803,80,1,4,3,2,,,9,2,,2,,,,,2
4561972,1,1,1,05,1,1,1136.7644752,05,2018,03,201803,80,1,4,3,2,,,9,1,4,2,,1,48,781242,1
4561972,1,4,1,05,1,1,1136.7644752,05,2018,03,201803,80,2,,,,1,1,2,2,,2,,2,,781242,2
4561973,1,2,1,05,1,1,1029.92515,05,2018,03,201803,80,1,4,8,1,,2,12,3,,2,,1,48,800000,3
4561976,1,5,1,05,1,1,1680.9561596,05,2018,03,201803,80,1,4,4,2,,,8,2,,2,,,,,2
4561976,1,6,1,05,1,1,1680.9561596,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4561977,1,1,1,05,1,1,998.79542371,05,2018,03,201803,80,1,4,3,2,,,9,2,,2,,,,,2
4561977,1,2,1,05,1,1,998.79542371,05,2018,03,201803,80,1,4,7,2,,,9,2,,2,,,,,2
4561978,1,2,1,05,1,1,1404.1973304,05,2018,03,201803,80,1,2,3,2,,,9,2,,2,,,,,2
4561979,1,3,1,05,1,1,957.68266955,05,2018,03,201803,80,1,1,6,2,,,12,2,,1,98,1,48,781242,2
4561980,1,1,1,05,1,1,1721.1515477,05,2018,03,201803,80,1,4,4,2,,,8,2,,2,,,,,2
4561980,1,2,1,05,1,1,1721.1515477,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4561981,1,1,1,05,1,1,946.07055699,05,2018,03,201803,80,1,4,3,2,,,9,2,,2,,,,,2
4561981,1,2,1,05,1,1,946.07055699,05,2018,03,201803,80,1,4,4,2,,,4,2,,2,,,,,2
4561982,1,2,1,05,1,1,1378.7884035,05,2018,03,201803,80,1,1,2,2,,,2,2,,2,,1,24,480000,2
4561983,1,3,1,05,1,1,1099.9008991,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4561984,1,1,1,05,1,1,1162.9825317,05,2018,03,201803,80,1,4,4,2,,,4,2,,2,,,,,2
4561985,1,1,1,05,1,1,1461.7849585,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4561985,1,3,1,05,1,1,1461.7849585,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4561985,1,5,1,05,1,1,1461.7849585,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4561985,1,6,1,05,1,1,1461.7849585,05,2018,03,201803,80,2,,,,1,1,2,2,,2,,2,,781242,2
4561985,1,7,1,05,1,1,1461.7849585,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4561988,1,1,1,05,1,1,1493.2444324,05,2018,03,201803,80,1,4,5,2,,,11,3,,2,,,,,3
4561989,1,1,1,05,1,1,910.36682299,05,2018,03,201803,80,1,4,5,2,,,4,3,,2,,1,40,781200,3
4561990,1,2,1,05,1,1,1505.7604678,05,2018,03,201803,80,1,4,6,2,,,9,1,,2,,,,,2
4561990,1,3,1,05,1,1,1505.7604678,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4561992,1,1,1,05,1,1,1043.4242046,05,2018,03,201803,80,1,2,5,2,,,10,3,,2,,,,,3
4561994,1,1,1,05,1,1,545.50466586,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4561994,1,2,1,05,1,1,545.50466586,05,2018,03,201803,80,1,4,8,2,,,8,1,,2,,2,,781242,2
4561994,1,4,1,05,1,1,545.50466586,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4561995,1,1,1,05,1,1,910.36682299,05,2018,03,201803,80,1,4,5,2,,,8,3,,2,,1,48,781242,3
4561997,1,2,1,05,1,1,1122.659579,05,2018,03,201803,80,1,4,3,2,,,9,2,,2,,,,,2
4561998,1,2,1,05,1,1,1298.4558886,05,2018,03,201803,80,1,4,3,2,,,9,2,,2,,,,,2
4562000,1,1,1,05,1,1,1358.8996442,05,2018,03,201803,80,1,4,3,2,,,9,2,,2,,,,,2
4562001,1,2,1,05,1,1,1341.7665775,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4562003,1,2,1,05,1,1,1201.2290221,05,2018,03,201803,80,1,4,3,2,,,9,2,,2,,,,,2
4562004,1,2,1,05,1,1,1298.4558886,05,2018,03,201803,80,1,4,3,2,,,8,2,,2,,1,40,800000,2
4562005,1,3,1,05,1,1,914.03519909,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4562005,2,2,2,05,1,1,914.03519909,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4562009,1,1,1,05,1,1,1269.8218568,05,2018,03,201803,80,1,4,3,2,,,9,2,,2,,,,,2
4562009,1,3,1,05,1,1,1269.8218568,05,2018,03,201803,80,2,,,,2,,,2,,2,,,,,2
4562010,2,1,2,05,1,1,1603.3358123,05,2018,03,201803,80,1,1,2,2,,,2,2,,2,,1,30,1000000,2
4562011,1,2,1,05,1,1,1630.3069717,05,2018,03,201803,80,1,1,3,2,,,9,1,,2,,,,,2
4562015,1,1,1,05,1,1,1734.2853416,05,2018,03,201803,80,1,1,8,2,,,9,2,,1,150000,2,,781242,2
4562016,1,3,1,05,1,1,915.22933902,05,2018,03,201803,80,2,,,,2,,,2,,2,,1,25,98,2
4562016,1,6,1,05,1,1,915.22933902,05,2018,03,201803,80,1,2,8,1,,1,1,2,,2,,,,781242,2
