DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,DSI,FEX_C,RAMA4D_D_R4,RAMA2D_D_R4,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSCY,RAMA4D_D
4586014,1,3,1,05,1,1,1219.5816778,4111,41,05,2018,04,201804,70,208,48,1,2,68,1,6,2,1,1,,,,,,,,2,,1300000,1,1,19,39,45,2,4521
4586034,1,1,1,05,1,1,1025.8633541,4112,41,05,2018,04,201804,70,6,48,1,2,6,1,5,2,1,,,,,,,,1,2,,781242,2,,95,95,45,1,4522
4586039,1,2,1,05,1,1,948.35887834,4921,49,05,2018,04,201804,70,52,48,4,2,52,4,1,2,1,,,,,,,,1,2,,781242,2,,98,98,60,2,6031
4586039,1,3,1,05,1,1,948.35887834,3811,38,05,2018,04,201804,70,25,48,1,2,25,1,9,2,1,,,,,,,,1,2,,781242,2,,54,99,90,2,9000
4586042,1,1,1,05,1,1,1126.2290203,0145,01,05,2018,04,201804,70,12,24,1,2,104,1,9,2,2,,,,,,,,1,2,,781242,2,,33,45,55,1,5521
4586044,1,2,1,05,1,1,1184.4129008,1513,15,05,2018,04,201804,70,104,48,1,2,36,1,3,2,8,,,,,,,,1,2,,781242,2,,55,97,19,2,1939
4586046,1,2,1,05,1,1,1403.3443097,6110,61,05,2018,04,201804,70,2,48,1,2,23,1,9,2,6,,,,,,,,1,2,,1200000,2,,19,19,64,1,6421
4586047,1,2,1,05,1,1,1017.4181103,6010,60,05,2018,04,201804,70,4,48,1,2,12,1,2,2,2,,,,,,,,1,2,,781242,2,,33,17,92,1,9213
4586058,1,3,1,05,1,1,993.91341378,,,05,2018,04,201804,70,104,48,1,1,,,,,,,,,,,,,,,,800000,,,57,,,2,
4586059,1,1,1,05,1,1,1102.9799708,4921,49,05,2018,04,201804,70,104,48,1,2,104,1,2,2,1,,,,,,,,1,2,,781242,2,,98,98,60,2,6021
4586062,1,3,1,05,1,1,564.59361448,4711,47,05,2018,04,201804,70,2,48,1,2,12,1,9,2,1,,,,,,,,1,2,,781242,2,,97,97,52,1,5211
4586062,1,4,1,05,1,1,564.59361448,9700,97,05,2018,04,201804,70,48,48,4,2,48,3,1,2,1,1,,,,,,,,1,20000,781242,1,2,79,54,95,2,9500
4586066,1,1,1,05,1,1,1593.6623556,5619,56,05,2018,04,201804,70,16,48,1,2,24,1,2,2,1,,,,,,,,1,2,,781242,2,,45,53,55,2,5529
4586066,1,2,1,05,1,1,1593.6623556,4771,47,05,2018,04,201804,70,12,48,1,2,12,1,4,2,1,,,,,,,,1,2,,781242,2,,55,59,52,1,5233
4586067,1,3,1,05,1,1,663.85978963,,,05,2018,04,201804,70,8,30,1,1,,,,,,,,,,,,,,,,781242,,,39,,,1,
4586069,1,2,1,05,1,1,1156.1142623,4771,47,05,2018,04,201804,70,13,48,1,2,12,1,2,2,2,,,,,,,,1,2,,781242,2,,45,45,52,1,5233
4586073,1,2,1,05,1,1,1242.0913275,4541,45,05,2018,04,201804,70,24,48,1,2,104,1,9,2,1,1,,,,,,,,2,,2500000,1,1,84,84,50,2,5040
4586079,1,1,1,05,1,1,1430.9941592,4723,47,05,2018,04,201804,70,32,48,1,2,4,4,1,2,1,,,,,,,,1,1,200000,781242,2,,53,41,52,2,5223
4586080,1,2,1,05,1,1,1369.4571485,8130,81,05,2018,04,201804,70,4,48,1,2,4,1,3,2,1,,,,,,,,1,2,,781242,2,,54,54,01,1,0140
4586093,1,2,1,05,1,1,1150.2543829,1410,14,05,2018,04,201804,70,12,40,4,2,20,1,2,2,1,,,,,,,,1,2,,781242,2,,45,79,18,1,1810
4586094,1,2,1,05,1,1,1058.6841312,4711,47,05,2018,04,201804,70,5,48,1,2,108,1,2,2,1,,,,,,,,1,2,,781242,2,,45,45,52,1,5211
4586101,1,2,1,05,1,1,1137.4735919,9700,97,05,2018,04,201804,70,4,48,4,2,12,4,1,2,2,,,,,,,,1,2,,900000,2,,54,54,74,1,7493
4586110,1,4,1,05,1,1,977.94015298,,,05,2018,04,201804,70,16,48,1,1,,,,,,,,,,,,,,,,800000,,,45,,,2,
4586112,1,3,1,05,1,1,1249.9742775,4210,42,05,2018,04,201804,70,52,48,1,2,24,1,6,2,1,,,,,,,,1,2,,800000,2,,45,95,45,2,4530
4586112,1,4,1,05,1,1,1249.9742775,4719,47,05,2018,04,201804,70,156,48,1,2,20,1,2,2,2,,,,,,,,1,2,,800000,2,,45,45,52,2,5233
4586114,1,2,1,05,1,1,1421.5437852,4111,41,05,2018,04,201804,70,8,48,1,2,20,1,4,2,4,,,,,,,,1,2,,781000,2,,95,95,45,1,4521
4586125,1,4,1,05,1,1,864.51282085,,,05,2018,04,201804,70,3,24,1,1,,,,,,,,,,,,,,,,781242,,,45,,,1,
4586141,1,2,1,05,1,1,1056.0406619,4771,47,05,2018,04,201804,70,16,48,1,2,16,1,9,2,4,,,,,,,,1,2,,1000000,2,,33,45,52,2,5233
4586142,1,3,1,05,1,1,1052.4501673,8621,86,05,2018,04,201804,70,12,48,1,2,12,1,5,2,4,,,,,,,,1,2,,1000000,2,,07,07,85,1,8512
4586150,1,1,1,05,1,1,1051.4942894,8512,85,05,2018,04,201804,70,4,48,2,2,64,1,8,2,2,,,,,,,,1,2,,1500000,2,,13,21,80,1,8011
4586153,1,3,1,05,1,1,1012.7512402,9602,96,05,2018,04,201804,70,104,48,1,2,156,4,1,2,1,,,,,,,,1,2,,781242,2,,55,57,93,2,9302
4586157,1,1,1,05,1,1,1329.001433,4649,46,05,2018,04,201804,70,20,48,1,2,24,1,4,2,2,,,,,,,,1,2,,1100000,2,,45,45,51,2,5139
4586172,1,4,1,08,1,1,476.36006911,,,08,2018,04,201804,70,8,48,1,1,,,,,,,,,,,,,,,,781000,,,59,,,1,
4586175,1,8,1,08,1,1,578.67082535,4520,45,08,2018,04,201804,70,16,48,1,2,16,1,5,2,8,,,,,,,,1,2,,98,2,,84,85,50,2,5020
4586182,1,2,1,08,1,1,617.60415925,8544,85,08,2018,04,201804,70,16,48,1,2,18,1,9,2,2,,,,,,1,,,2,,1800000,2,,13,13,80,2,8050
4586189,1,3,1,08,1,1,596.21385296,1089,10,08,2018,04,201804,70,40,48,1,2,44,1,9,2,2,,,,,,,,1,2,,1000000,2,,33,33,15,2,1589
4586198,1,3,1,13,1,1,153.14361702,4711,47,13,2018,04,201804,70,54,48,1,2,54,4,2,2,2,,,,,,,,1,2,,1250000,2,,19,41,52,2,5211
4586201,1,4,1,13,1,1,153.14361702,8413,84,13,2018,04,201804,70,16,40,1,2,16,4,9,2,1,,,,,,,,1,2,,1500000,2,,15,15,75,2,7512
4586217,1,2,1,15,1,1,197.6851665,8121,81,15,2018,04,201804,70,16,20,4,2,16,4,1,2,1,,,,,,,,1,2,,400000,2,,54,54,74,2,7493
4586223,1,2,1,15,1,1,101.51713125,4111,41,15,2018,04,201804,70,1,48,1,2,1,1,5,2,1,,,,,,,,1,1,600000,781242,2,,81,95,45,1,4521
4586223,1,3,1,15,1,1,101.51713125,5224,52,15,2018,04,201804,70,16,48,1,2,16,1,1,2,1,,,,,,,,1,2,,781242,2,,95,97,63,2,6310
4586225,1,1,1,15,1,1,136.25075685,8010,80,15,2018,04,201804,70,12,48,1,2,12,1,9,2,4,,,,,,,,1,2,,781242,2,,58,58,74,1,7492
