DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4585998,1,1,1,05,1,1,1306.1680958,05,2018,04,201804,80,1,3,5,2,,,8,3,,2,,,,,3
4585999,1,4,1,05,1,1,1272.6284801,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586004,1,1,1,05,1,1,970.74310085,05,2018,04,201804,80,1,4,5,2,,,10,3,,2,,,,,3
4586004,1,2,1,05,1,1,970.74310085,05,2018,04,201804,80,1,4,6,2,,,11,1,2,2,,,,,1
4586004,1,4,1,05,1,1,970.74310085,05,2018,04,201804,80,1,1,2,2,,,2,2,,2,,2,,781200,2
4586004,1,5,1,05,1,1,970.74310085,05,2018,04,201804,80,1,4,5,2,,,11,3,,2,,,,,3
4586005,1,2,1,05,1,1,1409.1166999,05,2018,04,201804,80,1,1,6,2,,,9,1,,1,600000,,,,2
4586006,1,1,1,05,1,1,1434.2390911,05,2018,04,201804,80,1,1,4,2,,,4,2,,2,,,,,2
4586006,1,4,1,05,1,1,1434.2390911,05,2018,04,201804,80,1,1,8,2,,,8,2,,2,,1,48,98,2
4586007,1,1,1,05,1,1,1306.1680958,05,2018,04,201804,80,1,3,4,2,,,10,3,,2,,,,,3
4586008,1,2,1,05,1,1,1202.2668136,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586008,1,3,1,05,1,1,1202.2668136,05,2018,04,201804,80,1,2,4,2,,,4,1,1,2,,2,,98,1
4586011,1,3,1,05,1,1,1322.795991,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586012,1,1,1,05,1,1,1319.8396585,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586012,1,2,1,05,1,1,1319.8396585,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586013,1,2,1,05,1,1,878.51962943,05,2018,04,201804,80,2,,,,2,,,2,,2,,1,24,781242,2
4586014,1,2,1,05,1,1,1219.5816778,05,2018,04,201804,80,1,4,3,2,,,9,1,2,2,,1,48,1300000,1
4586016,1,1,1,05,1,1,1306.1680958,05,2018,04,201804,80,1,4,9,2,,,8,2,,2,,,,,2
4586017,1,2,1,05,1,1,1037.4980503,05,2018,04,201804,80,1,4,1,2,,,8,2,,2,,,,,2
4586019,1,1,1,05,1,1,1521.5298964,05,2018,04,201804,80,1,4,6,2,,,8,2,,2,,1,24,781242,2
4586020,1,2,1,05,1,1,717.61606526,05,2018,04,201804,80,1,4,4,2,,,10,3,,2,,,,,3
4586022,1,1,1,05,1,1,1306.1680958,05,2018,04,201804,80,1,4,5,2,,,10,3,,2,,,,,3
4586023,1,2,1,05,1,1,1207.5077907,05,2018,04,201804,80,1,1,2,2,,,2,2,,2,,,,,2
4586027,1,4,1,05,1,1,934.20561327,05,2018,04,201804,80,1,2,8,1,,1,2,2,,2,,,,781000,2
4586028,1,2,1,05,1,1,999.68580401,05,2018,04,201804,80,1,1,4,2,,,11,2,,2,,,,,2
4586029,1,1,1,05,1,1,1306.1680958,05,2018,04,201804,80,1,4,5,2,,,10,3,,2,,,,,3
4586030,1,1,1,05,1,1,1503.2306324,05,2018,04,201804,80,1,4,3,2,,,9,2,,2,,,,,2
4586030,1,2,1,05,1,1,1503.2306324,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586033,1,2,1,05,1,1,1311.6865688,05,2018,04,201804,80,1,2,2,2,,,2,1,,2,,,,,2
4586034,1,5,1,05,1,1,1025.8633541,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586035,1,1,1,05,1,1,1277.2091702,05,2018,04,201804,80,1,4,5,2,,,10,3,,2,,,,,3
4586035,1,2,1,05,1,1,1277.2091702,05,2018,04,201804,80,1,4,5,2,,,10,3,,2,,,,,3
4586038,1,2,1,05,1,1,1409.1166999,05,2018,04,201804,80,1,3,9,2,,,9,2,,2,,,,,2
4586040,1,2,1,05,1,1,1388.6936238,05,2018,04,201804,80,1,2,2,2,,,2,2,,2,,,,,2
4586041,1,4,1,05,1,1,1049.8352199,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586043,1,2,1,05,1,1,1210.756879,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586044,1,1,1,05,1,1,1184.4129008,05,2018,04,201804,80,1,4,5,2,,,8,3,,2,,,,,3
4586046,1,3,1,05,1,1,1403.3443097,05,2018,04,201804,80,2,,,,2,,,2,,2,,2,,781200,2
4586049,1,2,1,05,1,1,1527.3897757,05,2018,04,201804,80,1,4,3,2,,,9,2,,2,,,,,2
4586054,1,2,1,05,1,1,1196.7483406,05,2018,04,201804,80,1,4,4,2,,,4,3,,2,,,,,3
4586054,1,3,1,05,1,1,1196.7483406,05,2018,04,201804,80,1,4,8,2,,,9,2,,2,,,,,2
4586055,1,1,1,05,1,1,1478.8180793,05,2018,04,201804,80,1,4,5,2,,,4,3,,2,,,,,3
4586055,1,2,1,05,1,1,1478.8180793,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586056,1,2,1,05,1,1,1201.2947132,05,2018,04,201804,80,1,4,4,2,,,4,1,4,2,,,,,1
4586057,1,1,1,05,1,1,1202.2668136,05,2018,04,201804,80,1,4,4,2,,,8,3,,2,,,,,3
4586057,1,2,1,05,1,1,1202.2668136,05,2018,04,201804,80,1,4,1,2,,,7,2,,2,,,,,2
4586058,1,2,1,05,1,1,993.91341378,05,2018,04,201804,80,1,4,5,2,,,10,3,,2,,,,,3
4586061,1,2,1,05,1,1,1429.9596447,05,2018,04,201804,80,1,3,3,2,,,9,2,,2,,2,,781242,2
4586063,1,1,1,05,1,1,1306.1680958,05,2018,04,201804,80,1,4,3,2,,,9,2,,2,,,,,2
4586064,1,2,1,05,1,1,1225.7072662,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586065,1,2,1,05,1,1,999.68580401,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586066,1,3,1,05,1,1,1593.6623556,05,2018,04,201804,80,1,1,2,2,,,2,2,,2,,,,,2
4586072,1,1,1,05,1,1,1522.8434031,05,2018,04,201804,80,1,1,1,2,,,12,1,,1,781000,1,48,781000,2
4586072,1,2,1,05,1,1,1522.8434031,05,2018,04,201804,80,1,1,8,2,,,12,1,1,2,,1,48,781000,1
4586073,1,1,1,05,1,1,1242.0913275,05,2018,04,201804,80,1,4,5,2,,,10,3,,2,,,,,3
4586073,1,4,1,05,1,1,1242.0913275,05,2018,04,201804,80,1,4,1,2,,,9,2,,2,,,,,2
4586074,1,1,1,05,1,1,1117.9588798,05,2018,04,201804,80,1,4,5,2,,,10,3,,2,,2,,1500000,3
4586077,1,1,1,05,1,1,1277.2091702,05,2018,04,201804,80,1,4,5,2,,,10,3,,2,,,,,3
4586077,1,2,1,05,1,1,1277.2091702,05,2018,04,201804,80,1,4,3,2,,,9,2,,2,,,,,2
4586078,1,1,1,05,1,1,1196.7483406,05,2018,04,201804,80,1,4,5,2,,,10,3,,2,,,,,3
4586078,1,2,1,05,1,1,1196.7483406,05,2018,04,201804,80,1,4,3,2,,,9,2,,2,,,,,2
4586079,1,2,1,05,1,1,1430.9941592,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586081,1,1,1,05,1,1,999.68580401,05,2018,04,201804,80,1,4,5,2,,,10,3,,2,,,,,3
4586082,1,1,1,05,1,1,1484.6897505,05,2018,04,201804,80,1,4,3,2,,,9,2,,2,,,,,2
4586082,1,3,1,05,1,1,1484.6897505,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586083,1,2,1,05,1,1,1189.6582872,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586083,1,5,1,05,1,1,1189.6582872,05,2018,04,201804,80,1,1,8,2,,,8,2,,2,,1,40,781242,2
4586087,1,3,1,05,1,1,1168.449702,05,2018,04,201804,80,1,4,3,2,,,9,2,,2,,,,,2
4586089,1,2,1,05,1,1,1521.5298964,05,2018,04,201804,80,2,,,,1,1,8,2,,2,,1,48,781211,2
4586095,1,2,1,05,1,1,1288.5993144,05,2018,04,201804,80,1,4,3,2,,,9,1,,2,,,,,2
4586095,1,4,1,05,1,1,1288.5993144,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
4586096,1,1,1,05,1,1,1277.2091702,05,2018,04,201804,80,2,,,,2,,,2,,2,,,,,2
