DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,DSI,FEX_C,RAMA4D_D_R4,RAMA2D_D_R4,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSCY,RAMA4D_D
4682995,1,4,1,05,1,1,1014.0641439,,,05,2018,08,201808,70,4,32,1,1,,,,,,,,,,,,,,,,781242,,,45,,,1,
4683003,1,3,1,05,1,1,1666.4498178,1522,15,05,2018,08,201808,70,52,24,1,2,58,1,3,2,1,,,,,,,,1,2,,400000,2,,53,32,19,2,1925
4683007,1,3,1,05,1,1,897.61489483,1040,10,05,2018,08,201808,70,24,48,1,2,144,1,9,2,1,,,,1,,,,,2,,3500000,2,,02,02,15,2,1530
4683012,1,2,1,05,1,1,1073.2079712,,,05,2018,08,201808,70,8,48,1,1,,,,,,,,,,,,,,,,781300,,,58,,,1,
4683014,1,1,1,05,1,1,871.96320409,1410,14,05,2018,08,201808,70,4,48,1,2,8,1,5,2,1,,,,,,,,1,2,,781242,2,,45,79,18,1,1810
4683015,1,4,1,05,1,1,1121.5300114,8530,85,05,2018,08,201808,70,16,48,1,2,20,1,8,2,1,,,,,,,,1,2,,800000,2,,13,13,80,2,8045
4683024,1,2,1,05,1,1,883.14984298,9700,97,05,2018,08,201808,70,120,48,1,2,52,3,1,2,1,1,,,,,,,,2,,781242,1,2,59,59,95,2,9500
4683034,1,3,1,05,1,1,1052.5587745,1523,15,05,2018,08,201808,70,52,48,1,2,52,1,6,2,1,,,,,,,,1,2,,781300,2,,03,90,19,2,1926
4683037,1,1,1,05,1,1,1044.6597829,8544,85,05,2018,08,201808,70,32,48,2,2,32,2,9,2,2,,,,,,,,1,2,,2000000,2,,12,12,80,2,8050
4683042,1,2,1,05,1,1,1180.7928239,8412,84,05,2018,08,201808,70,2,48,4,2,2,4,9,2,2,,,,,,,,1,1,1200000,1100000,2,,39,39,75,1,7512
4683054,1,1,1,05,1,1,1274.5717235,5611,56,05,2018,08,201808,70,4,48,1,2,4,1,4,2,1,,,,,,,,1,1,800000,781242,2,,53,53,55,1,5521
4683057,1,2,1,05,1,1,1417.4721741,1410,14,05,2018,08,201808,70,20,48,1,2,20,1,3,2,1,,,,,,,,1,2,,800000,2,,45,79,18,2,1810
4683059,1,3,1,05,1,1,1106.0995548,4631,46,05,2018,08,201808,70,104,48,1,2,104,1,9,2,1,,,,,,,,1,2,,800000,2,,45,97,52,2,5211
4683061,1,1,1,05,1,1,1143.6574226,9700,97,05,2018,08,201808,70,8,40,3,2,8,3,1,2,1,,,,,,,,1,2,,781300,2,,54,54,95,1,9500
4683062,1,2,1,05,1,1,931.38182317,5611,56,05,2018,08,201808,70,4,48,1,2,4,1,3,2,8,,,,,,,,1,1,781242,781242,2,,33,53,55,1,5521
4683070,1,2,1,05,1,1,1253.6372224,4711,47,05,2018,08,201808,70,156,48,1,2,208,7,2,2,2,,,,,,,,1,2,,781242,2,,31,45,52,2,5211
4683081,1,1,1,05,1,1,883.14984298,4632,46,05,2018,08,201808,70,20,48,1,2,22,1,2,2,2,,,,,,,,1,2,,781242,2,,45,45,52,2,5225
4683082,1,1,1,05,1,1,2950.1618704,4111,41,05,2018,08,201808,70,4,48,1,2,16,1,4,2,1,,,,,,,,1,2,,781242,2,,58,95,45,1,4521
4683086,1,1,1,05,1,1,1036.1915552,4112,41,05,2018,08,201808,70,2,48,1,2,2,1,9,2,1,,,,,,,,1,1,781242,781242,2,,95,95,45,1,4530
4683094,1,2,1,05,1,1,1044.6597829,8544,85,05,2018,08,201808,70,16,48,1,2,16,1,9,2,2,,,,,,,,1,2,,781242,2,,55,55,80,2,8050
4683107,1,4,1,05,1,1,634.26991879,8544,85,05,2018,08,201808,70,24,48,1,2,24,1,9,2,3,,,,,,,,1,2,,781200,2,,38,43,80,2,8050
4683119,1,3,1,05,1,1,661.80202545,,,05,2018,08,201808,70,12,24,3,1,,,,,,,,,,,,,,,,781242,,,54,,,1,
4683119,1,4,1,05,1,1,661.80202545,4652,46,05,2018,08,201808,70,4,48,1,2,2,1,3,2,8,1,,,,,,,,1,600000,850000,2,,03,03,52,1,5243
4683128,1,1,1,05,1,1,1136.1259576,9700,97,05,2018,08,201808,70,52,48,1,2,104,3,1,2,1,,,,,,,,1,2,,781242,2,,55,54,95,2,9500
4683131,1,3,1,05,1,1,1132.5608437,4711,47,05,2018,08,201808,70,25,48,1,2,52,1,9,2,1,,,,,,,,1,2,,781242,2,,39,39,52,2,5211
4683149,1,2,1,08,1,1,669.61226758,7310,73,08,2018,08,201808,70,24,48,1,2,24,1,4,2,2,,,,,,,,1,2,,1000000,2,,33,33,74,2,7430
4683160,1,4,1,13,1,1,358.00711645,5111,51,13,2018,08,201808,70,40,40,1,2,40,1,9,2,7,,,,,,,,1,2,,800000,2,,16,43,62,2,6211
4683161,1,4,1,13,1,1,240.84015186,8544,85,13,2018,08,201808,70,8,40,1,2,8,1,8,2,7,,,,,,,,1,2,,781242,2,,32,39,80,1,8050
4683161,1,6,1,13,1,1,240.84015186,,,13,2018,08,201808,70,24,40,1,1,,,,,,,,,,,,,,,,800000,,,03,,,2,
4683174,1,3,1,13,1,1,296.85984961,,,13,2018,08,201808,70,32,40,1,1,,,,,,,,,,,,,,,,1000000,,,21,,,2,
4683177,1,2,1,13,1,1,201.94065821,4921,49,13,2018,08,201808,70,40,48,1,2,40,4,4,2,7,,,,,,,,1,2,,800000,2,,84,98,60,2,6021
4683197,1,1,1,15,1,1,117.22059712,8544,85,15,2018,08,201808,70,5,40,1,2,5,1,9,2,3,,,1,,,,,,2,,3000000,2,,13,13,80,1,8050
4683215,1,4,1,15,1,1,96.166438015,,,15,2018,08,201808,70,24,48,1,1,,,,,,,,,,,,,,,,781200,,,95,,,2,
4683215,1,5,1,15,1,1,96.166438015,,,15,2018,08,201808,70,30,48,1,1,,,,,,,,,,,,,,,,781200,,,95,,,2,
4683242,1,4,1,15,1,1,61.510249519,6202,62,15,2018,08,201808,70,20,40,1,2,20,1,2,2,4,,,,,,,,1,2,,1000000,2,,08,08,72,2,7220
4683250,1,2,1,15,1,1,79.02101982,,,15,2018,08,201808,70,4,48,1,1,,,,,,,,,,,,,,,,781242,,,53,,,1,
4683263,1,3,1,15,1,1,136.22958561,5630,56,15,2018,08,201808,70,32,21,4,2,8,1,2,2,1,,,,,,,,1,2,,500000,2,,53,53,55,2,5530
4683285,1,3,1,17,1,1,226.28705076,4771,47,17,2018,08,201808,70,16,48,1,2,12,1,3,2,1,,,,,,,,1,2,,900000,2,,40,45,52,2,5233
4683295,1,5,1,17,1,1,192.30967291,5611,56,17,2018,08,201808,70,40,48,1,2,300,1,4,2,2,,,,,,,,1,2,,781242,2,,38,53,55,2,5521
4683307,1,3,1,17,1,1,271.70027239,2593,25,17,2018,08,201808,70,28,48,1,2,28,1,9,2,7,,,,,,,,1,2,,800000,2,,38,83,28,2,2893
4683307,1,4,1,17,1,1,271.70027239,4112,41,17,2018,08,201808,70,4,48,1,2,4,1,6,2,8,,,,,,,,1,1,200000,800000,2,,37,95,45,1,4522
4683309,1,4,1,17,1,1,219.33426667,4771,47,17,2018,08,201808,70,28,28,1,2,28,1,3,2,2,,,,,,,,1,2,,900000,2,,38,45,52,2,5233
4683310,1,1,1,17,1,1,237.27645902,6110,61,17,2018,08,201808,70,208,48,1,2,208,1,9,2,2,,,,,,,,1,2,,781242,2,,32,38,64,2,6421
4683314,1,2,1,17,1,1,221.2876169,1082,10,17,2018,08,201808,70,8,48,1,2,10,1,9,2,4,,,,,,,,1,2,,781242,2,,38,97,15,1,1581
4683342,1,2,1,17,1,1,246.31106146,4711,47,17,2018,08,201808,70,2,48,1,2,2,1,2,2,2,,,,,,,,1,1,98,800000,2,,59,33,52,1,5211
4683343,1,3,1,17,1,1,241.45644822,,,17,2018,08,201808,70,28,48,1,1,,,,,,,,,,,,,,,,781242,,,32,,,2,
4683353,1,3,1,17,1,1,185.55751899,1082,10,17,2018,08,201808,70,24,48,1,2,24,1,9,2,1,,,,,,,,1,2,,781242,2,,97,97,15,2,1581
4683353,1,5,1,17,1,1,185.55751899,4111,41,17,2018,08,201808,70,8,48,1,2,8,1,4,2,1,,,,,,,,1,2,,781242,2,,39,95,45,1,4521
4683353,1,9,1,17,1,1,185.55751899,9700,97,17,2018,08,201808,70,24,48,1,2,24,3,1,2,1,,,,,,,,1,2,,781242,2,,55,54,95,2,9500
4683354,1,1,1,17,1,1,226.23175922,4111,41,17,2018,08,201808,70,250,48,1,2,250,1,7,2,7,,,,,,,,1,2,,781242,2,,95,95,45,2,4521
4683362,1,1,1,17,1,1,197.11102145,4330,43,17,2018,08,201808,70,4,40,1,2,4,4,1,2,1,,,,,,,,1,2,,781242,2,,45,93,45,1,4552
