DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P6290,P6230,P6240,P6250,P6260,P6270,P6280,P6300,P6310,P6320,P6330,P6340,P6350,P6351,RABAND,FT
4682994,1,1,1,05,1,846.90250109,05,2018,08,201808,50,,1,1,,,,,,,,,,,,,1
4682994,1,2,1,05,1,846.90250109,05,2018,08,201808,50,,2,6,2,1,,,,,,,,,,,1
4682994,1,3,1,05,1,846.90250109,05,2018,08,201808,50,,3,1,,,,,,,,,,,,,1
4682995,1,1,1,05,1,1014.0641439,05,2018,08,201808,50,,1,4,2,2,2,2,2,,,,,,,,1
4682995,1,2,1,05,1,1014.0641439,05,2018,08,201808,50,,2,6,2,2,2,2,2,,,,,,,,1
4682995,1,3,1,05,1,1014.0641439,05,2018,08,201808,50,,3,1,,,,,,,,,,,,,1
4682995,1,4,1,05,1,1014.0641439,05,2018,08,201808,50,2,4,3,2,2,2,1,,,,,,,1,,1
4682996,1,1,1,05,1,943.42873714,05,2018,08,201808,50,,1,1,,,,,,,,,,,,,1
4682997,1,1,1,05,1,603.48832446,05,2018,08,201808,50,,1,1,,,,,,,,,,,,,1
4682997,1,2,1,05,1,603.48832446,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4682998,1,1,1,05,1,1199.6438267,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4682998,1,2,1,05,1,1199.6438267,05,2018,08,201808,50,,2,4,2,2,2,2,1,6,1,2,,,,1,1
4682998,1,5,1,05,1,1199.6438267,05,2018,08,201808,50,,5,4,1,,,,,,,,,,,,1
4682999,1,1,1,05,1,1090.748417,05,2018,08,201808,50,,1,6,2,2,2,2,2,,,,,,,,1
4682999,1,2,1,05,1,1090.748417,05,2018,08,201808,50,,2,4,2,2,2,2,2,,,,,,,,1
4683000,1,1,1,05,1,1130.3274376,05,2018,08,201808,50,,1,6,2,2,2,2,2,,,,,,,,1
4683001,1,1,1,05,1,1002.8473562,05,2018,08,201808,50,,1,4,2,2,2,2,2,,,,,,,,1
4683002,1,1,1,05,1,1090.748417,05,2018,08,201808,50,,1,6,2,2,2,2,2,,,,,,,,1
4683002,1,2,1,05,1,1090.748417,05,2018,08,201808,50,,2,4,2,2,2,2,2,,,,,,,,1
4683003,1,1,1,05,1,1666.4498178,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683003,1,2,1,05,1,1666.4498178,05,2018,08,201808,50,,2,4,2,2,2,2,1,9,,,,,,2,1
4683003,1,3,1,05,1,1666.4498178,05,2018,08,201808,50,1,3,4,2,2,2,1,,,,,,,1,,1
4683003,1,6,1,05,1,1666.4498178,05,2018,08,201808,50,,6,1,,,,,,,,,,,,,1
4683004,1,1,1,05,1,829.96604558,05,2018,08,201808,50,,1,6,1,,,,,,,,,,,,1
4683005,1,1,1,05,1,1539.5842394,05,2018,08,201808,50,,1,4,2,2,2,2,2,,,,,,,,1
4683005,1,2,1,05,1,1539.5842394,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683006,1,1,1,05,1,829.96604558,05,2018,08,201808,50,,1,6,2,1,,,,,,,,,,,1
4683007,1,1,1,05,1,897.61489483,05,2018,08,201808,50,,1,4,2,2,2,2,2,,,,,,,,1
4683007,1,2,1,05,1,897.61489483,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683007,1,3,1,05,1,897.61489483,05,2018,08,201808,50,2,3,6,2,2,2,1,,,,,,,1,,1
4683008,1,1,1,05,1,1330.6068,05,2018,08,201808,50,,1,4,2,2,2,2,1,2,2,,2,,,1,1
4683008,1,2,1,05,1,1330.6068,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683009,1,1,1,05,1,1320.6603576,05,2018,08,201808,50,,1,4,2,2,2,2,2,,,,,,,,1
4683009,1,2,1,05,1,1320.6603576,05,2018,08,201808,50,,2,4,2,2,2,2,2,,,,,,,,1
4683009,1,3,1,05,1,1320.6603576,05,2018,08,201808,50,,3,3,2,2,2,2,2,,,,,,,,1
4683010,1,1,1,05,1,662.90694354,05,2018,08,201808,50,,1,6,2,2,2,2,2,,,,,,,,1
4683010,1,2,1,05,1,662.90694354,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683011,1,1,1,05,1,827.52242623,05,2018,08,201808,50,,1,6,2,2,2,2,2,,,,,,,,1
4683011,1,2,1,05,1,827.52242623,05,2018,08,201808,50,,2,4,2,2,2,2,2,,,,,,,,1
4683011,1,3,1,05,1,827.52242623,05,2018,08,201808,50,,3,1,,,,,,,,,,,,,1
4683011,1,4,1,05,1,827.52242623,05,2018,08,201808,50,,4,1,,,,,,,,,,,,,1
4683012,1,1,1,05,1,1073.2079712,05,2018,08,201808,50,,1,1,,,,,,,,,,,,,1
4683012,1,2,1,05,1,1073.2079712,05,2018,08,201808,50,2,2,2,2,2,2,1,,,,,,,1,,1
4683013,1,1,1,05,1,951.8969649,05,2018,08,201808,50,,1,1,,,,,,,,,,,,,1
4683013,1,2,1,05,1,951.8969649,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683014,1,1,1,05,1,871.96320409,05,2018,08,201808,50,1,1,4,2,2,2,1,,,,,,,1,,1
4683014,1,2,1,05,1,871.96320409,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683015,1,1,1,05,1,1121.5300114,05,2018,08,201808,50,,1,6,2,2,2,2,2,,,,,,,,1
4683015,1,2,1,05,1,1121.5300114,05,2018,08,201808,50,,2,4,2,2,2,2,2,,,,,,,,1
4683015,1,3,1,05,1,1121.5300114,05,2018,08,201808,50,,3,1,,,,,,,,,,,,,1
4683015,1,4,1,05,1,1121.5300114,05,2018,08,201808,50,2,4,2,2,2,2,1,,,,,,,1,,1
4683016,1,1,1,05,1,1317.9419465,05,2018,08,201808,50,,1,1,,,,,,,,,,,,,1
4683016,1,2,1,05,1,1317.9419465,05,2018,08,201808,50,,2,6,2,1,,,,,,,,,,,1
4683016,1,3,1,05,1,1317.9419465,05,2018,08,201808,50,,4,3,2,2,2,2,2,,,,,,,,1
4683016,1,4,1,05,1,1317.9419465,05,2018,08,201808,50,,4,3,2,2,2,2,2,,,,,,,,1
4683017,1,1,1,05,1,1147.448625,05,2018,08,201808,50,,1,4,2,2,2,2,2,,,,,,,,1
4683017,1,2,1,05,1,1147.448625,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683017,1,3,1,05,1,1147.448625,05,2018,08,201808,50,,3,3,2,2,2,2,2,,,,,,,,1
4683018,1,1,1,05,1,550.25278028,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683018,1,2,1,05,1,550.25278028,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683019,1,1,1,05,1,829.96604558,05,2018,08,201808,50,,1,1,,,,,,,,,,,,,1
4683020,1,1,1,05,1,943.42873714,05,2018,08,201808,50,,1,1,,,,,,,,,,,,,1
4683021,1,1,1,05,1,1002.8473562,05,2018,08,201808,50,,1,4,2,2,2,2,2,,,,,,,,1
4683022,1,1,1,05,1,700.04234481,05,2018,08,201808,50,,2,6,2,2,2,2,2,,,,,,,,1
4683022,1,2,1,05,1,700.04234481,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683022,1,3,1,05,1,700.04234481,05,2018,08,201808,50,,3,1,,,,,,,,,,,,,1
4683022,1,4,1,05,1,700.04234481,05,2018,08,201808,50,,4,3,2,2,2,2,2,,,,,,,,1
4683023,1,1,1,05,1,1317.9419465,05,2018,08,201808,50,,1,1,,,,,,,,,,,,,1
4683023,1,2,1,05,1,1317.9419465,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683023,1,3,1,05,1,1317.9419465,05,2018,08,201808,50,,3,6,2,2,2,2,1,13,,,,,,2,1
4683023,1,4,1,05,1,1317.9419465,05,2018,08,201808,50,,4,3,2,2,2,2,2,,,,,,,,1
4683024,1,1,1,05,1,883.14984298,05,2018,08,201808,50,,1,4,2,2,2,2,2,,,,,,,,1
4683024,1,2,1,05,1,883.14984298,05,2018,08,201808,50,3,2,4,2,2,2,1,,,,,,,1,,1
4683025,1,1,1,05,1,855.55546066,05,2018,08,201808,50,,4,6,2,2,2,2,2,,,,,,,,1
4683025,1,2,1,05,1,855.55546066,05,2018,08,201808,50,,2,1,,,,,,,,,,,,,1
4683025,1,3,1,05,1,855.55546066,05,2018,08,201808,50,,3,3,1,,,,,,,,,,,,1
