DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4682995,1,1,1,05,1,1,1014.0641439,05,2018,08,201808,80,1,4,5,2,,,9,3,,2,,,,,3
4682995,1,2,1,05,1,1,1014.0641439,05,2018,08,201808,80,1,4,4,2,,,4,2,,2,,,,,2
4682998,1,2,1,05,1,1,1199.6438267,05,2018,08,201808,80,1,1,6,2,,,5,1,,2,,1,48,781242,2
4682999,1,1,1,05,1,1,1090.748417,05,2018,08,201808,80,1,4,5,2,,,10,3,,2,,,,,3
4682999,1,2,1,05,1,1,1090.748417,05,2018,08,201808,80,1,4,3,2,,,9,2,,2,,,,,2
4683000,1,1,1,05,1,1,1130.3274376,05,2018,08,201808,80,1,4,5,2,,,11,3,,2,,,,,3
4683001,1,1,1,05,1,1,1002.8473562,05,2018,08,201808,80,1,4,5,2,,,11,3,,2,,,,,3
4683002,1,1,1,05,1,1,1090.748417,05,2018,08,201808,80,1,4,4,2,,,4,2,,2,,,,,2
4683002,1,2,1,05,1,1,1090.748417,05,2018,08,201808,80,1,4,3,2,,,10,3,,2,,,,,3
4683003,1,2,1,05,1,1,1666.4498178,05,2018,08,201808,80,1,4,3,2,,,8,2,,2,,1,48,781242,2
4683005,1,1,1,05,1,1,1539.5842394,05,2018,08,201808,80,1,4,3,2,,,9,2,,1,550000,,,,2
4683007,1,1,1,05,1,1,897.61489483,05,2018,08,201808,80,1,4,3,2,,,9,2,,2,,,,,2
4683008,1,1,1,05,1,1,1330.6068,05,2018,08,201808,80,2,,,,1,2,12,2,,2,,1,48,781242,2
4683009,1,1,1,05,1,1,1320.6603576,05,2018,08,201808,80,1,3,5,2,,,10,3,,2,,,,,3
4683009,1,2,1,05,1,1,1320.6603576,05,2018,08,201808,80,1,4,7,2,,,8,2,,2,,,,,2
4683009,1,3,1,05,1,1,1320.6603576,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683010,1,1,1,05,1,1,662.90694354,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683011,1,1,1,05,1,1,827.52242623,05,2018,08,201808,80,1,4,5,2,,,10,3,,2,,,,,3
4683011,1,2,1,05,1,1,827.52242623,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683015,1,1,1,05,1,1,1121.5300114,05,2018,08,201808,80,1,3,4,2,,,4,2,,2,,,,,2
4683015,1,2,1,05,1,1,1121.5300114,05,2018,08,201808,80,1,4,5,2,,,10,3,,2,,,,,3
4683016,1,3,1,05,1,1,1317.9419465,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683016,1,4,1,05,1,1,1317.9419465,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683017,1,1,1,05,1,1,1147.448625,05,2018,08,201808,80,1,4,3,2,,,11,2,,2,,,,,2
4683017,1,3,1,05,1,1,1147.448625,05,2018,08,201808,80,2,,,,2,,,1,,2,,,,,2
4683021,1,1,1,05,1,1,1002.8473562,05,2018,08,201808,80,1,4,1,2,,,8,3,,2,,,,,3
4683022,1,1,1,05,1,1,700.04234481,05,2018,08,201808,80,1,2,3,2,,,9,2,,2,,,,,2
4683022,1,4,1,05,1,1,700.04234481,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683023,1,3,1,05,1,1,1317.9419465,05,2018,08,201808,80,1,1,8,2,,,7,2,,2,,1,48,781200,2
4683023,1,4,1,05,1,1,1317.9419465,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683024,1,1,1,05,1,1,883.14984298,05,2018,08,201808,80,1,1,5,2,,,11,3,,2,,,,,3
4683025,1,1,1,05,1,1,855.55546066,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683027,1,1,1,05,1,1,847.0872329,05,2018,08,201808,80,1,3,4,2,,,4,2,,2,,,,,2
4683028,1,3,1,05,1,1,1181.8089055,05,2018,08,201808,80,1,2,8,2,,,2,2,,2,,,,,2
4683029,1,1,1,05,1,1,824.69167526,05,2018,08,201808,80,1,4,5,2,,,8,3,,2,,,,,3
4683029,1,2,1,05,1,1,824.69167526,05,2018,08,201808,80,1,4,7,1,,4,8,3,,2,,,,,3
4683029,1,3,1,05,1,1,824.69167526,05,2018,08,201808,80,1,3,4,2,,,10,3,,2,,1,48,1500000,3
4683032,1,1,1,05,1,1,1121.2953837,05,2018,08,201808,80,1,4,5,2,,,10,3,,2,,,,,3
4683033,1,2,1,05,1,1,838.61900515,05,2018,08,201808,80,2,,,,1,1,2,2,,2,,1,16,450000,2
4683035,1,2,1,05,1,1,1330.6068,05,2018,08,201808,80,1,1,6,2,,,9,1,,1,2300000,1,24,1500000,2
4683036,1,4,1,05,1,1,1199.2605149,05,2018,08,201808,80,1,3,8,2,,,2,2,,2,,1,24,800000,2
4683036,1,5,1,05,1,1,1199.2605149,05,2018,08,201808,80,2,,,,2,,,2,,2,,1,24,781242,2
4683038,1,2,1,05,1,1,865.02272682,05,2018,08,201808,80,1,4,3,2,,,9,2,,2,,,,,2
4683039,1,2,1,05,1,1,1187.0276456,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683040,1,1,1,05,1,1,1340.1594177,05,2018,08,201808,80,1,4,3,2,,,9,1,2,2,,2,,781200,1
4683040,1,2,1,05,1,1,1340.1594177,05,2018,08,201808,80,1,4,4,2,,,4,2,,2,,,,,2
4683042,1,3,1,05,1,1,1180.7928239,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683045,1,2,1,05,1,1,790.38702496,05,2018,08,201808,80,1,4,3,2,,,9,2,,2,,,,,2
4683047,1,2,1,05,1,1,1557.7898167,05,2018,08,201808,80,1,4,3,1,,4,8,1,1,2,,2,,2000000,1
4683047,1,3,1,05,1,1,1557.7898167,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683047,1,5,1,05,1,1,1557.7898167,05,2018,08,201808,80,1,4,8,2,,,4,2,,2,,,,,2
4683049,1,2,1,05,1,1,1359.1549883,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683050,1,1,1,05,1,1,592.39174554,05,2018,08,201808,80,1,4,4,2,,,4,2,,2,,,,,2
4683053,1,2,1,05,1,1,1487.3403653,05,2018,08,201808,80,1,4,3,2,,,9,2,,2,,,,,2
4683053,1,4,1,05,1,1,1487.3403653,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683053,1,5,1,05,1,1,1487.3403653,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683054,1,3,1,05,1,1,1274.5717235,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683055,1,1,1,05,1,1,1111.3594541,05,2018,08,201808,80,1,4,3,2,,,9,2,,2,,,,,2
4683057,1,1,1,05,1,1,1417.4721741,05,2018,08,201808,80,2,,,,2,,,2,,2,,1,48,800000,2
4683058,1,1,1,05,1,1,1130.3274376,05,2018,08,201808,80,1,4,5,2,,,11,3,,2,,,,,3
4683059,1,2,1,05,1,1,1106.0995548,05,2018,08,201808,80,1,3,3,2,,,9,2,,2,,,,,2
4683059,1,4,1,05,1,1,1106.0995548,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683062,1,1,1,05,1,1,931.38182317,05,2018,08,201808,80,1,2,4,2,,,4,2,,2,,,,,2
4683063,1,2,1,05,1,1,790.38702496,05,2018,08,201808,80,1,4,4,2,,,4,2,,2,,,,,2
4683066,1,1,1,05,1,1,790.38702496,05,2018,08,201808,80,1,4,9,2,,,8,2,,2,,,,,2
4683067,1,2,1,05,1,1,1390.7863449,05,2018,08,201808,80,1,4,3,2,,,9,2,,2,,2,,1500000,2
4683071,1,5,1,05,1,1,1156.1085424,05,2018,08,201808,80,1,1,1,2,,,5,2,,2,,2,,1000000,2
4683073,1,2,1,05,1,1,1928.0407331,05,2018,08,201808,80,1,4,3,2,,,11,2,,2,,,,,2
4683076,1,1,1,05,1,1,1232.7592968,05,2018,08,201808,80,1,4,5,2,,,10,3,,2,,,,,3
4683076,1,2,1,05,1,1,1232.7592968,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683077,1,3,1,05,1,1,2420.7141876,05,2018,08,201808,80,2,,,,2,,,2,,2,,1,48,781242,2
4683079,1,2,1,05,1,1,3351.4345608,05,2018,08,201808,80,1,1,4,2,,,4,2,,2,,,,,2
4683079,1,5,1,05,1,1,3351.4345608,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683080,1,3,1,05,1,1,1126.7994283,05,2018,08,201808,80,2,,,,2,,,2,,2,,,,,2
4683080,1,5,1,05,1,1,1126.7994283,05,2018,08,201808,80,1,3,5,2,,,11,3,,2,,,,,3
4683081,1,2,1,05,1,1,883.14984298,05,2018,08,201808,80,1,3,8,2,,,8,2,,2,,,,,2
4683082,1,2,1,05,1,1,2950.1618704,05,2018,08,201808,80,1,3,2,2,,,2,2,,2,,,,,2
4683083,1,2,1,05,1,1,1252.258357,05,2018,08,201808,80,1,1,3,2,,,9,2,,2,,,,,2
