DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4755776,1,2,1,05,1,1,969.55349055,05,2018,11,201811,80,1,1,5,2,,,10,3,,2,,,,,3
4755776,1,4,1,05,1,1,969.55349055,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755779,1,2,1,05,1,1,1416.6727433,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755780,1,1,1,05,1,1,1115.0927184,05,2018,11,201811,80,1,4,5,2,,,4,3,,2,,,,,3
4755782,1,1,1,05,1,1,796.55763278,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755782,1,2,1,05,1,1,796.55763278,05,2018,11,201811,80,1,1,3,2,,,9,2,,2,,,,,2
4755783,1,1,1,05,1,1,1179.0697352,05,2018,11,201811,80,1,4,5,2,,,11,3,,2,,,,,3
4755783,1,3,1,05,1,1,1179.0697352,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755785,1,1,1,05,1,1,1113.7230394,05,2018,11,201811,80,1,4,3,2,,,11,2,,2,,,,,2
4755786,1,1,1,05,1,1,1115.0927184,05,2018,11,201811,80,1,4,3,2,,,9,2,,2,,,,,2
4755787,1,1,1,05,1,1,1115.0927184,05,2018,11,201811,80,1,4,7,2,,,9,2,,2,,,,,2
4755790,1,2,1,05,1,1,1305.6060426,05,2018,11,201811,80,1,1,9,2,,,12,2,,1,800000,2,,781242,2
4755791,1,1,1,05,1,1,1439.9178337,05,2018,11,201811,80,1,4,4,2,,,4,2,,2,,,,,2
4755791,1,3,1,05,1,1,1439.9178337,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755792,1,1,1,05,1,1,1115.0927184,05,2018,11,201811,80,1,4,7,2,,,11,3,,2,,,,,3
4755794,1,1,1,05,1,1,1050.3155665,05,2018,11,201811,80,1,4,4,2,,,4,2,,2,,,,,2
4755794,1,2,1,05,1,1,1050.3155665,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755796,1,1,1,05,1,1,1029.5925217,05,2018,11,201811,80,1,3,4,2,,,4,2,,2,,,,,2
4755797,1,3,1,05,1,1,1221.3197258,05,2018,11,201811,80,1,4,3,2,,,9,2,,2,,,,,2
4755798,1,2,1,05,1,1,1405.3664001,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755798,1,3,1,05,1,1,1405.3664001,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755800,1,1,1,05,1,1,1114.9731187,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755802,1,1,1,05,1,1,1420.1516467,05,2018,11,201811,80,1,2,2,2,,,2,2,,2,,2,,781242,2
4755802,1,2,1,05,1,1,1420.1516467,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755802,1,3,1,05,1,1,1420.1516467,05,2018,11,201811,80,2,,,,1,1,7,2,,2,,1,24,900000,2
4755804,1,2,1,05,1,1,992.30173004,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755806,1,1,1,05,1,1,1157.1943238,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755808,1,2,1,05,1,1,1226.0578466,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755813,1,1,1,05,1,1,1115.0927184,05,2018,11,201811,80,1,4,1,2,,,11,3,,2,,,,,3
4755814,1,1,1,05,1,1,685.29030009,05,2018,11,201811,80,1,4,9,2,,,11,2,,2,,,,,2
4755817,1,1,1,05,1,1,1050.3155665,05,2018,11,201811,80,1,4,4,2,,,8,2,,2,,,,,2
4755817,1,2,1,05,1,1,1050.3155665,05,2018,11,201811,80,1,4,4,2,,,10,3,,2,,,,,3
4755818,1,1,1,05,1,1,1487.0688824,05,2018,11,201811,80,1,1,8,2,,,2,2,,2,,1,24,800000,2
4755818,1,2,1,05,1,1,1487.0688824,05,2018,11,201811,80,1,3,6,2,,,2,2,,2,,1,24,950000,2
4755820,1,2,1,05,1,1,1367.3613735,05,2018,11,201811,80,1,2,3,2,,,9,2,,2,,,,,2
4755821,1,2,1,05,1,1,1155.8246448,05,2018,11,201811,80,1,1,9,2,,,12,2,,1,400000,,,,2
4755822,1,2,1,05,1,1,1051.6923098,05,2018,11,201811,80,1,4,3,2,,,8,2,,2,,,,,2
4755823,1,2,1,05,1,1,1304.0805646,05,2018,11,201811,80,1,4,3,2,,,9,2,,2,,,,,2
4755824,1,1,1,05,1,1,1328.695334,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755824,1,2,1,05,1,1,1328.695334,05,2018,11,201811,80,1,4,7,2,,,9,2,,2,,2,,781242,2
4755825,1,2,1,05,1,1,1367.3613735,05,2018,11,201811,80,1,2,3,2,,,9,1,,2,,,,,2
4755828,1,1,1,05,1,1,773.31254236,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755829,1,1,1,05,1,1,1323.8464808,05,2018,11,201811,80,1,4,3,2,,,9,2,,2,,,,,2
4755833,1,1,1,05,1,1,985.53841468,05,2018,11,201811,80,1,4,9,2,,,8,2,,2,,,,,2
4755833,1,2,1,05,1,1,985.53841468,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755833,1,3,1,05,1,1,985.53841468,05,2018,11,201811,80,1,2,3,2,,,9,2,,2,,,,,2
4755834,1,1,1,05,1,1,630.51973677,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755835,1,1,1,05,1,1,1394.0420298,05,2018,11,201811,80,1,4,5,2,,,8,3,,2,,,,,3
4755835,1,2,1,05,1,1,1394.0420298,05,2018,11,201811,80,1,4,3,2,,,9,2,,2,,1,24,781242,2
4755835,1,3,1,05,1,1,1394.0420298,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755836,1,2,1,05,1,1,1479.4647397,05,2018,11,201811,80,1,1,4,2,,,9,2,,2,,2,,1000000,2
4755836,1,3,1,05,1,1,1479.4647397,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755836,1,7,1,05,1,1,1479.4647397,05,2018,11,201811,80,1,4,4,2,,,4,2,,2,,,,,2
4755837,1,1,1,05,1,1,1115.0927184,05,2018,11,201811,80,1,4,1,1,,4,4,3,,2,,,,,3
4755839,1,2,1,05,1,1,1093.7939152,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755840,1,1,1,05,1,1,1050.3155665,05,2018,11,201811,80,1,1,8,2,,,8,3,,2,,,,,3
4755840,1,2,1,05,1,1,1050.3155665,05,2018,11,201811,80,1,4,3,2,,,9,2,,2,,,,,2
4755842,1,2,1,05,1,1,1585.7021098,05,2018,11,201811,80,1,4,9,2,,,11,2,,2,,,,,2
4755842,1,3,1,05,1,1,1585.7021098,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755848,1,3,1,05,1,1,540.92610484,05,2018,11,201811,80,2,,,,2,,,2,,2,,,,,2
4755849,1,1,1,05,1,1,1305.4502436,05,2018,11,201811,80,1,4,3,2,,,9,2,,2,,,,,2
