DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,DSI,FEX_C,RAMA4D_D_R4,RAMA2D_D_R4,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSCY,RAMA4D_D
4755779,1,3,1,05,1,1,1416.6727433,8129,81,05,2018,11,201811,70,32,48,1,2,8,1,2,2,1,,,,,,,,1,2,,781242,2,,39,55,74,2,7493
4755789,1,3,1,05,1,1,830.63024263,8413,84,05,2018,11,201811,70,4,24,1,2,32,4,9,2,1,,,1,,,,,,2,,781242,2,,37,03,75,1,7512
4755790,1,1,1,05,1,1,1305.6060426,5619,56,05,2018,11,201811,70,20,48,4,2,16,4,1,2,2,,,,,,,,1,1,25000,781242,2,,79,77,55,2,5529
4755790,1,3,1,05,1,1,1305.6060426,8413,84,05,2018,11,201811,70,40,48,1,2,4,4,9,2,2,,,,,,,,1,1,22500,781242,2,,45,58,75,2,7512
4755791,1,2,1,05,1,1,1439.9178337,4330,43,05,2018,11,201811,70,4,48,1,2,24,4,1,2,1,,,,,,,,1,2,,800000,2,,95,95,45,1,4521
4755798,1,1,1,05,1,1,1405.3664001,8530,85,05,2018,11,201811,70,36,48,1,2,104,2,9,2,2,,,,,,,,1,2,,781242,2,,13,13,80,2,8043
4755799,1,3,1,05,1,1,908.65296061,8130,81,05,2018,11,201811,70,16,48,1,2,16,1,9,2,4,,,,,,,,1,2,,781300,2,,03,59,01,2,0140
4755838,1,3,1,05,1,1,608.90169693,4330,43,05,2018,11,201811,70,4,60,1,2,20,4,1,2,1,,,,,,,,1,2,,1000000,2,,39,95,45,1,4552
4755845,1,1,1,05,1,1,1204.4398067,1922,19,05,2018,11,201811,70,8,48,1,2,12,1,9,2,8,,,,,,,,1,2,,781242,2,,97,02,24,1,2411
4755855,1,3,1,08,1,1,492.62132175,,,08,2018,11,201811,70,12,48,1,1,,,,,,,,,,,,,,,,1000000,,,03,,,1,
4755858,1,1,1,08,1,1,808.38617421,4754,47,08,2018,11,201811,70,16,48,1,2,16,1,3,2,1,,,,,,,,1,2,,750000,2,,45,40,52,2,5236
4755863,1,2,1,13,1,1,432.17202447,4771,47,13,2018,11,201811,70,26,48,1,2,26,1,4,2,1,,,,,,,,1,2,,1000000,2,,45,45,52,2,5233
4755865,1,2,1,13,1,1,343.24733779,,,13,2018,11,201811,70,24,48,1,1,,,,,,,,,,,,,,,,1000000,,,53,,,2,
4755870,1,3,1,13,1,1,155.76031699,5511,55,13,2018,11,201811,70,4,48,1,2,4,1,7,2,1,,,,,,,,1,1,98,781242,2,,54,54,55,1,5511
4755873,1,2,1,13,1,1,304.64761827,8890,88,13,2018,11,201811,70,16,48,1,2,16,4,1,2,1,,,,,,,,1,2,,99,2,,07,54,85,2,8532
4755877,1,2,1,15,1,1,74.542768482,4111,41,15,2018,11,201811,70,10,48,1,2,10,1,2,2,1,,,,,,,,1,2,,781242,2,,95,95,45,1,4521
4755888,1,2,1,15,1,1,74.542768482,7500,75,15,2018,11,201811,70,12,40,1,2,32,4,6,2,1,,,,,,,,1,2,,2000000,2,,06,06,85,1,8520
4755895,1,2,1,15,1,1,142.56368732,4921,49,15,2018,11,201811,70,18,48,4,2,18,4,1,2,2,,,,,,,,1,2,,781242,2,,98,98,60,2,6031
4755908,1,1,1,15,1,1,48.221411902,8121,81,15,2018,11,201811,70,4,48,1,2,4,4,1,2,2,,,,,,,,1,1,200000,781242,2,,45,54,74,1,7493
4755908,1,3,1,15,1,1,48.221411902,4771,47,15,2018,11,201811,70,8,40,1,2,8,1,2,2,2,,,,,,,,1,2,,1000000,2,,13,45,52,1,5233
4755910,1,2,1,15,1,1,119.02706913,4721,47,15,2018,11,201811,70,24,40,1,2,24,1,2,2,1,,,,,,,,1,2,,781242,2,,53,45,52,2,5221
4755912,1,1,1,15,1,1,100.76103849,4711,47,15,2018,11,201811,70,28,48,1,2,28,1,3,2,1,,,,,,,,1,2,,900000,2,,45,45,52,2,5211
4755915,1,1,1,15,1,1,143.1264066,3290,32,15,2018,11,201811,70,12,40,1,2,104,4,1,2,1,,,,,,,,1,2,,781242,2,,98,89,20,1,2090
4755916,1,1,1,15,1,1,81.620879415,8530,85,15,2018,11,201811,70,16,40,1,2,16,2,9,1,1,1,,,,,,,,2,,1000000,1,2,13,13,80,2,8042
4755922,1,2,1,15,1,1,123.79741828,4210,42,15,2018,11,201811,70,20,40,1,2,20,1,4,2,1,,,,,,,,1,2,,781242,2,,32,32,45,2,4530
4755925,1,3,1,15,1,1,123.90210429,,,15,2018,11,201811,70,2,24,1,1,,,,,,,,,,,,,,,,781242,,,45,,,1,
4755930,1,1,1,15,1,1,107.69701232,4111,41,15,2018,11,201811,70,3,48,1,2,3,1,5,2,4,,,,,,,,1,2,,1500000,2,,95,95,45,1,4521
4755933,1,2,1,15,1,1,131.36314246,6412,64,15,2018,11,201811,70,4,48,1,2,6,1,9,2,2,1,,,,,,,,2,,2000000,2,,44,44,65,1,6512
4755955,1,1,1,17,1,1,242.77903114,6910,69,17,2018,11,201811,70,8,48,1,2,8,1,3,2,2,,,,,,,,1,2,,2800000,2,,12,12,74,1,7411
4755955,1,2,1,17,1,1,242.77903114,8422,84,17,2018,11,201811,70,8,8,1,2,4,2,9,2,7,,,,,,,,1,1,250000,781242,2,,37,58,75,1,7522
4755958,1,3,1,17,1,1,267.09885691,8544,85,17,2018,11,201811,70,12,14,1,2,12,4,9,2,2,,,,,,,,1,2,,280000,2,,03,03,80,1,8050
4755959,1,3,1,17,1,1,265.71295875,5611,56,17,2018,11,201811,70,12,48,1,2,2,1,4,2,2,,,,,,,,1,1,100000,1000000,2,,59,53,55,1,5521
4755962,1,2,1,17,1,1,274.60876362,7490,74,17,2018,11,201811,70,10,48,1,2,10,1,5,2,2,,,,,,,,1,2,,1800000,2,,30,19,74,1,7414
