DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,DSI,FEX_C,RAMA4D_D_R4,RAMA2D_D_R4,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSCY,RAMA4D_D
4513824,1,1,1,05,1,1,1437.2074349,1312,13,05,2018,01,201801,70,6,48,1,2,6,1,7,2,1,,,,,,,,1,2,,737700,3,,37,37,17,1,1749
4513824,1,2,1,05,1,1,1437.2074349,5619,56,05,2018,01,201801,70,3,48,1,2,152,4,1,2,2,,,,,,,,1,2,,780000,2,,54,45,55,1,5529
4513828,1,3,1,05,1,1,1084.4543102,8610,86,05,2018,01,201801,70,16,48,1,2,16,2,9,2,2,,,,,,,,1,2,,1200000,2,,59,59,85,2,8511
4513831,1,3,1,05,1,1,1479.8576534,,,05,2018,01,201801,70,4,48,1,1,,,,,,,,,,,,,,,,737700,,,21,,,1,
4513832,1,2,1,05,1,1,1220.9894158,9329,93,05,2018,01,201801,70,20,48,1,2,20,1,6,2,7,,,,,,,,1,2,,800000,2,,44,33,92,2,9249
4513835,1,3,1,05,1,1,652.26828422,9700,97,05,2018,01,201801,70,54,24,1,2,4,3,1,2,2,,,,,,,,1,1,60000,781242,2,,03,54,95,2,9500
4513838,1,2,1,05,1,1,1271.6488242,5611,56,05,2018,01,201801,70,1,48,1,2,10,1,2,2,2,,,,,,,,1,2,,800000,2,,53,53,55,1,5521
4513840,1,2,1,05,1,1,1168.2467859,8610,86,05,2018,01,201801,70,24,48,1,2,24,1,9,2,1,,,,,,,,1,2,,1000000,2,,59,59,85,2,8511
4513841,1,5,1,05,1,1,1196.3436883,1020,10,05,2018,01,201801,70,2,48,1,2,6,1,6,2,7,,,,,,,,1,1,100000,783000,2,,38,97,15,1,1521
4513845,1,1,1,05,1,1,1126.899665,9700,97,05,2018,01,201801,70,12,48,3,2,12,3,1,2,1,,,,,,,,1,2,,781200,2,,54,54,95,1,9500
4513848,1,2,1,05,1,1,1110.68212,4752,47,05,2018,01,201801,70,52,48,1,2,94,1,2,2,1,,,,,,,,1,2,,800000,2,,53,45,52,2,5241
4513858,1,1,1,05,1,1,1127.7655666,5611,56,05,2018,01,201801,70,52,48,1,2,104,1,3,2,1,,,,,,,,1,2,,737700,3,,53,53,55,2,5529
4513860,1,2,1,05,1,1,1071.4936319,8523,85,05,2018,01,201801,70,2,48,4,2,4,4,9,2,1,1,,,,,,,,1,98,98,1,2,13,13,80,1,8060
4513860,1,3,1,05,1,1,1071.4936319,7310,73,05,2018,01,201801,70,104,48,1,2,24,1,5,2,3,,,,,,,,1,2,,1500000,2,,45,45,74,2,7430
4513862,1,3,1,05,1,1,1166.2494178,,,05,2018,01,201801,70,5,48,1,1,,,,,,,,,,,,,,,,737700,,,45,,,1,
4513865,1,1,1,05,1,1,1296.7238901,7110,71,05,2018,01,201801,70,3,48,1,2,20,4,4,2,1,1,,,,,,,,2,,3000000,1,1,02,02,74,1,7421
4513865,1,3,1,05,1,1,1296.7238901,7110,71,05,2018,01,201801,70,2,48,1,2,3,4,4,2,1,1,,,,,,,,1,4500000,3000000,1,1,02,02,74,1,7421
4513877,1,1,1,05,1,1,1543.2728764,8412,84,05,2018,01,201801,70,4,48,4,2,4,4,9,2,1,1,,,,,,,,1,2500000,3000000,1,2,08,08,75,1,7512
4513878,1,3,1,05,1,1,1234.3829394,1522,15,05,2018,01,201801,70,1,60,4,2,4,4,1,2,1,,,,,,,,1,1,300000,781242,2,,80,80,19,1,1929
4513881,1,2,1,05,1,1,1200.1867334,8220,82,05,2018,01,201801,70,192,48,1,2,192,1,9,2,2,,,,,,,,1,2,,737717,2,,19,38,74,2,7499
4513884,1,2,1,05,1,1,1314.094179,8412,84,05,2018,01,201801,70,2,48,4,2,2,4,9,2,1,1,,,,,,,,1,1350000,1900000,1,2,03,03,75,1,7512
4513891,1,3,1,05,1,1,1288.6211517,8412,84,05,2018,01,201801,70,4,48,4,2,4,4,9,2,1,1,,,,,,,,1,4300000,3500000,1,1,19,19,74,1,7412
4513897,1,3,1,05,1,1,1611.8895999,6920,69,05,2018,01,201801,70,30,48,1,2,60,1,3,2,1,1,,,,,,,,2,,1000000,1,1,11,11,74,2,7412
4513900,1,1,1,05,1,1,1385.13084,9007,90,05,2018,01,201801,70,3,48,2,2,4,4,5,2,2,,,,,,,,1,1,2000000,1600000,2,,13,17,92,1,9214
4513911,1,3,1,05,1,1,1064.2318852,4771,47,05,2018,01,201801,70,2,48,1,2,2,1,6,2,1,,,,,,,,1,1,560000,737717,2,,45,45,52,1,5233
4513914,1,2,1,05,1,1,1220.9894158,4759,47,05,2018,01,201801,70,1,48,1,2,1,1,4,2,3,,,,,,,,1,1,1100000,737000,2,,45,45,52,1,5237
4513916,1,1,1,05,1,1,1450.6292845,5224,52,05,2018,01,201801,70,8,48,1,2,3,1,9,2,3,,,,,,,,1,1,850000,1200000,2,,97,97,63,1,6310
4513923,1,1,1,05,1,1,1450.6292845,1089,10,05,2018,01,201801,70,2,48,1,2,2,1,9,2,1,1,,,,,,,,1,1200000,1200000,1,1,45,45,15,1,1589
4513930,1,3,1,05,1,1,1260.5508014,4755,47,05,2018,01,201801,70,6,48,1,2,2,1,5,2,2,,,,,,,,1,2,,700000,2,,84,45,52,1,5237
4513934,1,3,1,05,1,1,1398.0625458,8610,86,05,2018,01,201801,70,1,48,1,2,24,1,9,2,1,,,,,,,,1,2,,781242,2,,59,59,85,1,8511
4513936,1,2,1,05,1,1,1085.3202119,,,05,2018,01,201801,70,52,48,1,1,,,,,,,,,,,,,,,,800000,,,55,,,2,
4513940,1,2,1,05,1,1,1354.2358219,5611,56,05,2018,01,201801,70,4,24,1,2,2,1,4,2,2,,,,,,,,1,1,600000,400000,2,,53,53,55,1,5521
