DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,P5220,P5220S1,P6008,P6007,P6007S1,P4000,P4010,P4020,P4030S1,P4030S1A1,P4030S2,P4030S3,P4030S4,P4030S4A1,P4030S5,P4040,REGIS,P6006
4513822,1,1,1,05,1,1156.4850166,05,2018,01,201801,4,2,1,1,1,1,1,4,1,,98,400000,,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,1,2,2,1,3,5,2,,2,1,4,1,2,2,1,1,3,1,1,01,
4513823,1,1,1,05,1,1144.1872368,05,2018,01,201801,3,2,1,1,1,1,1,3,3,,,,250000,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,4,2,,2,1,4,1,2,1,1,1,3,1,1,01,
4513824,1,1,1,05,1,1437.2074349,05,2018,01,201801,5,4,3,1,1,1,1,3,3,,,,250000,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,4,2,,2,1,2,1,2,1,2,1,3,1,1,01,
4513825,1,1,1,05,1,1395.0913235,05,2018,01,201801,4,2,1,1,1,1,1,4,1,,200000000,700000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,3,3,2,,2,1,4,1,2,2,1,1,2,1,1,01,
4513826,1,1,1,05,1,1353.6873974,05,2018,01,201801,3,1,1,1,1,1,1,4,1,,50000000,450000,,2,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,,2,1,4,1,2,2,1,1,2,1,1,01,
4513827,1,1,1,05,1,607.98631009,05,2018,01,201801,4,3,1,1,1,1,1,4,3,,,,500000,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,5,2,,2,1,4,1,2,2,1,1,2,1,1,01,
4513828,1,1,1,05,1,1084.4543102,05,2018,01,201801,3,2,1,1,1,1,1,3,1,,55000000,400000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,3,3,2,,2,1,4,1,2,1,1,1,3,1,1,01,
4513829,1,1,1,05,1,1259.5976466,05,2018,01,201801,4,1,1,1,1,1,1,3,1,,150000000,700000,,2,2,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,2,2,2,1,1,1,1,2,,2,1,4,1,2,1,1,1,2,1,1,01,
4513830,1,1,1,05,1,1298.4862281,05,2018,01,201801,4,3,1,1,1,1,1,3,1,,130000000,750000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,4,4,2,,2,1,4,1,2,1,1,1,2,1,1,01,
4513831,1,1,1,05,1,1479.8576534,05,2018,01,201801,4,3,1,1,1,1,1,3,1,,130000000,600000,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,4,4,2,,2,1,4,1,2,1,1,1,2,1,1,01,
