DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4513824,1,3,1,05,1,1,1437.2074349,05,2018,01,201801,80,1,4,6,2,,,4,2,,2,,2,,500000,2
4513824,1,4,1,05,1,1,1437.2074349,05,2018,01,201801,80,1,3,4,2,,,4,2,,2,,,,,2
4513825,1,1,1,05,1,1,1395.0913235,05,2018,01,201801,80,1,4,1,1,,4,6,1,,2,,,,,2
4513825,1,3,1,05,1,1,1395.0913235,05,2018,01,201801,80,1,4,5,2,,,10,3,,2,,,,,3
4513830,1,4,1,05,1,1,1298.4862281,05,2018,01,201801,80,2,,,,2,,,2,,2,,,,,2
4513831,1,2,1,05,1,1,1479.8576534,05,2018,01,201801,80,2,,,,2,,,2,,2,,,,,2
4513831,1,4,1,05,1,1,1479.8576534,05,2018,01,201801,80,2,,,,2,,,2,,2,,,,,2
4513834,1,2,1,05,1,1,1259.1364753,05,2018,01,201801,80,1,4,8,1,,1,9,2,,2,,2,,781200,2
4513836,1,2,1,05,1,1,1436.0337141,05,2018,01,201801,80,1,1,3,2,,,9,2,,2,,2,,737717,2
4513837,1,2,1,05,1,1,1056.590318,05,2018,01,201801,80,1,4,3,2,,,9,1,,2,,,,,2
4513839,1,1,1,05,1,1,1302.4477316,05,2018,01,201801,80,2,,,,2,,,2,,2,,,,,2
4513841,1,3,1,05,1,1,1196.3436883,05,2018,01,201801,80,2,,,,2,,,2,,2,,,,,2
4513841,1,4,1,05,1,1,1196.3436883,05,2018,01,201801,80,1,4,1,2,,,8,2,,2,,,,,2
4513842,1,1,1,05,1,1,1328.2143701,05,2018,01,201801,80,1,4,1,1,,4,8,2,,2,,,,,2
4513842,1,2,1,05,1,1,1328.2143701,05,2018,01,201801,80,1,4,5,1,,4,8,3,,2,,,,,3
4513844,1,1,1,05,1,1,800.60355345,05,2018,01,201801,80,1,4,3,2,,,8,2,,2,,,,,2
4513846,1,3,1,05,1,1,1238.9140502,05,2018,01,201801,80,1,1,8,2,,,2,2,,1,80000,1,40,737717,2
4513849,1,1,1,05,1,1,1071.8592443,05,2018,01,201801,80,1,1,6,2,,,6,2,,2,,1,16,200000,2
4513850,1,2,1,05,1,1,1132.9343864,05,2018,01,201801,80,2,,,,2,,,2,,2,,,,,2
4513850,1,4,1,05,1,1,1132.9343864,05,2018,01,201801,80,2,,,,2,,,2,,2,,,,,2
4513851,1,2,1,05,1,1,1395.6715808,05,2018,01,201801,80,1,1,2,2,,,2,2,,2,,1,48,98,2
4513855,1,2,1,05,1,1,1342.846234,05,2018,01,201801,80,2,,,,2,,,2,,1,400000,2,,781200,2
4513857,1,4,1,05,1,1,1017.6066937,05,2018,01,201801,80,2,,,,2,,,2,,2,,,,,2
4513857,1,5,1,05,1,1,1017.6066937,05,2018,01,201801,80,1,4,4,2,,,8,2,,2,,,,,2
4513859,1,1,1,05,1,1,1420.857962,05,2018,01,201801,80,1,4,3,2,,,9,1,2,2,,1,48,737000,1
4513859,1,2,1,05,1,1,1420.857962,05,2018,01,201801,80,2,,,,2,,,2,,2,,1,48,1100000,2
4513859,1,3,1,05,1,1,1420.857962,05,2018,01,201801,80,1,4,3,2,,,9,2,,2,,,,,2
4513860,1,1,1,05,1,1,1071.4936319,05,2018,01,201801,80,1,3,5,1,,3,12,3,,2,,,,,3
4513861,1,2,1,05,1,1,1383.3769376,05,2018,01,201801,80,1,1,2,2,,,2,2,,2,,,,,2
4513863,1,2,1,05,1,1,1340.9315828,05,2018,01,201801,80,1,4,3,2,,,9,2,,2,,1,48,800000,2
4513864,1,2,1,05,1,1,1510.5381023,05,2018,01,201801,80,1,4,3,2,,,9,2,,2,,1,48,800000,2
4513864,1,3,1,05,1,1,1510.5381023,05,2018,01,201801,80,1,2,2,2,,,2,2,,2,,2,,900000,2
4513866,1,1,1,05,1,1,1302.4477316,05,2018,01,201801,80,1,4,3,2,,,9,2,,2,,,,,2
4513867,1,1,1,05,1,1,1328.2143701,05,2018,01,201801,80,1,4,5,2,,,10,3,,2,,,,,3
4513867,1,2,1,05,1,1,1328.2143701,05,2018,01,201801,80,1,4,4,2,,,10,3,,2,,,,,3
4513868,1,1,1,05,1,1,1260.0023769,05,2018,01,201801,80,1,3,3,2,,,11,2,,2,,,,,2
4513870,1,2,1,05,1,1,1507.5609589,05,2018,01,201801,80,1,1,4,2,,,7,2,,2,,,,,2
4513870,1,3,1,05,1,1,1507.5609589,05,2018,01,201801,80,2,,,,2,,,2,,2,,,,,2
4513870,1,4,1,05,1,1,1507.5609589,05,2018,01,201801,80,1,3,3,2,,,9,1,,2,,,,,2
4513873,1,1,1,05,1,1,1328.2143701,05,2018,01,201801,80,1,4,4,2,,,4,2,,2,,,,,2
4513873,1,2,1,05,1,1,1328.2143701,05,2018,01,201801,80,1,4,3,2,,,9,2,,2,,,,,2
4513874,1,3,1,05,1,1,872.22047186,05,2018,01,201801,80,1,3,6,2,,,11,2,,2,,,,,2
4513876,1,1,1,05,1,1,1421.8993906,05,2018,01,201801,80,1,4,6,1,,4,8,2,,1,20000,1,48,781200,2
4513877,1,2,1,05,1,1,1543.2728764,05,2018,01,201801,80,1,4,3,2,,,9,2,,2,,,,,2
4513878,1,1,1,05,1,1,1234.3829394,05,2018,01,201801,80,1,4,8,1,,4,5,2,,2,,1,48,781242,2
4513878,1,2,1,05,1,1,1234.3829394,05,2018,01,201801,80,1,4,3,2,,,9,2,,2,,,,,2
4513878,2,1,2,05,1,1,1234.3829394,05,2018,01,201801,80,1,2,7,1,,2,8,2,,2,,,,,2
4513878,2,2,2,05,1,1,1234.3829394,05,2018,01,201801,80,1,2,6,2,,,11,1,,2,,,,,2
4513878,3,1,3,05,1,1,1234.3829394,05,2018,01,201801,80,1,3,8,2,,,9,2,,2,,,,,2
4513879,1,1,1,05,1,1,1328.2143701,05,2018,01,201801,80,1,4,8,1,,4,8,2,,2,,2,,781200,2
4513879,1,2,1,05,1,1,1328.2143701,05,2018,01,201801,80,2,,,,2,,,2,,2,,,,,2
4513881,1,1,1,05,1,1,1200.1867334,05,2018,01,201801,80,1,4,3,2,,,9,2,,2,,,,,2
4513883,1,1,1,05,1,1,1342.9289509,05,2018,01,201801,80,1,3,2,2,,,2,2,,2,,2,,1200000,2
4513889,1,2,1,05,1,1,879.61036224,05,2018,01,201801,80,2,,,,2,,,2,,2,,,,,2
4513890,1,1,1,05,1,1,1171.4568395,05,2018,01,201801,80,1,4,5,2,,,10,3,,2,,,,,3
4513890,1,2,1,05,1,1,1171.4568395,05,2018,01,201801,80,2,,,,2,,,2,,2,,,,,2
4513891,1,1,1,05,1,1,1288.6211517,05,2018,01,201801,80,1,4,5,2,,,10,3,,2,,,,,3
