DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,DSI,FEX_C,RAMA4D_D_R4,RAMA2D_D_R4,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSCY,RAMA4D_D
4609934,1,2,1,,1,1,3953.9776563,8412,84,68,2018,05,201805,70,26,48,1,2,52,4,9,2,2,,,,,,,,1,2,,1500000,2,,19,19,75,2,7512
4609937,1,2,1,,1,1,4406.1141421,4210,42,68,2018,05,201805,70,24,48,1,2,24,1,9,2,4,,,1,,,,,,2,,2000000,2,,02,02,45,2,4530
4609967,1,3,1,,1,1,2449.624709,5229,52,76,2018,05,201805,70,46,48,1,2,47,1,7,2,4,,,,,,,,1,2,,750000,2,,39,39,63,2,6390
4609968,1,3,1,,1,1,3205.385138,8010,80,76,2018,05,201805,70,4,40,1,2,32,1,9,2,1,,,,,,,,1,2,,900000,2,,58,58,74,1,7492
4609971,1,1,1,,1,1,3786.5005816,8530,85,76,2018,05,201805,70,20,40,2,2,20,2,9,2,1,,,,,,,,1,2,,1200000,2,,13,13,80,2,8043
4609975,1,1,1,,1,1,1990.9376186,0220,02,76,2018,05,201805,70,4,50,4,2,4,4,1,2,8,,,,,,,,1,2,,600000,2,,73,73,02,1,0201
4609998,1,1,1,,1,1,3203.0078797,8010,80,76,2018,05,201805,70,18,48,1,2,52,1,9,2,1,,,,,,,,1,2,,740000,2,,58,58,74,2,7492
4610002,1,2,1,05,1,1,1144.6773941,1811,18,05,2018,05,201805,70,32,48,1,2,34,1,6,2,2,,,,,,,,1,2,,800000,2,,02,39,22,2,2220
4610004,1,2,1,05,1,1,1130.2272648,9329,93,05,2018,05,201805,70,4,48,1,2,4,1,6,2,1,,,,,,,,1,1,920000,800000,2,,33,33,92,1,9249
4610013,1,1,1,05,1,1,929.33114584,1410,14,05,2018,05,201805,70,26,48,4,2,26,4,1,2,1,1,,,,,,,,2,,800000,1,1,79,79,18,2,1810
4610013,1,3,1,05,1,1,929.33114584,1081,10,05,2018,05,201805,70,12,48,1,2,16,1,3,2,1,,,,,,,,1,2,,781242,2,,37,45,15,1,1541
4610015,1,1,1,05,1,1,1173.7811585,1410,14,05,2018,05,201805,70,52,48,1,2,52,1,9,2,1,,,,,,,,1,2,,800000,2,,79,79,18,2,1810
4610024,1,1,1,05,1,1,812.70014757,9700,97,05,2018,05,201805,70,3,48,3,2,11,3,1,2,1,,,,,,,1,,2,,781242,3,,54,54,95,1,9500
4610024,1,3,1,05,1,1,812.70014757,5320,53,05,2018,05,201805,70,20,48,1,2,3,1,9,2,2,,,,,,,,1,1,430000,1000000,2,,33,39,64,2,6412
4610026,1,3,1,05,1,1,1068.3183618,5619,56,05,2018,05,201805,70,52,48,1,2,52,1,6,2,2,,,,,,,,1,2,,781242,2,,75,77,15,2,1551
4610038,1,2,1,05,1,1,1418.9731703,1521,15,05,2018,05,201805,70,3,48,1,2,8,1,4,2,1,,,,,,,,1,2,,781242,2,,80,80,19,1,1929
4610044,1,3,1,05,1,1,1484.0024272,,,05,2018,05,201805,70,24,48,1,1,,,,,,,,,,,,,,,,1000000,,,04,,,2,
4610054,1,4,1,05,1,1,1324.1930311,1811,18,05,2018,05,201805,70,20,50,1,2,16,1,5,2,2,,,,,,,,1,2,,800000,2,,53,97,22,2,2220
4610055,1,2,1,05,1,1,986.44775992,4723,47,05,2018,05,201805,70,24,48,1,2,5,1,9,2,2,,,,,,,,1,2,,781242,2,,55,45,52,2,5223
4610056,1,5,1,05,1,1,1588.1263274,3110,31,05,2018,05,201805,70,8,48,1,2,10,1,3,2,1,,,,,,,,1,2,,781242,2,,38,87,36,1,3611
4610058,1,3,1,05,1,1,1184.5298357,5611,56,05,2018,05,201805,70,12,48,1,2,24,1,2,2,1,,,,,,,,1,2,,781200,2,,33,33,55,1,5521
4610062,1,2,1,05,1,1,1016.7204336,5630,56,05,2018,05,201805,70,3,40,1,2,4,1,3,2,3,,,,,,,,1,1,800000,781242,2,,53,53,55,1,5530
4610064,1,2,1,05,1,1,1227.748602,,,05,2018,05,201805,70,24,48,1,1,,,,,,,,,,,,,,,,781242,,,21,,,2,
4610070,1,4,1,05,1,1,947.43336338,8010,80,05,2018,05,201805,70,16,48,1,2,16,1,9,2,3,,,,,,,,1,2,,781242,2,,58,58,74,2,7492
4610075,1,4,1,05,1,1,785.77825818,1410,14,05,2018,05,201805,70,12,48,1,2,12,1,4,2,4,,,,,,,,1,2,,781242,2,,79,79,18,1,1810
4610079,1,3,1,05,1,1,1429.8966932,7310,73,05,2018,05,201805,70,4,48,4,2,4,4,1,2,2,,,,,,,,1,1,1000000,1200000,2,,16,16,74,1,7430
4610080,1,3,1,05,1,1,599.42293102,,,05,2018,05,201805,70,4,48,1,1,,,,,,,,,,,,,,,,787000,,,59,,,1,
4610080,1,5,1,05,1,1,599.42293102,9602,96,05,2018,05,201805,70,12,48,1,2,2,4,1,2,2,,,,,,,,1,1,20000,737000,2,,45,57,93,1,9302
4610093,1,1,1,05,1,1,741.63318393,8551,85,05,2018,05,201805,70,52,48,1,2,52,1,4,2,4,,,,,,,,1,2,,781242,2,,45,45,80,2,8060
4610093,1,3,1,05,1,1,741.63318393,9200,92,05,2018,05,201805,70,16,48,1,2,16,1,7,2,4,,,,,,,,1,2,,781242,2,,45,59,92,2,9242
