DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P6290,P6230,P6240,P6250,P6260,P6270,P6280,P6300,P6310,P6320,P6330,P6340,P6350,P6351,RABAND,FT
4609934,1,1,1,,1,3953.9776563,68,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4609934,1,2,1,,1,3953.9776563,68,2018,05,201805,50,,2,4,2,2,2,2,1,2,1,1,,6,1,1,1
4609935,1,1,1,,1,3714.4196587,68,2018,05,201805,50,,1,4,2,2,2,2,2,,,,,,,,1
4609935,1,2,1,,1,3714.4196587,68,2018,05,201805,50,,2,1,,,,,,,,,,,,,1
4609937,1,1,1,,1,4406.1141421,68,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4609937,1,2,1,,1,4406.1141421,68,2018,05,201805,50,2,2,2,2,2,2,1,,,,,,,1,,1
4609956,1,1,1,,1,5402.6535087,68,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4609956,1,2,1,,1,5402.6535087,68,2018,05,201805,50,,2,1,,,,,,,,,,,,,1
4609956,1,3,1,,1,5402.6535087,68,2018,05,201805,50,,3,3,2,2,2,2,2,,,,,,,,1
4609956,1,4,1,,1,5402.6535087,68,2018,05,201805,50,,4,3,2,2,2,2,2,,,,,,,,1
4609957,1,1,1,,1,4816.8368775,68,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4609957,1,2,1,,1,4816.8368775,68,2018,05,201805,50,,2,4,2,2,2,2,1,13,,,,,,2,1
4609958,1,1,1,,1,3559.6877778,68,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4609958,1,2,1,,1,3559.6877778,68,2018,05,201805,50,,2,1,,,,,,,,,,,,,1
4609967,1,1,1,,1,2449.624709,76,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4609967,1,2,1,,1,2449.624709,76,2018,05,201805,50,,2,1,,,,,,,,,,,,,1
4609967,1,3,1,,1,2449.624709,76,2018,05,201805,50,1,3,2,2,2,2,1,,,,,,,1,,1
4609968,1,1,1,,1,3205.385138,76,2018,05,201805,50,,1,4,2,2,2,2,2,,,,,,,,1
4609968,1,2,1,,1,3205.385138,76,2018,05,201805,50,,2,5,,,,,,,,,,,,,1
4609968,1,3,1,,1,3205.385138,76,2018,05,201805,50,2,3,2,2,2,2,1,,,,,,,1,,1
4609969,1,1,1,,1,3361.9467236,76,2018,05,201805,50,,1,6,2,2,2,2,2,,,,,,,,1
4609969,1,2,1,,1,3361.9467236,76,2018,05,201805,50,,2,5,,,,,,,,,,,,,1
4609971,1,1,1,,1,3786.5005816,76,2018,05,201805,50,2,1,6,2,2,2,1,,,,,,,1,,1
4609971,1,2,1,,1,3786.5005816,76,2018,05,201805,50,,2,4,2,2,2,2,1,6,2,,2,,,1,1
4609973,1,1,1,,1,3361.9467236,76,2018,05,201805,50,,1,6,2,2,2,2,2,,,,,,,,1
4609973,1,2,1,,1,3361.9467236,76,2018,05,201805,50,,2,6,2,2,2,2,2,,,,,,,,1
4609974,1,1,1,,1,2655.2175838,76,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4609974,1,2,1,,1,2655.2175838,76,2018,05,201805,50,,2,1,,,,,,,,,,,,,1
4609974,1,3,1,,1,2655.2175838,76,2018,05,201805,50,,3,1,,,,,,,,,,,,,1
4609975,1,1,1,,1,1990.9376186,76,2018,05,201805,50,1,1,6,2,2,2,1,,,,,,,1,,1
4609975,1,2,1,,1,1990.9376186,76,2018,05,201805,50,,2,4,2,2,2,2,2,,,,,,,,1
4609975,1,3,1,,1,1990.9376186,76,2018,05,201805,50,,3,3,2,2,2,2,2,,,,,,,,1
4609975,1,4,1,,1,1990.9376186,76,2018,05,201805,50,,4,1,,,,,,,,,,,,,1
4609975,1,5,1,,1,1990.9376186,76,2018,05,201805,50,,5,4,2,2,2,2,1,10,,,,,,2,1
4609976,1,1,1,,1,2372.232471,76,2018,05,201805,50,,1,4,1,,,,,,,,,,,,1
4609976,1,5,1,,1,2372.232471,76,2018,05,201805,50,,5,4,2,2,2,2,2,,,,,,,,1
4609987,1,1,1,,1,3832.4630615,76,2018,05,201805,50,,1,4,2,2,2,2,2,,,,,,,,1
4609987,1,2,1,,1,3832.4630615,76,2018,05,201805,50,,2,6,2,2,2,2,2,,,,,,,,1
4609987,1,3,1,,1,3832.4630615,76,2018,05,201805,50,,3,4,2,2,2,2,2,,,,,,,,1
4609997,1,1,1,,1,4131.6150674,76,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4609997,1,2,1,,1,4131.6150674,76,2018,05,201805,50,,1,3,2,2,2,2,2,,,,,,,,1
4609998,1,1,1,,1,3203.0078797,76,2018,05,201805,50,2,1,3,2,2,2,1,,,,,,,1,,1
4610000,1,1,1,05,1,878.36265618,05,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4610000,1,2,1,05,1,878.36265618,05,2018,05,201805,50,,2,4,2,2,2,2,2,,,,,,,,1
4610000,1,3,1,05,1,878.36265618,05,2018,05,201805,50,,3,3,2,2,2,2,2,,,,,,,,1
4610001,1,1,1,05,1,1145.6073162,05,2018,05,201805,50,,1,4,2,2,2,2,2,,,,,,,,1
4610002,1,1,1,05,1,1144.6773941,05,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4610002,1,2,1,05,1,1144.6773941,05,2018,05,201805,50,2,2,4,2,2,2,1,,,,,,,1,,1
4610002,1,3,1,05,1,1144.6773941,05,2018,05,201805,50,,3,3,2,2,2,2,2,,,,,,,,1
4610003,1,1,1,05,1,522.53217466,05,2018,05,201805,50,,1,4,1,,,,,,,,,,,,1
4610003,1,2,1,05,1,522.53217466,05,2018,05,201805,50,,2,1,,,,,,,,,,,,,1
4610003,1,3,1,05,1,522.53217466,05,2018,05,201805,50,,3,1,,,,,,,,,,,,,1
4610003,1,4,1,05,1,522.53217466,05,2018,05,201805,50,,4,3,1,,,,,,,,,,,,1
4610003,1,5,1,05,1,522.53217466,05,2018,05,201805,50,,5,1,,,,,,,,,,,,,1
4610004,1,1,1,05,1,1130.2272648,05,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4610004,1,2,1,05,1,1130.2272648,05,2018,05,201805,50,2,2,2,2,2,2,1,,,,,,,1,,1
4610005,1,1,1,05,1,1443.0948503,05,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4610005,1,2,1,05,1,1443.0948503,05,2018,05,201805,50,,2,4,2,2,2,2,2,,,,,,,,1
4610006,1,1,1,05,1,952.91835031,05,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4610006,1,2,1,05,1,952.91835031,05,2018,05,201805,50,,2,4,1,,,,,,,,,,,,1
4610006,1,3,1,05,1,952.91835031,05,2018,05,201805,50,,3,1,,,,,,,,,,,,,1
4610006,1,4,1,05,1,952.91835031,05,2018,05,201805,50,,4,1,,,,,,,,,,,,,1
4610007,1,1,1,05,1,1042.4114599,05,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4610007,1,2,1,05,1,1042.4114599,05,2018,05,201805,50,,2,4,2,2,2,2,2,,,,,,,,1
4610007,1,3,1,05,1,1042.4114599,05,2018,05,201805,50,,3,1,,,,,,,,,,,,,1
4610008,1,1,1,05,1,1408.7224621,05,2018,05,201805,50,,1,1,,,,,,,,,,,,,1
4610008,1,2,1,05,1,1408.7224621,05,2018,05,201805,50,,2,4,2,2,2,2,2,,,,,,,,1
4610008,1,3,1,05,1,1408.7224621,05,2018,05,201805,50,,2,6,2,2,2,2,2,,,,,,,,1
4610009,1,1,1,05,1,1041.8609143,05,2018,05,201805,50,,1,4,2,2,2,2,2,,,,,,,,1
4610009,1,3,1,05,1,1041.8609143,05,2018,05,201805,50,,3,6,2,1,,,,,,,,,,,1
