DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4609935,1,1,1,,1,1,3714.4196587,68,2018,05,201805,80,2,,,,2,,,2,,2,,,,,2
4609956,1,3,1,,1,1,5402.6535087,68,2018,05,201805,80,2,,,,2,,,2,,2,,,,,2
4609956,1,4,1,,1,1,5402.6535087,68,2018,05,201805,80,2,,,,2,,,2,,2,,,,,2
4609957,1,2,1,,1,1,4816.8368775,68,2018,05,201805,80,1,3,3,2,,,9,2,,2,,2,,3000000,2
4609968,1,1,1,,1,1,3205.385138,76,2018,05,201805,80,1,4,3,2,,,9,2,,2,,,,,2
4609968,1,2,1,,1,1,3205.385138,76,2018,05,201805,80,1,4,4,1,,4,4,2,,2,,,,,2
4609969,1,1,1,,1,1,3361.9467236,76,2018,05,201805,80,1,4,5,2,,,10,3,,2,,,,,3
4609969,1,2,1,,1,1,3361.9467236,76,2018,05,201805,80,1,4,4,2,,,4,2,,2,,,,,2
4609971,1,2,1,,1,1,3786.5005816,76,2018,05,201805,80,2,,,,2,,,2,,2,,1,48,600000,2
4609973,1,1,1,,1,1,3361.9467236,76,2018,05,201805,80,1,4,4,2,,,4,2,,2,,,,,2
4609973,1,2,1,,1,1,3361.9467236,76,2018,05,201805,80,2,,,,2,,,2,,2,,,,,2
4609975,1,2,1,,1,1,1990.9376186,76,2018,05,201805,80,2,,,,2,,,2,,2,,,,,2
4609975,1,3,1,,1,1,1990.9376186,76,2018,05,201805,80,1,2,8,2,,,2,2,,2,,,,,2
4609975,1,5,1,,1,1,1990.9376186,76,2018,05,201805,80,1,3,3,2,,,9,2,,2,,2,,98,2
4609976,1,5,1,,1,1,2372.232471,76,2018,05,201805,80,1,4,3,2,,,8,2,,2,,,,,2
4609987,1,1,1,,1,1,3832.4630615,76,2018,05,201805,80,2,,,,2,,,2,,2,,,,,2
4609987,1,2,1,,1,1,3832.4630615,76,2018,05,201805,80,1,1,9,2,,,12,2,,2,,,,,2
4609987,1,3,1,,1,1,3832.4630615,76,2018,05,201805,80,2,,,,2,,,2,,2,,,,,2
4609997,1,2,1,,1,1,4131.6150674,76,2018,05,201805,80,2,,,,2,,,2,,2,,,,,2
4610000,1,2,1,05,1,1,878.36265618,05,2018,05,201805,80,1,4,5,2,,,11,3,,2,,,,,3
4610000,1,3,1,05,1,1,878.36265618,05,2018,05,201805,80,1,1,2,2,,,2,2,,2,,,,,2
4610001,1,1,1,05,1,1,1145.6073162,05,2018,05,201805,80,1,3,5,2,,,10,3,,2,,,,,3
4610002,1,3,1,05,1,1,1144.6773941,05,2018,05,201805,80,2,,,,2,,,2,,2,,,,,2
4610005,1,2,1,05,1,1,1443.0948503,05,2018,05,201805,80,1,4,3,2,,,9,1,,2,,,,,2
4610007,1,2,1,05,1,1,1042.4114599,05,2018,05,201805,80,1,4,3,2,,,9,1,,2,,,,,2
4610008,1,2,1,05,1,1,1408.7224621,05,2018,05,201805,80,1,4,3,2,,,9,2,,2,,,,,2
4610008,1,3,1,05,1,1,1408.7224621,05,2018,05,201805,80,1,1,9,2,,,9,2,,2,,,,,2
4610009,1,1,1,05,1,1,1041.8609143,05,2018,05,201805,80,1,1,3,2,,,9,2,,1,100000,,,,2
4610010,1,2,1,05,1,1,1398.4114873,05,2018,05,201805,80,1,4,3,2,,,9,2,,2,,,,,2
4610010,1,3,1,05,1,1,1398.4114873,05,2018,05,201805,80,1,1,8,2,,,2,2,,2,,,,,2
4610011,1,1,1,05,1,1,1145.6073162,05,2018,05,201805,80,1,4,4,2,,,4,2,,2,,,,,2
4610014,1,1,1,05,1,1,1220.5867977,05,2018,05,201805,80,1,4,5,2,,,10,3,,2,,,,,3
4610014,1,2,1,05,1,1,1220.5867977,05,2018,05,201805,80,1,4,5,2,,,10,3,,2,,,,,3
4610015,1,2,1,05,1,1,1173.7811585,05,2018,05,201805,80,1,3,4,2,,,4,2,,2,,,,,2
4610015,1,3,1,05,1,1,1173.7811585,05,2018,05,201805,80,1,4,3,2,,,9,1,,2,,,,,2
4610016,1,1,1,05,1,1,1145.6073162,05,2018,05,201805,80,1,4,7,2,,,8,2,,2,,,,,2
4610017,1,1,1,05,1,1,1094.0093881,05,2018,05,201805,80,1,3,4,2,,,4,2,,2,,,,,2
