DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4658798,1,2,1,,1,1,2489.8818131,68,2018,07,201807,80,2,,,,2,,,2,,2,,,,,2
4658799,1,3,1,,1,1,1741.9544248,68,2018,07,201807,80,1,4,3,2,,,8,2,,2,,,,,2
4658800,1,4,1,,1,1,1159.4560039,68,2018,07,201807,80,1,4,8,1,,4,9,2,,2,,1,40,781242,2
4658800,1,5,1,,1,1,1159.4560039,68,2018,07,201807,80,1,4,4,2,,,4,2,,2,,,,,2
4658801,1,1,1,,1,1,1639.2815771,68,2018,07,201807,80,2,,,,2,,,2,,2,,,,,2
4658801,1,3,1,,1,1,1639.2815771,68,2018,07,201807,80,2,,,,2,,,2,,2,,,,,2
4658802,1,2,1,,1,1,1159.4560039,68,2018,07,201807,80,2,,,,2,,,2,,2,,,,,2
4658803,1,1,1,,1,1,1390.6775587,68,2018,07,201807,80,1,4,5,1,,2,1,3,,2,,,,,3
4658803,1,2,1,,1,1,1390.6775587,68,2018,07,201807,80,1,4,3,2,,,9,2,,2,,,,,2
4658803,1,3,1,,1,1,1390.6775587,68,2018,07,201807,80,1,1,8,2,,,2,1,,2,,1,24,781242,2
4658803,1,4,1,,1,1,1390.6775587,68,2018,07,201807,80,2,,,,2,,,2,,2,,1,28,781242,2
4658804,1,1,1,,1,1,4398.2973728,68,2018,07,201807,80,1,3,4,2,,,4,3,,2,,,,,3
4658805,1,3,1,,1,1,2455.8403298,68,2018,07,201807,80,2,,,,2,,,2,,2,,,,,2
4658806,1,2,1,,1,1,3782.7267034,68,2018,07,201807,80,1,4,3,2,,,9,2,,2,,,,,2
4658807,1,2,1,,1,1,2384.4544084,68,2018,07,201807,80,2,,,,1,1,2,2,,2,,,,,2
4658808,1,1,1,,1,1,1159.4560039,68,2018,07,201807,80,1,4,5,1,,3,10,3,,2,,1,48,781242,3
4658808,1,2,1,,1,1,1159.4560039,68,2018,07,201807,80,1,1,9,2,,,9,2,,2,,1,40,781242,2
4658808,1,3,1,,1,1,1159.4560039,68,2018,07,201807,80,2,,,,2,,,2,,2,,,,,2
4658808,1,5,1,,1,1,1159.4560039,68,2018,07,201807,80,2,,,,2,,,2,,2,,1,48,781242,2
4658809,1,5,1,,1,1,4072.2579283,68,2018,07,201807,80,1,1,8,2,,,1,2,,2,,1,48,781242,2
4658810,1,2,1,,1,1,2021.1799225,68,2018,07,201807,80,2,,,,1,1,9,2,,2,,1,30,781242,2
4658811,1,6,1,,1,1,1249.244878,68,2018,07,201807,80,1,4,3,2,,,9,2,,2,,,,,2
4658813,1,1,1,,1,1,2382.8462487,68,2018,07,201807,80,2,,,,1,1,1,2,,2,,1,24,781242,2
4658814,1,1,1,,1,1,3391.3573994,68,2018,07,201807,80,1,4,3,2,,,4,2,,2,,2,,800000,2
4658815,1,1,1,,1,1,1273.0410687,68,2018,07,201807,80,1,4,4,2,,,9,2,,2,,1,24,781242,2
4658816,1,1,1,,1,1,2880.7532808,68,2018,07,201807,80,1,1,3,2,,,9,2,,2,,2,,781242,2
4658817,1,2,1,,1,1,3349.4551713,68,2018,07,201807,80,1,4,3,2,,,5,2,,2,,,,,2
