DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,P5220,P5220S1,P6008,P6007,P6007S1,P4000,P4010,P4020,P4030S1,P4030S1A1,P4030S2,P4030S3,P4030S4,P4030S4A1,P4030S5,P4040,REGIS,P6006
4671845,1,1,1,17,1,249.96520387,17,2018,07,201807,4,3,1,1,1,1,1,3,4,,,350000,,2,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,4,4,2,,2,1,4,1,2,1,1,1,2,1,1,01,
4671846,1,1,1,17,1,237.41137835,17,2018,07,201807,7,5,1,1,1,1,1,3,1,,130000000,700000,,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,2,1,5,5,2,,1,1,4,1,3,1,1,1,2,1,1,01,
4671847,1,1,1,17,1,291.17055341,17,2018,07,201807,3,2,1,1,1,1,1,4,3,,,,420000,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,5,5,2,,2,1,4,1,2,2,1,1,2,1,1,01,
4671849,1,1,1,17,1,228.54628985,17,2018,07,201807,6,3,1,1,1,1,1,3,1,,100000000,500000,,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,4,4,2,,1,1,4,1,3,1,1,1,2,1,1,01,
4671853,1,1,1,17,1,199.04456247,17,2018,07,201807,4,1,1,1,1,1,1,3,1,,100000000,500000,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,3,3,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671856,1,1,1,17,1,231.95144669,17,2018,07,201807,4,1,1,1,1,1,1,3,3,,,,400000,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671858,1,1,1,17,1,219.1993678,17,2018,07,201807,3,2,1,1,1,1,1,3,3,,,,435000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,,2,1,4,1,3,1,1,1,2,1,1,01,
4671859,1,1,1,17,1,252.7601967,17,2018,07,201807,4,3,1,1,1,1,1,3,3,,,,450000,2,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,1,3,4,2,,2,1,4,1,3,1,1,1,2,1,1,01,
4671860,1,1,1,17,1,152.81155772,17,2018,07,201807,4,2,2,1,1,1,1,3,1,,98,500000,,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,,1,1,4,1,3,1,1,1,2,1,1,01,
4671861,1,1,1,17,1,234.78751101,17,2018,07,201807,1,1,1,1,1,1,6,,3,,,,270000,2,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,,1,1,4,1,3,1,1,1,2,1,1,01,
4671862,1,1,1,17,1,225.78064509,17,2018,07,201807,4,2,1,1,1,1,1,3,3,,,,750000,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671863,1,1,1,17,1,314.21188634,17,2018,07,201807,5,4,1,1,1,1,1,3,3,,,,630000,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,1,6,8,2,,2,1,4,1,3,1,1,1,2,1,1,01,
4671864,1,1,1,17,1,177.97033433,17,2018,07,201807,4,3,1,1,1,1,1,3,1,,550000000,2000000,,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,2,1,1,1,3,3,2,,1,1,4,1,4,1,1,1,2,1,1,01,
4671866,1,1,1,17,1,230.03805582,17,2018,07,201807,4,3,1,1,1,1,1,3,1,,350000000,98,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,3,3,1,1,2,1,4,1,4,1,1,1,2,1,1,01,
4671867,1,1,1,17,1,213.9642069,17,2018,07,201807,4,2,1,1,1,1,1,3,1,,98,450000,,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,3,2,,2,1,4,1,3,1,1,1,2,1,1,01,
4671873,1,1,1,17,1,234.78751101,17,2018,07,201807,3,1,1,1,1,1,1,3,3,,,,550000,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671875,1,1,1,17,1,209.4674713,17,2018,07,201807,3,2,1,1,1,1,1,3,1,,120000000,700000,,1,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,,2,1,4,1,6,1,1,1,2,1,1,01,
4671876,1,1,1,17,1,255.418392,17,2018,07,201807,4,3,1,1,1,1,1,3,2,174000,45000000,250000,,2,1,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,4,5,2,,1,1,2,1,1,1,1,1,2,1,1,01,
