DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P6290,P6230,P6240,P6250,P6260,P6270,P6280,P6300,P6310,P6320,P6330,P6340,P6350,P6351,FT
4537904,1,1,1,,1,4591.7333814,68,2018,02,201802,50,,1,5,,,,,,,,,,,,1
4537904,1,2,1,,1,4591.7333814,68,2018,02,201802,50,,2,4,2,2,2,2,1,9,,,,,,1
4537905,1,1,1,,1,6243.9327673,68,2018,02,201802,50,,1,1,,,,,,,,,,,,1
4537905,1,2,1,,1,6243.9327673,68,2018,02,201802,50,,2,4,2,2,2,2,2,,,,,,,1
4537905,1,3,1,,1,6243.9327673,68,2018,02,201802,50,,3,1,,,,,,,,,,,,1
4537905,1,4,1,,1,6243.9327673,68,2018,02,201802,50,,4,4,2,2,2,2,1,10,,,,,,1
4537906,1,1,1,,1,2792.477524,68,2018,02,201802,50,,1,1,,,,,,,,,,,,1
4537906,1,2,1,,1,2792.477524,68,2018,02,201802,50,,2,1,,,,,,,,,,,,1
4537907,1,1,1,,1,5433.9337356,68,2018,02,201802,50,,1,4,2,2,2,2,1,11,,,,,,1
4537907,1,2,1,,1,5433.9337356,68,2018,02,201802,50,,2,1,,,,,,,,,,,,1
4537907,1,3,1,,1,5433.9337356,68,2018,02,201802,50,,3,1,,,,,,,,,,,,1
4537907,1,4,1,,1,5433.9337356,68,2018,02,201802,50,5,4,2,2,2,2,1,,,,,,,1,1
4537908,1,1,1,,1,4671.8661641,68,2018,02,201802,50,,1,4,2,2,2,2,1,8,2,,2,,,1
4537909,1,1,1,,1,3825.7018904,68,2018,02,201802,50,,1,1,,,,,,,,,,,,1
4537909,1,2,1,,1,3825.7018904,68,2018,02,201802,50,,2,1,,,,,,,,,,,,1
4537909,1,3,1,,1,3825.7018904,68,2018,02,201802,50,,1,3,2,2,2,2,2,,,,,,,1
4537910,1,1,1,,1,5514.1033784,68,2018,02,201802,50,,1,4,2,2,2,2,2,,,,,,,1
4537910,1,2,1,,1,5514.1033784,68,2018,02,201802,50,,2,4,2,2,2,2,2,,,,,,,1
4537910,1,3,1,,1,5514.1033784,68,2018,02,201802,50,,3,1,,,,,,,,,,,,1
4537911,1,1,1,,1,5501.4070899,68,2018,02,201802,50,3,1,4,2,2,2,1,,,,,,,1,1
4537914,1,1,1,,1,3637.2527592,68,2018,02,201802,50,,1,1,,,,,,,,,,,,1
4537914,1,2,1,,1,3637.2527592,68,2018,02,201802,50,,2,4,2,2,2,2,2,,,,,,,1
4537915,1,1,1,,1,6743.6427133,68,2018,02,201802,50,,1,1,,,,,,,,,,,,1
4537915,1,2,1,,1,6743.6427133,68,2018,02,201802,50,,2,1,,,,,,,,,,,,1
4537915,1,3,1,,1,6743.6427133,68,2018,02,201802,50,1,3,2,2,2,2,1,,,,,,,1,1
4537915,1,4,1,,1,6743.6427133,68,2018,02,201802,50,,4,3,2,2,2,2,2,,,,,,,1
4537915,2,1,2,,1,6743.6427133,68,2018,02,201802,50,,1,1,,,,,,,,,,,,1
4537915,2,2,2,,1,6743.6427133,68,2018,02,201802,50,,1,3,2,2,2,2,2,,,,,,,1
4537916,1,1,1,,1,4269.232211,68,2018,02,201802,50,,1,6,2,2,2,2,2,,,,,,,1
