DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4537904,1,1,1,,1,1,4591.7333814,68,2018,02,201802,80,1,2,4,2,,,4,2,,2,,,,,2
4537904,1,2,1,,1,1,4591.7333814,68,2018,02,201802,80,1,3,8,2,,,8,2,,2,,1,48,781242,2
4537905,1,2,1,,1,1,6243.9327673,68,2018,02,201802,80,1,4,3,2,,,9,2,,2,,,,,2
4537905,1,4,1,,1,1,6243.9327673,68,2018,02,201802,80,1,3,8,2,,,9,2,,2,,1,48,781300,2
4537907,1,1,1,,1,1,5433.9337356,68,2018,02,201802,80,1,1,8,2,,,4,2,,2,,1,48,781300,2
4537908,1,1,1,,1,1,4671.8661641,68,2018,02,201802,80,1,4,4,2,,,4,2,,2,,1,48,800000,2
4537909,1,3,1,,1,1,3825.7018904,68,2018,02,201802,80,2,,,,2,,,2,,2,,,,,2
4537910,1,1,1,,1,1,5514.1033784,68,2018,02,201802,80,1,4,3,2,,,8,2,,2,,,,,2
4537910,1,2,1,,1,1,5514.1033784,68,2018,02,201802,80,1,4,3,2,,,8,2,,2,,,,,2
4537914,1,2,1,,1,1,3637.2527592,68,2018,02,201802,80,1,4,3,2,,,1,2,,2,,,,,2
4537915,1,4,1,,1,1,6743.6427133,68,2018,02,201802,80,2,,,,2,,,2,,2,,,,,2
4537915,2,2,2,,1,1,6743.6427133,68,2018,02,201802,80,2,,,,2,,,2,,2,,,,,2
4537916,1,1,1,,1,1,4269.232211,68,2018,02,201802,80,1,4,5,2,,,10,3,,2,,,,,3
4537919,1,4,1,,1,1,4400.2906279,68,2018,02,201802,80,2,,,,2,,,2,,2,,,,,2
4537921,1,1,1,,1,1,4671.8661641,68,2018,02,201802,80,1,3,4,2,,,4,2,,2,,,,,2
4537924,1,1,1,,1,1,7058.6231554,68,2018,02,201802,80,1,1,3,2,,,1,2,,2,,,,,2
4537925,1,2,1,,1,1,5206.7793461,68,2018,02,201802,80,1,1,3,2,,,9,2,,2,,,,,2
4537927,1,1,1,,1,1,5804.4939234,68,2018,02,201802,80,1,1,4,2,,,4,2,,2,,,,,2
4537927,1,2,1,,1,1,5804.4939234,68,2018,02,201802,80,2,,,,2,,,2,,2,,,,,2
4537981,1,2,1,05,1,1,1329.4920626,05,2018,02,201802,80,2,,,,2,,,2,,2,,,,,2
4537981,1,4,1,05,1,1,1329.4920626,05,2018,02,201802,80,2,,,,2,,,2,,2,,,,,2
4537982,1,1,1,05,1,1,1172.0454426,05,2018,02,201802,80,1,4,8,2,,,10,3,,2,,1,24,4000000,3
4537982,1,2,1,05,1,1,1172.0454426,05,2018,02,201802,80,1,4,5,2,,,10,3,,2,,,,,3
4537983,1,1,1,05,1,1,1347.0880393,05,2018,02,201802,80,1,4,3,2,,,9,2,,2,,,,,2
4537985,1,1,1,05,1,1,1180.8364982,05,2018,02,201802,80,1,4,3,2,,,9,2,,2,,,,,2
4537986,1,1,1,05,1,1,1172.0454426,05,2018,02,201802,80,1,4,5,2,,,11,3,,2,,,,,3
4537986,1,2,1,05,1,1,1172.0454426,05,2018,02,201802,80,2,,,,2,,,2,,2,,,,,2
4537987,1,3,1,05,1,1,646.88653451,05,2018,02,201802,80,1,1,4,2,,,4,2,,2,,,,,2
4537987,1,4,1,05,1,1,646.88653451,05,2018,02,201802,80,2,,,,2,,,2,,2,,1,24,98,2
4537989,1,2,1,05,1,1,1114.7522422,05,2018,02,201802,80,2,,,,1,4,1,2,,2,,1,24,782000,2
4537991,1,5,1,05,1,1,1042.5464808,05,2018,02,201802,80,2,,,,2,,,2,,2,,,,,2
4537991,1,6,1,05,1,1,1042.5464808,05,2018,02,201802,80,1,3,5,2,,,8,3,,2,,,,,3
4537992,1,2,1,05,1,1,1457.0225134,05,2018,02,201802,80,2,,,,2,,,2,,2,,,,,2
4537993,1,4,1,05,1,1,778.00698163,05,2018,02,201802,80,1,4,4,2,,,4,2,,2,,,,,2
4537995,1,2,1,05,1,1,896.11792332,05,2018,02,201802,80,1,4,1,2,,,9,2,,2,,,,,2
4537997,1,2,1,05,1,1,713.642518,05,2018,02,201802,80,1,1,1,1,,1,2,2,,2,,,,,2
4537997,1,5,1,05,1,1,713.642518,05,2018,02,201802,80,1,4,4,2,,,4,2,,2,,,,,2
4537998,1,1,1,05,1,1,1476.6753299,05,2018,02,201802,80,1,4,6,2,,,4,2,,2,,1,40,1000000,2
4537999,1,1,1,05,1,1,826.69760557,05,2018,02,201802,80,1,2,4,2,,,4,2,,2,,,,,2
4538000,1,2,1,05,1,1,1298.6893218,05,2018,02,201802,80,1,3,3,2,,,9,2,,2,,,,,2
4538002,1,1,1,05,1,1,1249.5465676,05,2018,02,201802,80,1,4,4,2,,,4,2,,2,,,,,2
4538002,1,2,1,05,1,1,1249.5465676,05,2018,02,201802,80,1,3,7,2,,,11,2,,2,,,,,2
4538003,1,1,1,05,1,1,1346.051323,05,2018,02,201802,80,1,4,4,2,,,4,2,,2,,,,,2
4538003,1,2,1,05,1,1,1346.051323,05,2018,02,201802,80,2,,,,2,,,2,,2,,,,,2
4538003,1,4,1,05,1,1,1346.051323,05,2018,02,201802,80,1,4,3,2,,,9,2,,2,,2,,750000,2
4538004,1,1,1,05,1,1,1347.0880393,05,2018,02,201802,80,1,3,4,2,,,8,2,,2,,,,,2
