DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,DSI,FEX_C,RAMA4D_D_R4,RAMA2D_D_R4,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSCY,RAMA4D_D
4537907,1,4,1,,1,1,5433.9337356,8530,85,68,2018,02,201802,70,28,48,1,2,28,1,7,2,1,,,,,,,,1,2,,781300,2,,44,44,80,2,8043
4537911,1,1,1,,1,1,5501.4070899,4290,42,68,2018,02,201802,70,4,48,1,2,4,1,5,2,1,,,,,,,,1,2,,800000,2,,95,95,45,1,4530
4537915,1,3,1,,1,1,6743.6427133,4771,47,68,2018,02,201802,70,52,48,1,2,4,1,5,2,1,,,,,,,,1,2,,800000,2,,84,45,52,2,5233
4537920,1,1,1,,1,1,3669.3062134,5530,55,68,2018,02,201802,70,1,48,1,2,4,1,3,2,1,,,,,,,,1,2,,600000,2,,54,55,55,1,5512
4537922,1,3,1,,1,1,3904.8440648,,,68,2018,02,201802,70,6,48,1,1,,,,,,,,,,,,,,,,2500000,,,12,,,1,
4537924,1,3,1,,1,1,7058.6231554,4542,45,68,2018,02,201802,70,4,48,1,2,4,4,1,2,1,,,,,,,,1,1,400000,781500,2,,84,84,50,1,5040
4537924,1,4,1,,1,1,7058.6231554,5619,56,68,2018,02,201802,70,50,48,1,2,50,1,2,2,1,,,,,,,,1,2,,800000,2,,33,53,55,2,5529
4537981,1,3,1,05,1,1,1329.4920626,,,05,2018,02,201802,70,4,24,1,1,,,,,,,,,,,,,,,,400000,,,45,,,1,
4537984,1,1,1,05,1,1,717.10483606,4771,47,05,2018,02,201802,70,30,48,1,2,300,1,2,2,2,,,,,,,,1,2,,800000,2,,45,45,52,2,5233
4537990,1,2,1,05,1,1,1371.9851891,,,05,2018,02,201802,70,4,48,1,1,,,,,,,,,,,,,,,,98,,,32,,,1,
4537994,1,1,1,05,1,1,1168.074952,1521,15,05,2018,02,201802,70,4,50,4,2,8,1,9,2,1,,,,,,,,1,2,,1000000,2,,80,80,19,1,1929
4537998,1,2,1,05,1,1,1476.6753299,4112,41,05,2018,02,201802,70,16,72,1,2,16,1,9,2,6,,,,,,,,1,2,,1600000,2,,95,95,45,2,4522
4538003,1,3,1,05,1,1,1346.051323,4752,47,05,2018,02,201802,70,35,48,1,2,40,1,4,2,1,,,,,,,,1,2,,700000,2,,93,45,52,2,5241
4538003,1,6,1,05,1,1,1346.051323,4711,47,05,2018,02,201802,70,35,48,1,2,52,1,3,2,1,,,,,,,,1,2,,800000,2,,45,33,52,2,5211
4538009,1,1,1,05,1,1,664.39163081,4921,49,05,2018,02,201802,70,102,48,1,2,12,1,9,2,1,1,,,,,,,,2,,781242,1,1,98,98,60,2,6022
4538011,1,1,1,05,1,1,1078.7198113,1521,15,05,2018,02,201802,70,7,80,4,2,7,4,1,2,1,,,,,,,,1,2,,900000,2,,21,21,19,1,1929
4538011,1,2,1,05,1,1,1078.7198113,1521,15,05,2018,02,201802,70,7,72,1,2,7,1,2,2,1,,,,,,,,1,2,,800000,2,,80,80,19,1,1929
4538013,1,2,1,05,1,1,1355.2520553,9609,96,05,2018,02,201802,70,8,48,4,2,8,4,1,2,4,,,,,,,,1,2,,900000,2,,39,59,93,1,9309
4538015,1,1,1,05,1,1,1290.1425189,8551,85,05,2018,02,201802,70,60,48,1,2,60,1,7,2,1,,,,,,,,1,2,,2500000,1,2,08,13,80,2,8060
4538016,1,2,1,05,1,1,1077.2101654,8413,84,05,2018,02,201802,70,104,24,1,2,208,2,9,2,2,,,,,,,,1,2,,150000000,2,,19,19,85,2,8532
4538021,1,5,1,05,1,1,545.9135551,5630,56,05,2018,02,201802,70,8,48,1,2,8,1,3,2,1,,,,,,,,1,2,,781242,2,,19,50,55,1,5530
4538035,1,1,1,05,1,1,1387.6854044,9200,92,05,2018,02,201802,70,4,24,1,2,156,1,2,2,2,,,,,,,,1,2,,500000,2,,38,59,92,1,9242
4538036,1,3,1,05,1,1,1361.6669157,,,05,2018,02,201802,70,8,48,1,1,,,,,,,,,,,,,,,,781000,,,53,,,1,
4538039,1,1,1,05,1,1,1329.7538871,4290,42,05,2018,02,201802,70,54,48,1,2,56,1,9,2,2,,,,,,,,1,2,,2500000,2,,21,30,45,2,4530
4538043,1,1,1,05,1,1,1411.827618,4652,46,05,2018,02,201802,70,40,48,1,2,52,1,5,1,2,,,,,,,,1,2,,781300,2,,39,39,51,2,5139
4538045,1,3,1,05,1,1,1172.1323576,5320,53,05,2018,02,201802,70,4,48,1,2,4,1,8,2,9,,,,,,,,1,2,,781242,2,,37,37,64,1,6412
4538047,1,2,1,05,1,1,1098.6546342,,,05,2018,02,201802,70,8,48,1,1,,,,,,,,,,,,,,,,1000000,,,45,,,1,
4538059,1,3,1,05,1,1,1049.0890115,8413,84,05,2018,02,201802,70,10,48,4,2,10,4,9,2,1,,1,,,,,,,2,,2500000,1,1,19,19,75,1,7513
4538060,1,3,1,05,1,1,810.8187745,4724,47,05,2018,02,201802,70,1,48,1,2,104,5,2,2,1,,,,,,,,1,2,,1500000,2,,21,41,52,1,5225
4538070,1,2,1,05,1,1,1123.2466856,4631,46,05,2018,02,201802,70,6,48,1,2,12,1,4,2,4,,,,,,,,1,2,,1000000,2,,98,98,51,1,5125
4538071,1,2,1,05,1,1,1362.1872362,,,05,2018,02,201802,70,2,40,1,1,,,,,,,,,,,,,,,,781242,,,45,,,1,
4538072,1,1,1,05,1,1,1589.7193665,4290,42,05,2018,02,201802,70,4,48,4,2,4,1,7,2,1,1,,,,,,,,1,1000000,1800000,2,,95,95,45,1,4530
4538073,1,1,1,05,1,1,1213.6519975,4112,41,05,2018,02,201802,70,2,48,1,2,2,1,5,2,3,,,,,,,,1,1,350000,781242,2,,95,95,45,1,4522
4538077,1,2,1,05,1,1,1229.6140372,5630,56,05,2018,02,201802,70,104,24,1,2,8,1,2,2,1,,,,,,,,1,2,,600000,2,,32,53,55,2,5530
4538080,1,3,1,05,1,1,631.91523409,9491,94,05,2018,02,201802,70,60,48,4,2,60,1,3,2,1,,,,,,,,1,1,150000,781242,2,,93,98,91,2,9191
4538086,1,3,1,05,1,1,1354.3459384,4111,41,05,2018,02,201802,70,2,48,1,2,2,1,2,2,2,,,,,,,,1,1,450000,1500000,2,,95,95,45,1,4521
4538087,1,1,1,05,1,1,1199.5395568,5511,55,05,2018,02,201802,70,8,48,1,2,12,1,6,2,3,,,,,,,,1,2,,2000000,2,,45,42,55,1,5511
4538088,1,2,1,05,1,1,1229.6140372,8559,85,05,2018,02,201802,70,8,48,1,2,8,1,5,2,2,,,,,,,,1,2,,2000000,2,,13,59,74,1,7499
4538089,1,1,1,05,1,1,1229.6140372,4321,43,05,2018,02,201802,70,16,48,5,2,16,5,2,2,1,,,,,,,,1,2,,781000,2,,84,84,45,2,4542
