DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4634537,1,1,1,,2,1,1255.9683563,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634537,1,2,1,,2,1,1255.9683563,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634537,1,3,1,,2,1,1255.9683563,66,2018,06,201806,80,1,4,3,2,,,4,2,,2,,,,,2
4634538,1,2,1,,2,1,611.13586287,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634542,1,2,1,,2,1,1171.2009719,66,2018,06,201806,80,1,3,3,2,,,9,2,,2,,,,,2
4634542,1,6,1,,2,1,1171.2009719,66,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634544,1,1,1,,2,1,762.92644345,66,2018,06,201806,80,1,4,6,2,,,11,2,,2,,,,,2
4634545,1,2,1,,2,1,1306.7112928,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634548,1,2,1,,2,1,1300.1465106,66,2018,06,201806,80,1,3,4,2,,,4,2,,2,,,,,2
4634549,1,2,1,,2,1,1287.8370843,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634551,1,1,1,,2,1,1183.9629115,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634552,1,2,1,,2,1,1376.3547174,66,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634555,1,2,1,,2,1,611.13586287,66,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634558,1,2,1,,2,1,1020.7233753,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634558,1,3,1,,2,1,1020.7233753,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634559,1,2,1,,2,1,1206.5395469,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634560,1,2,1,,2,1,1407.5290952,66,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634560,1,3,1,,2,1,1407.5290952,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634562,1,2,1,,2,1,1287.8370843,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634565,1,2,1,,2,1,1482.2263137,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634568,1,2,1,,2,1,1748.8875095,66,2018,06,201806,80,1,3,3,2,,,9,2,,2,,2,,600000,2
4634571,1,2,1,,2,1,1611.7082746,66,2018,06,201806,80,1,3,3,2,,,9,2,,2,,,,,2
4634572,1,2,1,,2,1,1133.8397519,66,2018,06,201806,80,1,2,6,2,,,6,2,,2,,,,,2
4634572,1,3,1,,2,1,1133.8397519,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634573,1,2,1,,2,1,1239.2748017,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634575,1,1,1,,2,1,854.49118991,66,2018,06,201806,80,1,4,6,2,,,8,2,,2,,,,,2
4634576,1,2,1,,2,1,1108.6103793,66,2018,06,201806,80,1,4,4,2,,,4,1,2,2,,,,,1
4634576,1,3,1,,2,1,1108.6103793,66,2018,06,201806,80,1,4,6,2,,,8,2,,2,,,,,2
4634577,1,1,1,,2,1,1539.7802521,66,2018,06,201806,80,1,3,4,2,,,8,2,,2,,,,,2
4634577,1,2,1,,2,1,1539.7802521,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634580,1,3,1,,2,1,1038.9870639,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634580,1,4,1,,2,1,1038.9870639,66,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634584,2,1,2,05,1,1,1064.1679204,05,2018,06,201806,80,1,3,4,2,,,4,2,,2,,,,,2
4634585,1,1,1,05,1,1,1605.3871893,05,2018,06,201806,80,1,4,4,2,,,4,2,,2,,,,,2
4634585,1,2,1,05,1,1,1605.3871893,05,2018,06,201806,80,1,4,4,2,,,4,2,,2,,2,,98,2
4634586,1,1,1,05,1,1,1189.5983023,05,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634586,1,2,1,05,1,1,1189.5983023,05,2018,06,201806,80,1,4,4,2,,,4,2,,2,,,,,2
4634590,1,1,1,05,1,1,1422.5349515,05,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634590,1,2,1,05,1,1,1422.5349515,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634591,1,2,1,05,1,1,1394.5567135,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634591,1,3,1,05,1,1,1394.5567135,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634592,1,1,1,05,1,1,1467.8531913,05,2018,06,201806,80,1,4,5,2,,,11,3,,2,,,,,3
4634592,1,2,1,05,1,1,1467.8531913,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634592,1,3,1,05,1,1,1467.8531913,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634596,1,2,1,05,1,1,1180.2482893,05,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634597,1,2,1,05,1,1,1091.0111142,05,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634598,1,3,1,05,1,1,1271.5767664,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634601,1,3,1,05,1,1,1226.4341834,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634602,1,2,1,05,1,1,1270.2833488,05,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634603,1,1,1,05,1,1,1008.9975521,05,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634603,1,2,1,05,1,1,1008.9975521,05,2018,06,201806,80,1,4,1,2,,,9,2,,2,,,,,2
4634604,1,2,1,05,1,1,1170.2728545,05,2018,06,201806,80,1,4,3,2,,,8,2,,2,,,,,2
4634605,1,2,1,05,1,1,1211.1829097,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634611,1,2,1,05,1,1,989.67210434,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634612,1,2,1,05,1,1,1327.7731933,05,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634613,1,1,1,05,1,1,2039.7191108,05,2018,06,201806,80,1,1,5,2,,,10,3,,2,,1,48,2000000,3
4634613,1,2,1,05,1,1,2039.7191108,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634613,1,3,1,05,1,1,2039.7191108,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634613,1,4,1,05,1,1,2039.7191108,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634614,1,3,1,05,1,1,1242.9865775,05,2018,06,201806,80,1,1,8,2,,,4,1,,2,,2,,781242,2
4634620,1,2,1,05,1,1,1521.2414665,05,2018,06,201806,80,1,4,9,2,,,9,2,,2,,2,,781242,2
4634620,1,3,1,05,1,1,1521.2414665,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634622,1,2,1,05,1,1,1444.3360817,05,2018,06,201806,80,1,4,4,2,,,4,2,,2,,1,48,781242,2
4634626,1,2,1,05,1,1,1468.449386,05,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634627,1,1,1,05,1,1,1087.431111,05,2018,06,201806,80,1,4,4,2,,,4,3,,2,,,,,3
4634630,1,1,1,05,1,1,1222.6087536,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634631,1,3,1,05,1,1,1186.137626,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634632,1,1,1,05,1,1,1035.095212,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634633,1,1,1,05,1,1,1138.6795535,05,2018,06,201806,80,1,4,3,2,,,11,2,,2,,,,,2
4634634,1,1,1,05,1,1,1324.7759448,05,2018,06,201806,80,1,4,4,2,,,4,3,,2,,,,,3
4634634,1,2,1,05,1,1,1324.7759448,05,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634637,1,2,1,05,1,1,1135.1057063,05,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634643,1,1,1,05,1,1,1087.431111,05,2018,06,201806,80,2,,,,2,,,2,,1,50000,,,,2
4634645,1,1,1,05,1,1,1756.3271405,05,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634645,1,2,1,05,1,1,1756.3271405,05,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634645,1,3,1,05,1,1,1756.3271405,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634645,1,4,1,05,1,1,1756.3271405,05,2018,06,201806,80,1,4,4,2,,,4,2,,2,,,,,2
4634645,1,5,1,05,1,1,1756.3271405,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634646,1,3,1,05,1,1,1186.137626,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634652,1,1,1,05,1,1,1267.7513366,05,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634655,1,1,1,05,1,1,1222.6087536,05,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634663,1,2,1,05,1,1,989.67210434,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634666,1,2,1,05,1,1,1197.5634699,05,2018,06,201806,80,1,1,7,2,,,4,2,,2,,,,,2
4634667,1,1,1,05,1,1,1222.6087536,05,2018,06,201806,80,1,3,6,2,,,11,3,,2,,,,,3
4634669,1,2,1,05,1,1,1211.1829097,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634670,1,2,1,05,1,1,1009.7694036,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634676,1,2,1,05,1,1,1658.7754645,05,2018,06,201806,80,1,3,6,2,,,9,1,,2,,2,,1500000,2
4634678,1,1,1,05,1,1,1222.6087536,05,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634679,1,2,1,05,1,1,1475.2417601,05,2018,06,201806,80,1,2,3,2,,,9,2,,2,,,,,2
4634684,1,1,1,05,1,1,1365.686,05,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634684,1,2,1,05,1,1,1365.686,05,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634687,1,3,1,08,1,1,607.18630814,08,2018,06,201806,80,2,,,,2,,,2,,2,,2,,780000,2
4634687,1,4,1,08,1,1,607.18630814,08,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634688,1,3,1,08,1,1,736.54693026,08,2018,06,201806,80,2,,,,2,,,2,,2,,2,,781000,2
4634689,1,1,1,08,1,1,811.03719813,08,2018,06,201806,80,1,4,3,2,,,9,1,1,2,,2,,800000,1
4634689,1,2,1,08,1,1,811.03719813,08,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634689,1,3,1,08,1,1,811.03719813,08,2018,06,201806,80,1,4,4,2,,,8,3,,2,,,,,3
4634690,1,1,1,08,1,1,809.15130865,08,2018,06,201806,80,1,4,1,2,,,8,2,,2,,1,48,1500000,2
4634690,1,2,1,08,1,1,809.15130865,08,2018,06,201806,80,1,4,4,2,,,4,2,,2,,,,,2
4634691,1,2,1,08,1,1,839.54197554,08,2018,06,201806,80,1,4,3,2,,,9,2,,2,,1,24,600000,2
4634691,1,3,1,08,1,1,839.54197554,08,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634694,1,1,1,11,1,1,3293.1585128,11,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634694,1,2,1,11,1,1,3293.1585128,11,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634694,1,3,1,11,1,1,3293.1585128,11,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634699,1,3,1,13,1,1,569.82752476,13,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634701,1,2,1,13,1,1,423.12393749,13,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634702,1,2,1,13,1,1,591.27028405,13,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634705,1,1,1,13,1,1,398.83478644,13,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634705,1,2,1,13,1,1,398.83478644,13,2018,06,201806,80,1,4,3,2,,,11,2,,2,,,,,2
4634705,2,2,2,13,1,1,398.83478644,13,2018,06,201806,80,1,1,9,2,,,12,2,,2,,,,,2
4634706,1,1,1,13,1,1,292.68849138,13,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634706,1,2,1,13,1,1,292.68849138,13,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634709,1,1,1,13,1,1,418.4839994,13,2018,06,201806,80,1,3,5,2,,,8,2,,2,,,,,2
4634711,1,2,1,13,1,1,380.14388477,13,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634713,1,2,1,13,1,1,261.60321514,13,2018,06,201806,80,1,4,3,2,,,4,2,,2,,,,,2
4634713,1,4,1,13,1,1,261.60321514,13,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634714,1,2,1,15,1,1,120.63211583,15,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634714,2,2,2,15,1,1,120.63211583,15,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634715,1,2,1,15,1,1,160.0990267,15,2018,06,201806,80,1,1,6,2,,,9,2,,2,,,,,2
4634716,1,1,1,15,1,1,108.62662835,15,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634721,1,2,1,15,1,1,84.569899306,15,2018,06,201806,80,1,4,4,2,,,4,2,,2,,,,,2
4634723,1,2,1,15,1,1,55.495881123,15,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634726,1,1,1,15,1,1,163.48222352,15,2018,06,201806,80,1,4,5,2,,,11,3,,2,,,,,3
4634726,1,2,1,15,1,1,163.48222352,15,2018,06,201806,80,1,4,2,2,,,2,2,,2,,1,30,781242,2
4634728,1,1,1,15,1,1,175.09947378,15,2018,06,201806,80,1,3,3,2,,,9,2,,2,,,,,2
4634730,1,1,1,15,1,1,105.16608589,15,2018,06,201806,80,1,4,3,2,,,8,2,,2,,,,,2
4634731,1,3,1,15,1,1,79.575535776,15,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634734,1,1,1,15,1,1,153.97613106,15,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634735,1,3,1,15,1,1,95.39414033,15,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634737,1,2,1,15,1,1,159.615011,15,2018,06,201806,80,2,,,,2,,,2,,2,,2,,781242,2
4634738,1,1,1,15,1,1,105.60397579,15,2018,06,201806,80,2,,,,1,1,2,2,,2,,,,,2
4634738,1,2,1,15,1,1,105.60397579,15,2018,06,201806,80,1,1,8,2,,,2,2,,2,,,,,2
4634738,1,3,1,15,1,1,105.60397579,15,2018,06,201806,80,1,3,2,2,,,2,2,,2,,,,,2
4634741,1,2,1,15,1,1,97.722351737,15,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634742,1,1,1,15,1,1,175.04270585,15,2018,06,201806,80,1,3,5,2,,,10,3,,2,,,,,3
4634742,1,2,1,15,1,1,175.04270585,15,2018,06,201806,80,1,1,2,2,,,2,2,,2,,,,,2
4634744,1,2,1,15,1,1,160.5830424,15,2018,06,201806,80,1,3,3,2,,,9,2,,2,,,,,2
4634748,1,1,1,15,1,1,153.06196261,15,2018,06,201806,80,1,4,4,1,,1,6,2,,2,,,,,2
4634748,1,2,1,15,1,1,153.06196261,15,2018,06,201806,80,1,2,2,2,,,2,2,,2,,1,40,781242,2
4634758,1,1,1,15,1,1,148.28419155,15,2018,06,201806,80,1,3,5,2,,,11,3,,2,,,,,3
4634759,1,1,1,15,1,1,105.16608589,15,2018,06,201806,80,1,1,3,2,,,9,2,,2,,,,,2
4634762,1,2,1,15,1,1,114.47018016,15,2018,06,201806,80,1,3,3,2,,,9,2,,2,,,,,2
4634763,1,1,1,15,1,1,105.16608589,15,2018,06,201806,80,1,4,5,1,,2,10,3,,2,,,,,3
4634764,1,1,1,15,1,1,109.26225635,15,2018,06,201806,80,1,4,2,2,,,2,2,,2,,1,25,781242,2
4634766,1,1,1,15,1,1,105.16608589,15,2018,06,201806,80,1,4,4,2,,,9,2,,2,,,,,2
4634767,1,1,1,15,1,1,52.35230179,15,2018,06,201806,80,1,2,6,1,,2,2,1,,2,,2,,781242,2
4634767,1,4,1,15,1,1,52.35230179,15,2018,06,201806,80,1,2,2,2,,,2,2,,2,,,,,2
4634767,1,5,1,15,1,1,52.35230179,15,2018,06,201806,80,2,,,,1,1,2,2,,2,,,,,2
4634767,1,6,1,15,1,1,52.35230179,15,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634768,1,1,1,15,1,1,172.12294702,15,2018,06,201806,80,1,2,2,2,,,2,2,,2,,,,,2
4634771,1,1,1,15,1,1,67.08052349,15,2018,06,201806,80,1,4,5,2,,,4,3,,2,,,,,3
4634773,1,2,1,15,1,1,112.72279882,15,2018,06,201806,80,1,1,2,2,,,2,2,,2,,1,16,781242,2
4634775,1,2,1,15,1,1,150.7337512,15,2018,06,201806,80,1,2,4,2,,,4,2,,2,,,,,2
4634775,1,3,1,15,1,1,150.7337512,15,2018,06,201806,80,2,,,,1,1,2,2,,2,,1,40,1500000,2
4634778,1,2,1,15,1,1,121.93449202,15,2018,06,201806,80,1,1,8,2,,,2,2,,2,,,,,2
4634782,1,3,1,15,1,1,125.39503449,15,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634786,1,1,1,15,1,1,148.28419155,15,2018,06,201806,80,1,3,5,2,,,10,3,,2,,,,,3
4634789,1,1,1,17,1,1,213.6804833,17,2018,06,201806,80,1,2,2,2,,,2,2,,2,,2,,781242,2
4634790,1,1,1,17,1,1,202.69286495,17,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634792,1,1,1,17,1,1,194.17331019,17,2018,06,201806,80,1,4,3,1,,4,9,3,,2,,,,,3
4634792,1,2,1,17,1,1,194.17331019,17,2018,06,201806,80,1,4,3,2,,,9,3,,2,,,,,3
4634793,1,1,1,17,1,1,196.12359448,17,2018,06,201806,80,1,4,3,2,,,9,1,,2,,,,,2
4634794,1,1,1,17,1,1,188.98841055,17,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634796,1,1,1,17,1,1,213.6804833,17,2018,06,201806,80,1,3,2,2,,,2,2,,2,,,,,2
4634797,1,1,1,17,1,1,192.73106491,17,2018,06,201806,80,1,1,8,2,,,11,1,4,2,,,,,1
4634797,1,3,1,17,1,1,192.73106491,17,2018,06,201806,80,1,1,8,2,,,2,1,,2,,,,,2
4634797,1,4,1,17,1,1,192.73106491,17,2018,06,201806,80,1,2,2,2,,,2,2,,2,,,,,2
4634798,1,1,1,17,1,1,231.46035209,17,2018,06,201806,80,1,2,2,2,,,2,2,,2,,,,,2
4634800,1,1,1,17,1,1,188.98841055,17,2018,06,201806,80,2,,,,1,1,2,2,,2,,,,,2
4634801,1,1,1,17,1,1,188.98841055,17,2018,06,201806,80,1,2,2,2,,,2,2,,2,,,,,2
4634802,1,1,1,17,1,1,201.78918587,17,2018,06,201806,80,1,1,9,2,,,8,2,,2,,,,,2
4634803,1,3,1,17,1,1,198.80661531,17,2018,06,201806,80,1,2,2,2,,,2,2,,2,,,,,2
4634805,1,1,1,17,1,1,201.78918587,17,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634806,1,2,1,17,1,1,202.09502916,17,2018,06,201806,80,1,4,3,2,,,9,1,,2,,,,,2
4634806,1,3,1,17,1,1,202.09502916,17,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634808,1,1,1,17,1,1,214.85403957,17,2018,06,201806,80,1,3,5,2,,,10,3,,2,,,,,3
4634808,1,2,1,17,1,1,214.85403957,17,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634809,1,3,1,17,1,1,210.77962271,17,2018,06,201806,80,1,3,5,2,,,10,3,,2,,,,,3
4634811,1,4,1,17,1,1,195.39728838,17,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634812,1,1,1,17,1,1,214.85403957,17,2018,06,201806,80,1,1,8,2,,,8,3,,2,,,,,3
4634812,1,2,1,17,1,1,214.85403957,17,2018,06,201806,80,1,4,7,2,,,9,2,,2,,,,,2
4634813,1,1,1,17,1,1,171.26595069,17,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634813,1,2,1,17,1,1,171.26595069,17,2018,06,201806,80,1,4,3,2,,,9,2,,2,,,,,2
4634814,1,2,1,17,1,1,198.56802617,17,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634814,1,3,1,17,1,1,198.56802617,17,2018,06,201806,80,1,4,5,2,,,10,2,,2,,,,,2
4634816,1,2,1,17,1,1,200.9081517,17,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634817,1,2,1,17,1,1,207.05696655,17,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634818,1,2,1,17,1,1,187.31053062,17,2018,06,201806,80,1,3,2,2,,,2,1,1,2,,2,,2000000,1
4634819,1,1,1,17,1,1,196.54240093,17,2018,06,201806,80,1,2,6,2,,,9,2,,2,,,,,2
4634819,1,3,1,17,1,1,196.54240093,17,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
4634820,1,1,1,17,1,1,201.84079599,17,2018,06,201806,80,1,4,4,2,,,4,2,,2,,,,,2
4634820,1,2,1,17,1,1,201.84079599,17,2018,06,201806,80,1,4,3,2,,,4,2,,2,,,,,2
4634821,1,1,1,17,1,1,197.39446989,17,2018,06,201806,80,1,4,5,2,,,10,3,,2,,,,,3
4634822,1,1,1,17,1,1,245.37727476,17,2018,06,201806,80,1,4,5,1,,4,10,3,,2,,,,,3
4634824,1,4,1,17,1,1,198.00729112,17,2018,06,201806,80,1,3,3,2,,,9,2,,2,,2,,98,2
4634825,1,2,1,17,1,1,245.41903966,17,2018,06,201806,80,1,3,3,2,,,9,2,,2,,,,,2
4634826,1,2,1,17,1,1,177.46585694,17,2018,06,201806,80,1,3,1,2,,,12,1,4,2,,,,,1
4634827,1,1,1,17,1,1,183.15724811,17,2018,06,201806,80,1,3,3,2,,,9,3,,2,,2,,2000000,3
4634827,1,2,1,17,1,1,183.15724811,17,2018,06,201806,80,1,3,2,2,,,2,2,,2,,,,,2
4634828,1,3,1,17,1,1,193.05136403,17,2018,06,201806,80,2,,,,2,,,2,,2,,,,,2
