DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,DSI,FEX_C,RAMA4D_D_R4,RAMA2D_D_R4,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSCY,RAMA4D_D
4634577,1,3,1,,2,1,1539.7802521,8412,84,66,2018,06,201806,70,24,48,2,2,24,2,9,2,1,1,,,,,,,,2,,2000000,1,1,39,39,75,2,7512
4634584,2,2,2,05,1,1,1064.1679204,6820,68,05,2018,06,201806,70,12,48,1,2,12,1,4,2,1,,,,,,,,1,2,,781300,2,,58,58,70,1,7020
4634589,1,5,1,05,1,1,780.44350071,4771,47,05,2018,06,201806,70,12,48,1,2,24,1,4,2,2,,,,,,,,1,2,,781242,2,,45,45,52,1,5233
4634597,1,1,1,05,1,1,1091.0111142,8412,84,05,2018,06,201806,70,20,48,1,2,27,4,9,2,2,,,,,,,,1,2,,98,2,,58,97,75,2,7512
4634599,1,1,1,05,1,1,936.50802393,4520,45,05,2018,06,201806,70,12,48,4,2,12,4,1,2,6,,,,,,,,1,1,150000,800000,2,,93,93,50,1,5020
4634607,1,3,1,05,1,1,620.72963123,8559,85,05,2018,06,201806,70,32,48,1,2,32,1,8,2,2,,,,,,,,1,2,,1000000,2,,33,44,80,2,8060
4634608,1,3,1,05,1,1,906.82779433,8219,82,05,2018,06,201806,70,8,48,1,2,8,1,3,2,1,,,,,,,,1,2,,781300,2,,34,34,74,1,7499
4634608,1,5,1,05,1,1,906.82779433,8890,88,05,2018,06,201806,70,20,48,2,2,20,1,1,2,4,,,,,,,,1,2,,781300,2,,59,54,85,2,8532
4634612,1,3,1,05,1,1,1327.7731933,1081,10,05,2018,06,201806,70,32,48,1,2,32,1,9,2,4,,,,,,,,1,2,,781000,2,,39,97,15,2,1551
4634618,1,2,1,05,1,1,1119.3541057,5619,56,05,2018,06,201806,70,20,48,1,2,20,4,1,2,1,,,,,,,,1,2,,781242,2,,39,53,55,2,5529
4634619,1,2,1,05,1,1,1705.6218784,9700,97,05,2018,06,201806,70,12,24,1,2,40,3,1,2,2,,,,,,,,1,2,,781242,2,,55,54,95,1,9500
4634622,1,3,1,05,1,1,1444.3360817,1410,14,05,2018,06,201806,70,40,48,1,2,40,1,9,2,7,,,,,,,,1,2,,781242,2,,90,79,18,2,1810
4634629,1,1,1,05,1,1,987.45600709,4111,41,05,2018,06,201806,70,12,48,1,2,52,1,6,2,1,,,,,,,,1,2,,781242,2,,95,95,45,1,4521
4634629,1,2,1,05,1,1,987.45600709,1410,14,05,2018,06,201806,70,4,48,1,2,4,1,4,2,1,,,,,,,,1,1,300000,781242,2,,79,79,18,1,1810
4634629,1,3,1,05,1,1,987.45600709,4111,41,05,2018,06,201806,70,4,48,1,2,8,1,4,2,1,,,,,,,,1,2,,781242,2,,95,95,45,1,4521
4634633,1,3,1,05,1,1,1138.6795535,3312,33,05,2018,06,201806,70,24,48,1,2,24,4,1,2,8,,,,,,,,1,2,,781242,2,,87,87,29,2,2919
4634635,1,1,1,05,1,1,1374.6196072,4772,47,05,2018,06,201806,70,4,48,1,2,4,1,8,2,2,,,,,,,,1,1,230000,781242,2,,45,40,52,1,5239
4634635,1,4,1,05,1,1,1374.6196072,1512,15,05,2018,06,201806,70,12,48,1,2,12,1,8,2,2,,,,,,,,1,2,,781242,2,,45,45,19,1,1939
4634649,1,1,1,05,1,1,988.84392301,2824,28,05,2018,06,201806,70,6,40,1,2,6,1,6,2,8,,,,,,,,1,2,,1100000,2,,33,33,29,1,2924
