DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P6290,P6230,P6240,P6250,P6260,P6270,P6280,P6300,P6310,P6320,P6330,P6340,P6350,P6351,RABAND,FT
4634536,1,1,1,,2,611.13586287,66,2018,06,201806,50,,1,1,,,,,,,,,,,,,1
4634536,1,2,1,,2,611.13586287,66,2018,06,201806,50,,2,1,,,,,,,,,,,,,1
4634536,1,3,1,,2,611.13586287,66,2018,06,201806,50,,3,1,,,,,,,,,,,,,1
4634536,1,4,1,,2,611.13586287,66,2018,06,201806,50,,4,1,,,,,,,,,,,,,1
4634537,1,1,1,,2,1255.9683563,66,2018,06,201806,50,,1,4,2,2,2,2,2,,,,,,,,1
4634537,1,2,1,,2,1255.9683563,66,2018,06,201806,50,,2,3,2,2,2,2,2,,,,,,,,1
4634537,1,3,1,,2,1255.9683563,66,2018,06,201806,50,,3,4,2,2,2,2,2,,,,,,,,1
4634537,1,4,1,,2,1255.9683563,66,2018,06,201806,50,,4,1,,,,,,,,,,,,,1
4634538,1,1,1,,2,611.13586287,66,2018,06,201806,50,,1,1,,,,,,,,,,,,,1
4634538,1,2,1,,2,611.13586287,66,2018,06,201806,50,,2,4,2,2,2,2,2,,,,,,,,1
4634538,1,3,1,,2,611.13586287,66,2018,06,201806,50,,3,1,,,,,,,,,,,,,1
4634538,1,4,1,,2,611.13586287,66,2018,06,201806,50,,4,1,,,,,,,,,,,,,1
4634538,1,5,1,,2,611.13586287,66,2018,06,201806,50,,5,1,,,,,,,,,,,,,1
4634540,1,1,1,,2,1350.8801901,66,2018,06,201806,50,,1,1,,,,,,,,,,,,,1
4634541,1,1,1,,2,628.58773199,66,2018,06,201806,50,,1,1,,,,,,,,,,,,,1
4634541,1,2,1,,2,628.58773199,66,2018,06,201806,50,,2,4,1,,,,,,,,,,,,1
4634541,1,3,1,,2,628.58773199,66,2018,06,201806,50,,3,3,2,1,,,,,,,,,,,1
4634542,1,1,1,,2,1171.2009719,66,2018,06,201806,50,,1,1,,,,,,,,,,,,,1
4634542,1,2,1,,2,1171.2009719,66,2018,06,201806,50,,2,4,2,2,2,2,2,,,,,,,,1
4634542,1,3,1,,2,1171.2009719,66,2018,06,201806,50,,3,1,,,,,,,,,,,,,1
4634542,1,6,1,,2,1171.2009719,66,2018,06,201806,50,,6,4,2,2,2,2,2,,,,,,,,1
4634544,1,1,1,,2,762.92644345,66,2018,06,201806,50,,1,4,2,2,2,2,2,,,,,,,,1
4634544,1,2,1,,2,762.92644345,66,2018,06,201806,50,,2,1,,,,,,,,,,,,,1
4634544,1,3,1,,2,762.92644345,66,2018,06,201806,50,,3,1,,,,,,,,,,,,,1
4634545,1,1,1,,2,1306.7112928,66,2018,06,201806,50,,1,1,,,,,,,,,,,,,1
4634545,1,2,1,,2,1306.7112928,66,2018,06,201806,50,,2,3,2,2,2,2,2,,,,,,,,1
4634546,1,1,1,,2,1030.0154679,66,2018,06,201806,50,,1,1,,,,,,,,,,,,,1
4634546,1,2,1,,2,1030.0154679,66,2018,06,201806,50,,2,1,,,,,,,,,,,,,1
4634548,1,1,1,,2,1300.1465106,66,2018,06,201806,50,,1,1,,,,,,,,,,,,,1
4634548,1,2,1,,2,1300.1465106,66,2018,06,201806,50,,2,6,2,2,2,2,2,,,,,,,,1
4634549,1,1,1,,2,1287.8370843,66,2018,06,201806,50,,1,1,,,,,,,,,,,,,1
4634549,1,2,1,,2,1287.8370843,66,2018,06,201806,50,,2,4,2,2,2,2,2,,,,,,,,1
4634551,1,1,1,,2,1183.9629115,66,2018,06,201806,50,,1,4,2,2,2,2,2,,,,,,,,1
4634551,1,2,1,,2,1183.9629115,66,2018,06,201806,50,,2,1,,,,,,,,,,,,,1
