DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,P5220,P5220S1,P6008,P6007,P6007S1,P4000,P4010,P4020,P4030S1,P4030S1A1,P4030S2,P4030S3,P4030S4,P4030S4A1,P4030S5,P4040,REGIS,P6006
4780120,1,1,1,,1,2178.3249774,76,2018,12,201812,4,2,1,1,1,5,1,3,3,,,,200000,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,2,,1,1,2,1,1,1,1,1,3,2,,01,
4780122,1,1,1,,1,2804.7981069,76,2018,12,201812,3,2,1,1,1,1,1,4,3,,,,200000,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,,2,1,2,1,1,2,1,1,3,1,2,01,
4780123,1,1,1,,1,1884.7316205,76,2018,12,201812,4,3,1,1,1,1,1,3,1,,98,200000,,2,1,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,1,3,4,2,,1,1,2,1,1,1,1,1,3,1,2,01,
4780124,1,1,1,,1,2927.3820014,76,2018,12,201812,3,2,1,1,1,1,1,3,3,,,,150000,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,,2,1,4,1,1,1,1,1,3,1,2,01,
4780125,1,1,1,,1,3407.3917469,76,2018,12,201812,2,1,1,1,1,1,4,3,1,,20000000,280000,,2,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,1,1,5,2,,1,1,2,1,1,1,1,1,3,1,2,01,
4780126,1,1,1,,1,3769.5944734,76,2018,12,201812,3,2,1,1,1,1,1,3,4,,,200000,,2,1,2,1,2,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,6,2,,1,1,2,1,1,1,1,1,3,1,2,01,
4780127,1,1,1,,1,2954.3065301,76,2018,12,201812,3,2,1,1,1,1,1,3,4,,,300000,,2,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,3,2,,2,1,4,1,1,1,1,1,3,1,2,01,
4780128,1,1,1,,1,2672.8821509,76,2018,12,201812,3,2,3,1,1,5,1,4,4,,,180000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,2,1,2,1,1,2,2,1,3,1,2,01,
4780129,1,1,1,,1,3076.8438585,76,2018,12,201812,5,4,1,1,1,1,1,3,4,,,200000,,2,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,1,1,5,2,,2,1,4,1,1,1,1,1,3,1,2,01,
4780131,1,1,1,,1,2309.1418842,76,2018,12,201812,5,2,3,1,1,2,1,3,4,,,150000,,2,1,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,,1,1,2,1,1,1,2,1,3,1,2,01,
4780133,1,1,1,,1,2136.1113331,76,2018,12,201812,4,3,1,1,1,1,1,3,1,,98,200000,,2,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,,3,2,,1,1,4,1,1,1,1,1,3,1,2,01,
4780137,1,1,1,,1,2466.5660892,76,2018,12,201812,3,2,3,1,1,1,1,3,1,,98,200000,,2,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,3,7,2,,1,1,2,1,1,1,2,1,3,1,2,01,
