DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,DSI,FEX_C,RAMA4D_D_R4,RAMA2D_D_R4,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSCY,RAMA4D_D
4780122,1,1,1,,1,1,2804.7981069,4723,47,76,2018,12,201812,70,8,44,3,2,32,1,2,2,1,,,,,,,,1,2,,780000,2,,54,45,52,1,5223
4780123,1,3,1,,1,1,1884.7316205,9700,97,76,2018,12,201812,70,50,48,3,2,50,3,1,2,1,,,,,,,,1,2,,300000,2,,54,54,95,2,9500
4780128,1,1,1,,1,1,2672.8821509,4771,47,76,2018,12,201812,70,8,40,1,2,40,1,3,2,1,,,,,,,,1,2,,781000,2,,55,45,52,1,5233
4780131,1,1,1,,1,1,2309.1418842,4721,47,76,2018,12,201812,70,2,30,4,2,2,4,1,2,1,,,,,,,,1,2,,700000,2,,45,45,52,1,5221
4780131,1,2,1,,1,1,2309.1418842,4290,42,76,2018,12,201812,70,6,40,1,2,7,1,8,2,1,,,,,,,,1,2,,600000,2,,95,95,45,1,4521
4780137,1,3,1,,1,1,2466.5660892,,,76,2018,12,201812,70,8,40,1,1,,,,,,,,,,,,,,,,1000000,,,58,,,1,
4780137,1,4,1,,1,1,2466.5660892,,,76,2018,12,201812,70,12,40,1,1,,,,,,,,,,,,,,,,900000,,,00,,,1,
4780138,1,2,1,,1,1,2728.5046079,,,76,2018,12,201812,70,1,20,1,1,,,,,,,,,,,,,,,,781242,,,55,,,1,
4780152,1,6,1,05,1,1,1167.2203006,4321,43,05,2018,12,201812,70,8,48,1,2,8,4,1,2,2,,,,,,,,1,2,,800000,2,,85,85,45,1,4542
4780162,1,1,1,05,1,1,1205.5639784,4711,47,05,2018,12,201812,70,104,24,4,2,520,1,5,2,1,1,,,,,,,,2,,700000,1,2,91,33,52,2,5211
4780164,1,3,1,05,1,1,1152.4667158,1089,10,05,2018,12,201812,70,6,48,1,2,6,1,9,2,7,,,,,,,,1,2,,800000,2,,97,97,15,1,1589
4780199,1,5,1,05,1,1,800.55962929,,,05,2018,12,201812,70,4,48,1,1,,,,,,,,,,,,,,,,1100000,,,07,,,1,
4780199,1,8,1,05,1,1,800.55962929,4520,45,05,2018,12,201812,70,4,48,1,2,32,4,1,2,8,,,,,,,,1,2,,781242,2,,99,99,50,1,5020
4780217,1,2,1,05,1,1,2277.8955308,8530,85,05,2018,12,201812,70,12,48,1,2,2,1,9,2,2,,,,,,,,1,1,850000,1000000,2,,32,32,80,1,8045
4780217,1,3,1,05,1,1,2277.8955308,,,05,2018,12,201812,70,3,48,1,1,,,,,,,,,,,,,,,,781242,,,45,,,1,
4780220,1,3,1,05,1,1,2041.3961504,7730,77,05,2018,12,201812,70,24,48,1,2,4,1,3,2,2,,,,,,,,1,1,400000,781242,2,,38,97,71,2,7130
4780221,1,4,1,05,1,1,1172.622427,,,05,2018,12,201812,70,3,24,1,1,,,,,,,,,,,,,,,,781242,,,45,,,1,
4780229,1,1,1,05,1,1,1205.5639784,4771,47,05,2018,12,201812,70,4,48,1,2,8,4,1,2,1,,,,,,,,1,2,,781242,2,,45,41,52,1,5233
4780231,1,2,1,05,1,1,1100.3622289,7911,79,05,2018,12,201812,70,8,48,1,2,16,1,7,2,8,,,,,,,,1,2,,1400000,2,,39,39,63,1,6340
4780234,1,1,1,05,1,1,621.97861676,3110,31,05,2018,12,201812,70,4,40,4,2,1,4,1,2,1,,,,,,,,1,1,180000,800000,2,,81,81,36,1,3611
4780242,1,1,1,05,1,1,1255.2112829,4520,45,05,2018,12,201812,70,2,48,1,2,4,1,3,2,1,,,,,,,,1,2,,1200000,2,,84,84,50,1,5020
4780255,1,3,1,05,1,1,545.75822878,4112,41,05,2018,12,201812,70,8,48,1,2,8,1,5,2,1,,,,,,,,1,2,,800000,2,,95,95,45,1,4522
