DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4780122,1,2,1,,1,1,2804.7981069,76,2018,12,201812,80,2,,,,2,,,2,,2,,2,,850000,2
4780124,1,2,1,,1,1,2927.3820014,76,2018,12,201812,80,1,1,3,2,,,9,2,,2,,1,40,600000,2
4780125,1,2,1,,1,1,3407.3917469,76,2018,12,201812,80,1,2,3,2,,,9,2,,2,,,,,2
4780126,1,2,1,,1,1,3769.5944734,76,2018,12,201812,80,2,,,,1,4,9,2,,2,,2,,500000,2
4780127,1,1,1,,1,1,2954.3065301,76,2018,12,201812,80,1,2,8,1,,1,4,1,1,2,,1,48,1800000,1
4780133,1,2,1,,1,1,2136.1113331,76,2018,12,201812,80,1,4,3,2,,,9,2,,2,,1,30,500000,2
4780138,1,3,1,,1,1,2728.5046079,76,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780139,1,5,1,,1,1,2249.3869374,76,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780146,1,1,1,,2,1,1782.2773061,23,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780146,1,3,1,,2,1,1782.2773061,23,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780147,1,2,1,,2,1,1201.301052,23,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780150,1,2,1,,2,1,1727.3047734,23,2018,12,201812,80,1,3,3,2,,,9,2,,2,,,,,2
4780152,1,1,1,05,1,1,1167.2203006,05,2018,12,201812,80,1,4,5,2,,,8,3,,2,,,,,3
4780152,1,2,1,05,1,1,1167.2203006,05,2018,12,201812,80,2,,,,2,,,2,,2,,2,,781242,2
4780152,1,5,1,05,1,1,1167.2203006,05,2018,12,201812,80,1,4,9,1,,4,4,2,,2,,1,48,781242,2
4780153,1,1,1,05,1,1,1210.5415341,05,2018,12,201812,80,1,1,6,2,,,8,3,,2,,,,,3
4780154,1,3,1,05,1,1,1236.3093467,05,2018,12,201812,80,1,2,2,2,,,8,2,,2,,1,48,781242,2
4780155,1,2,1,05,1,1,1202.0409744,05,2018,12,201812,80,2,,,,1,1,7,2,,2,,1,48,781242,2
4780156,1,1,1,05,1,1,889.33387817,05,2018,12,201812,80,1,4,3,2,,,9,2,,2,,,,,2
4780158,1,2,1,05,1,1,1556.1998754,05,2018,12,201812,80,1,4,3,2,,,9,2,,2,,,,,2
4780158,1,3,1,05,1,1,1556.1998754,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780159,1,1,1,05,1,1,1444.4387264,05,2018,12,201812,80,1,1,4,2,,,4,2,,2,,2,,900000,2
4780159,1,3,1,05,1,1,1444.4387264,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780162,1,2,1,05,1,1,1205.5639784,05,2018,12,201812,80,2,,,,1,1,1,2,,2,,,,,2
4780162,1,3,1,05,1,1,1205.5639784,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780164,1,1,1,05,1,1,1152.4667158,05,2018,12,201812,80,1,4,5,2,,,10,3,,2,,,,,3
4780164,1,2,1,05,1,1,1152.4667158,05,2018,12,201812,80,1,4,4,2,,,4,3,,2,,,,,3
4780165,1,3,1,05,1,1,934.25493256,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780168,1,2,1,05,1,1,1445.3860246,05,2018,12,201812,80,1,2,7,2,,,7,2,,2,,1,48,781242,2
4780168,1,3,1,05,1,1,1445.3860246,05,2018,12,201812,80,1,1,8,2,,,2,2,,1,200000,1,48,781242,2
4780169,1,1,1,05,1,1,1271.504315,05,2018,12,201812,80,1,4,7,1,,3,8,3,,2,,1,40,781000,3
4780169,1,2,1,05,1,1,1271.504315,05,2018,12,201812,80,1,4,5,2,,,10,3,,2,,,,,3
4780172,1,1,1,05,1,1,2421.0830682,05,2018,12,201812,80,1,4,5,2,,,10,3,,2,,,,,3
4780173,1,1,1,05,1,1,1543.3551141,05,2018,12,201812,80,1,3,2,2,,,2,2,,2,,,,,2
4780173,1,2,1,05,1,1,1543.3551141,05,2018,12,201812,80,1,4,5,2,,,8,3,,2,,,,,3
4780175,1,1,1,05,1,1,1395.0628437,05,2018,12,201812,80,1,4,5,2,,,10,3,,2,,,,,3
4780175,1,2,1,05,1,1,1395.0628437,05,2018,12,201812,80,1,1,3,2,,,9,2,,2,,,,,2
4780176,1,1,1,05,1,1,1210.5415341,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780177,1,3,1,05,1,1,1119.4112835,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780180,1,1,1,05,1,1,1271.504315,05,2018,12,201812,80,1,4,3,2,,,9,2,,2,,,,,2
4780180,1,2,1,05,1,1,1271.504315,05,2018,12,201812,80,1,4,4,2,,,4,2,,2,,,,,2
4780182,1,1,1,05,1,1,934.25493256,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780183,1,1,1,05,1,1,1072.3982333,05,2018,12,201812,80,1,4,5,2,,,10,2,,2,,,,,2
4780187,1,2,1,05,1,1,738.57603306,05,2018,12,201812,80,1,4,3,2,,,9,2,,2,,,,,2
4780188,1,1,1,05,1,1,1271.504315,05,2018,12,201812,80,1,4,6,1,,3,1,1,4,2,,,,,1
4780188,1,2,1,05,1,1,1271.504315,05,2018,12,201812,80,1,4,5,2,,,11,3,,2,,,,,3
4780189,1,2,1,05,1,1,1208.1251867,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780190,1,1,1,05,1,1,845.0949097,05,2018,12,201812,80,1,4,7,1,,4,8,3,,2,,,,,3
4780193,1,2,1,05,1,1,1225.9301601,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780195,1,1,1,05,1,1,1202.0409744,05,2018,12,201812,80,1,1,8,2,,,2,2,,2,,,,,2
4780196,1,1,1,05,1,1,1271.504315,05,2018,12,201812,80,1,4,5,2,,,11,3,,2,,,,,3
4780196,1,2,1,05,1,1,1271.504315,05,2018,12,201812,80,1,4,5,2,,,11,3,,2,,,,,3
4780197,1,1,1,05,1,1,1210.5415341,05,2018,12,201812,80,1,4,5,2,,,10,3,,2,,,,,3
4780201,2,1,2,05,1,1,545.75822878,05,2018,12,201812,80,1,4,8,1,,4,5,2,,2,,2,,98,2
4780203,1,1,1,05,1,1,1472.2433635,05,2018,12,201812,80,1,4,4,2,,,4,2,,2,,,,,2
4780206,1,4,1,05,1,1,997.50116475,05,2018,12,201812,80,1,1,2,2,,,2,2,,2,,,,,2
4780209,1,1,1,05,1,1,1340.1842751,05,2018,12,201812,80,1,4,3,2,,,9,1,4,2,,,,,1
4780210,1,1,1,05,1,1,1484.8759671,05,2018,12,201812,80,1,4,4,2,,,8,2,,2,,,,,2
4780210,1,2,1,05,1,1,1484.8759671,05,2018,12,201812,80,1,4,4,2,,,4,3,,2,,,,,3
4780210,1,3,1,05,1,1,1484.8759671,05,2018,12,201812,80,1,4,4,2,,,4,3,,2,,,,,3
4780213,1,3,1,05,1,1,998.62683651,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780214,1,2,1,05,1,1,812.15335838,05,2018,12,201812,80,1,2,5,2,,,11,3,,2,,1,48,781242,3
4780214,1,5,1,05,1,1,812.15335838,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780215,1,2,1,05,1,1,917.35510781,05,2018,12,201812,80,1,4,8,2,,,9,2,,2,,,,,2
4780215,1,4,1,05,1,1,917.35510781,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780215,1,6,1,05,1,1,917.35510781,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780216,1,1,1,05,1,1,1423.9131861,05,2018,12,201812,80,1,4,5,2,,,10,3,,2,,,,,3
4780216,1,2,1,05,1,1,1423.9131861,05,2018,12,201812,80,1,3,9,2,,,11,2,,2,,,,,2
4780219,1,1,1,05,1,1,1162.2113567,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780219,1,2,1,05,1,1,1162.2113567,05,2018,12,201812,80,1,3,3,2,,,9,2,,2,,,,,2
4780221,1,2,1,05,1,1,1172.622427,05,2018,12,201812,80,1,1,4,2,,,4,1,1,2,,,,,1
4780221,1,5,1,05,1,1,1172.622427,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780221,1,6,1,05,1,1,1172.622427,05,2018,12,201812,80,1,4,3,2,,,8,2,,2,,,,,2
4780225,1,2,1,05,1,1,1104.0226574,05,2018,12,201812,80,2,,,,2,,,2,,2,,,,,2
4780228,1,1,1,05,1,1,1210.5415341,05,2018,12,201812,80,1,4,2,2,,,9,1,2,2,,,,,1
