DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P6290,P6230,P6240,P6250,P6260,P6270,P6280,P6300,P6310,P6320,P6330,P6340,P6350,P6351,RABAND,FT
4780120,1,1,1,,1,2178.3249774,76,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780122,1,1,1,,1,2804.7981069,76,2018,12,201812,50,,1,4,2,2,2,2,1,7,1,1,,2,1,1,1
4780122,1,2,1,,1,2804.7981069,76,2018,12,201812,50,,2,3,2,2,2,2,1,12,,,,,,2,1
4780123,1,1,1,,1,1884.7316205,76,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780123,1,2,1,,1,1884.7316205,76,2018,12,201812,50,,2,1,,,,,,,,,,,,,1
4780123,1,3,1,,1,1884.7316205,76,2018,12,201812,50,2,3,4,2,2,2,1,,,,,,,1,,1
4780124,1,1,1,,1,2927.3820014,76,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780124,1,2,1,,1,2927.3820014,76,2018,12,201812,50,,2,4,2,2,2,2,1,10,,,,,,2,1
4780125,1,1,1,,1,3407.3917469,76,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780125,1,2,1,,1,3407.3917469,76,2018,12,201812,50,,2,4,2,2,2,2,2,,,,,,,,1
4780126,1,1,1,,1,3769.5944734,76,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780126,1,2,1,,1,3769.5944734,76,2018,12,201812,50,,2,4,2,2,2,2,1,10,,,,,,2,1
4780127,1,1,1,,1,2954.3065301,76,2018,12,201812,50,,1,6,2,2,2,2,1,11,,,,,,2,1
4780128,1,1,1,,1,2672.8821509,76,2018,12,201812,50,2,1,4,2,2,2,1,,,,,,,1,,1
4780129,1,1,1,,1,3076.8438585,76,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780131,1,1,1,,1,2309.1418842,76,2018,12,201812,50,1,1,6,2,2,2,1,,,,,,,1,,1
4780131,1,2,1,,1,2309.1418842,76,2018,12,201812,50,1,2,2,2,2,2,1,,,,,,,1,,1
4780133,1,1,1,,1,2136.1113331,76,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780133,1,2,1,,1,2136.1113331,76,2018,12,201812,50,,2,4,2,2,2,2,1,11,,,,,,2,1
4780133,1,3,1,,1,2136.1113331,76,2018,12,201812,50,,3,1,,,,,,,,,,,,,1
4780137,1,1,1,,1,2466.5660892,76,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780137,1,2,1,,1,2466.5660892,76,2018,12,201812,50,,2,1,,,,,,,,,,,,,1
4780137,1,3,1,,1,2466.5660892,76,2018,12,201812,50,2,3,2,2,2,2,1,,,,,,,1,,1
4780137,1,4,1,,1,2466.5660892,76,2018,12,201812,50,2,4,4,2,2,2,1,,,,,,,1,,1
4780138,1,1,1,,1,2728.5046079,76,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780138,1,2,1,,1,2728.5046079,76,2018,12,201812,50,,2,4,2,2,2,2,1,7,2,,1,2,1,1,1
4780138,1,3,1,,1,2728.5046079,76,2018,12,201812,50,,2,3,2,2,2,2,2,,,,,,,,1
4780139,1,1,1,,1,2249.3869374,76,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780139,1,5,1,,1,2249.3869374,76,2018,12,201812,50,,5,4,2,2,2,2,2,,,,,,,,1
4780143,1,1,1,,2,2176.1191287,23,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780143,1,2,1,,2,2176.1191287,23,2018,12,201812,50,,2,4,1,,,,,,,,,,,,1
4780144,1,1,1,,2,2485.2844983,23,2018,12,201812,50,,1,4,1,,,,,,,,,,,,1
4780144,1,2,1,,2,2485.2844983,23,2018,12,201812,50,,2,1,,,,,,,,,,,,,1
4780145,1,1,1,,2,1973.9824776,23,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780146,1,1,1,,2,1782.2773061,23,2018,12,201812,50,,1,4,2,2,2,2,2,,,,,,,,1
4780146,1,3,1,,2,1782.2773061,23,2018,12,201812,50,,1,6,2,2,2,2,2,,,,,,,,1
4780146,1,4,1,,2,1782.2773061,23,2018,12,201812,50,,4,1,,,,,,,,,,,,,1
4780146,1,5,1,,2,1782.2773061,23,2018,12,201812,50,,5,1,,,,,,,,,,,,,1
4780146,1,6,1,,2,1782.2773061,23,2018,12,201812,50,,6,1,,,,,,,,,,,,,1
4780147,1,1,1,,2,1201.301052,23,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780147,1,2,1,,2,1201.301052,23,2018,12,201812,50,,2,4,2,2,2,2,2,,,,,,,,1
4780148,1,1,1,,2,3519.2406639,23,2018,12,201812,50,,1,4,1,,,,,,,,,,,,1
4780148,1,2,1,,2,3519.2406639,23,2018,12,201812,50,,2,1,,,,,,,,,,,,,1
4780148,1,3,1,,2,3519.2406639,23,2018,12,201812,50,,3,1,,,,,,,,,,,,,1
4780149,1,1,1,,2,1682.677667,23,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780149,1,2,1,,2,1682.677667,23,2018,12,201812,50,,2,4,1,,,,,,,,,,,,1
4780150,1,1,1,,2,1727.3047734,23,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780150,1,2,1,,2,1727.3047734,23,2018,12,201812,50,,2,4,2,2,2,2,2,,,,,,,,1
4780151,1,1,1,05,1,631.72325765,05,2018,12,201812,50,,1,4,1,,,,,,,,,,,,1
4780151,1,2,1,05,1,631.72325765,05,2018,12,201812,50,,2,1,,,,,,,,,,,,,1
4780152,1,1,1,05,1,1167.2203006,05,2018,12,201812,50,,1,6,2,2,2,2,2,,,,,,,,1
4780152,1,2,1,05,1,1167.2203006,05,2018,12,201812,50,,2,4,2,2,2,2,1,9,,,,,,2,1
4780152,1,3,1,05,1,1167.2203006,05,2018,12,201812,50,,3,1,,,,,,,,,,,,,1
4780152,1,4,1,05,1,1167.2203006,05,2018,12,201812,50,,4,1,,,,,,,,,,,,,1
4780152,1,5,1,05,1,1167.2203006,05,2018,12,201812,50,,5,6,2,2,2,2,1,11,,,,,,2,1
4780152,1,6,1,05,1,1167.2203006,05,2018,12,201812,50,1,6,6,2,2,2,1,,,,,,,1,,1
4780153,1,1,1,05,1,1210.5415341,05,2018,12,201812,50,,1,6,2,2,2,2,2,,,,,,,,1
4780154,1,1,1,05,1,1236.3093467,05,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780154,1,2,1,05,1,1236.3093467,05,2018,12,201812,50,,2,1,,,,,,,,,,,,,1
4780154,1,3,1,05,1,1236.3093467,05,2018,12,201812,50,,3,3,2,2,2,2,1,13,,,,,,2,1
4780155,1,1,1,05,1,1202.0409744,05,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780155,1,2,1,05,1,1202.0409744,05,2018,12,201812,50,,2,6,2,2,2,2,1,3,2,,2,,,1,1
4780155,1,3,1,05,1,1202.0409744,05,2018,12,201812,50,,3,1,,,,,,,,,,,,,1
4780156,1,1,1,05,1,889.33387817,05,2018,12,201812,50,,1,4,2,2,2,2,2,,,,,,,,1
4780156,1,2,1,05,1,889.33387817,05,2018,12,201812,50,,2,1,,,,,,,,,,,,,1
4780156,1,3,1,05,1,889.33387817,05,2018,12,201812,50,,3,1,,,,,,,,,,,,,1
4780157,1,1,1,05,1,1024.3585037,05,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780157,1,2,1,05,1,1024.3585037,05,2018,12,201812,50,,2,1,,,,,,,,,,,,,1
4780158,1,1,1,05,1,1556.1998754,05,2018,12,201812,50,,1,1,,,,,,,,,,,,,1
4780158,1,2,1,05,1,1556.1998754,05,2018,12,201812,50,,2,4,2,2,2,2,2,,,,,,,,1
4780158,1,3,1,05,1,1556.1998754,05,2018,12,201812,50,,3,3,2,2,2,2,2,,,,,,,,1
4780159,1,1,1,05,1,1444.4387264,05,2018,12,201812,50,,1,4,2,2,2,2,1,11,,,,,,2,1
