DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,DSI,FEX_C,RAMA4D_D_R4,RAMA2D_D_R4,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSCY,RAMA4D_D
4731522,1,3,1,,1,1,2603.8540024,4111,41,76,2018,10,201810,70,8,50,4,2,16,4,1,2,1,,,,,,,,1,2,,550000,2,,95,95,45,1,4521
4731522,1,4,1,,1,1,2603.8540024,4771,47,76,2018,10,201810,70,24,48,1,2,52,1,3,2,1,,,,,,,,1,2,,350000,2,,45,45,52,2,5233
4731529,1,2,1,,1,1,2757.096074,4111,41,76,2018,10,201810,70,8,40,1,2,8,1,1,2,6,,,,,,,,1,2,,600000,2,,95,95,45,1,4521
4731536,1,3,1,05,1,1,1048.139986,4111,41,05,2018,10,201810,70,20,48,1,2,20,1,3,2,7,,,,,,,,1,2,,781242,2,,79,95,45,2,4530
4731536,1,4,1,05,1,1,1048.139986,4111,41,05,2018,10,201810,70,52,48,1,2,36,1,3,2,1,,,,,,,,1,2,,781242,2,,95,95,45,2,4521
4731545,1,3,1,05,1,1,775.45765392,4112,41,05,2018,10,201810,70,8,48,1,2,8,1,8,2,1,,,,,,,,1,2,,781242,2,,58,58,45,1,4521
4731546,1,1,1,05,1,1,1459.1402352,4111,41,05,2018,10,201810,70,52,24,1,2,52,1,9,2,1,,,,,,,,1,2,,300000,2,,45,95,45,2,4521
4731564,1,2,1,05,1,1,873.23444886,4111,41,05,2018,10,201810,70,26,48,1,2,28,1,8,2,2,,,,,,,,1,2,,2500000,2,,02,02,74,2,7421
4731572,1,2,1,05,1,1,1056.4068789,5221,52,05,2018,10,201810,70,12,48,1,2,60,1,9,2,2,,,,,,,,1,2,,900000,2,,39,30,63,1,6331
4731604,1,2,1,05,1,1,1095.7825806,5630,56,05,2018,10,201810,70,24,48,3,2,104,5,2,2,1,,,,,,,,1,2,,781242,2,,54,51,55,2,5530
4731615,1,1,1,05,1,1,1372.8917864,9700,97,05,2018,10,201810,70,65,48,3,2,99,3,1,2,1,,,,,,,,1,2,,781242,2,,54,54,95,2,9500
4731615,1,2,1,05,1,1,1372.8917864,8299,82,05,2018,10,201810,70,4,48,1,2,5,1,3,2,1,,,,,,,,1,2,,781242,2,,53,39,74,1,7499
4731617,1,2,1,05,1,1,1465.4406245,4111,41,05,2018,10,201810,70,16,48,1,2,16,1,2,2,1,,,,,,,,1,1,150000,820000,2,,95,95,45,2,4521
4731623,1,2,1,05,1,1,1282.2867929,2100,21,05,2018,10,201810,70,12,48,1,2,12,1,7,2,1,,,,,,,,1,2,,781242,2,,58,45,52,1,5231
4731629,1,2,1,05,1,1,1291.9444197,6190,61,05,2018,10,201810,70,208,48,1,2,202,1,9,2,1,,,,,,,,1,2,,2000000,2,,21,39,64,2,6421
4731629,1,3,1,05,1,1,1291.9444197,,,05,2018,10,201810,70,24,24,1,1,,,,,,,,,,,,,,,,900000,,,38,,,2,
4731630,1,2,1,05,1,1,1593.9146431,8692,86,05,2018,10,201810,70,52,48,1,2,102,1,8,2,2,,,,,,,,1,2,,800000,2,,33,32,85,2,8515
4731633,1,1,1,05,1,1,1684.9801344,4321,43,05,2018,10,201810,70,52,48,1,2,12,4,1,2,2,,,,,,,,1,2,,1200000,2,,85,85,45,2,4552
4731633,1,2,1,05,1,1,1684.9801344,1410,14,05,2018,10,201810,70,52,48,1,2,52,1,3,2,4,1,,,,,,,,2,,1000000,1,2,38,79,18,2,1810
4731636,1,3,1,05,1,1,1338.4606943,8413,84,05,2018,10,201810,70,35,48,2,2,36,2,9,2,1,,,,,,,,1,2,,2000000,2,,12,12,75,2,7512
4731636,1,4,1,05,1,1,1338.4606943,8220,82,05,2018,10,201810,70,6,24,1,2,8,1,9,2,2,,,,,,,,1,2,,1000000,2,,38,38,74,1,7499
4731639,1,2,1,05,1,1,1126.5341055,8890,88,05,2018,10,201810,70,24,48,1,2,300,1,9,2,2,,,,,,,,1,2,,781242,2,,55,54,85,2,8532
4731643,1,2,1,05,1,1,1253.5593991,4921,49,05,2018,10,201810,70,8,48,1,2,8,1,9,2,1,,,,,,,,1,2,,1000000,2,,38,45,60,1,6031
4731643,1,3,1,05,1,1,1253.5593991,5911,59,05,2018,10,201810,70,24,48,1,2,24,1,8,2,1,,,,,,,,1,2,,781242,2,,16,16,92,2,9212
4731652,1,2,1,05,1,1,1276.9295471,5611,56,05,2018,10,201810,70,102,48,1,2,102,1,4,2,1,,,,,,,,1,2,,781242,2,,53,53,55,2,5521
4731660,1,3,1,08,1,1,344.58363001,4711,47,08,2018,10,201810,70,68,48,1,2,68,1,9,2,1,,,,,,,,1,2,,2500000,2,,30,30,52,2,5211
4731667,1,3,1,08,1,1,625.0017255,6010,60,08,2018,10,201810,70,52,48,1,2,52,1,6,2,1,,,,,,,,1,2,,781242,1,2,86,86,92,2,9213
4731667,1,4,1,08,1,1,625.0017255,8551,85,08,2018,10,201810,70,32,48,1,2,52,1,9,2,1,,,,,,,,1,2,,2500000,2,,21,44,80,2,8060
4731674,1,1,1,13,1,1,408.24615583,5611,56,13,2018,10,201810,70,24,40,1,2,40,1,5,2,2,,,,,,1,,,2,,781242,2,,53,53,15,2,1589
4731674,1,3,1,13,1,1,408.24615583,5320,53,13,2018,10,201810,70,16,48,1,2,24,1,9,2,4,,,,,,,,1,2,,800000,2,,37,37,64,2,6412
4731686,1,1,1,13,1,1,469.19161851,6511,65,13,2018,10,201810,70,25,48,1,2,25,1,9,2,1,,,,,,,,1,2,,900000,2,,44,44,66,2,6601
4731692,1,3,1,13,1,1,161.57129782,4921,49,13,2018,10,201810,70,36,48,1,2,36,1,8,2,1,,,,,,,,1,2,,1000000,2,,58,58,60,2,6021
4731706,1,2,1,13,1,1,314.92873697,,,13,2018,10,201810,70,20,48,1,1,,,,,,,,,,,,,,,,98,,,12,,,2,
4731716,1,2,1,13,1,1,402.07414942,4771,47,13,2018,10,201810,70,1,48,1,2,1,1,9,2,1,,,,,,,,1,1,781242,850000,2,,59,59,52,1,5231
4731719,1,2,1,13,1,1,773.23535858,9700,97,13,2018,10,201810,70,2,40,3,2,2,3,1,2,1,,,,,,,,1,1,300000,400000,2,,54,54,95,1,9500
4731721,1,3,1,13,1,1,323.14259564,9700,97,13,2018,10,201810,70,4,40,1,2,4,3,1,2,1,,,,,,,,1,1,150000,781242,2,,54,54,95,1,9500
4731729,1,5,1,15,1,1,59.800176941,,,15,2018,10,201810,70,12,48,1,1,,,,,,,,,,,,,,,,1500000,,,12,,,1,
4731729,1,7,1,15,1,1,59.800176941,6201,62,15,2018,10,201810,70,12,48,1,2,12,1,4,2,3,,,,,,,,1,2,,1500000,2,,08,08,74,1,7492
4731731,1,1,1,15,1,1,123.75992989,4719,47,15,2018,10,201810,70,24,48,1,2,108,1,2,2,4,,,,,,,,1,2,,781242,2,,45,45,52,2,5231
4731732,1,4,1,15,1,1,95.649400181,,,15,2018,10,201810,70,28,48,1,1,,,,,,,,,,,,,,,,850000,,,45,,,2,
4731734,1,1,1,15,1,1,58.440606555,4771,47,15,2018,10,201810,70,3,48,1,2,4,1,6,2,1,,,,,,,,1,1,781200,781200,2,,45,45,52,1,5233
4731743,1,1,1,15,1,1,55.518388272,7010,70,15,2018,10,201810,70,36,20,1,2,96,1,9,2,1,,,,,,,1,,2,,1500000,3,,21,13,74,2,7414
4731759,1,5,1,15,1,1,47.595499134,4711,47,15,2018,10,201810,70,28,48,1,2,28,1,5,2,7,,,,,,,,1,2,,781242,2,,45,45,52,2,5211
4731764,1,5,1,15,1,1,109.78904035,4731,47,15,2018,10,201810,70,1,48,1,2,1,1,3,2,2,,,,,,,,1,1,781242,781242,2,,45,45,50,1,5051
4731765,1,1,1,15,1,1,237.41733981,4111,41,15,2018,10,201810,70,8,48,1,2,32,1,7,2,1,,,,,,,,1,2,,781242,2,,95,97,45,1,4521
4731774,1,3,1,15,1,1,96.120800189,8513,85,15,2018,10,201810,70,18,40,2,2,37,1,4,2,1,,,,,,,,1,2,,781200,2,,13,13,80,2,8021
4731780,1,2,1,15,1,1,101.67537506,4921,49,15,2018,10,201810,70,12,48,4,2,12,4,1,2,1,,,,,,,,1,2,,781242,2,,98,98,60,1,6031
4731784,1,2,1,15,1,1,95.190998269,8610,86,15,2018,10,201810,70,35,40,1,2,35,1,9,2,7,,,,,,,,1,2,,5000000,2,,21,06,85,2,8511
4731794,1,1,1,15,1,1,79.466383812,5611,56,15,2018,10,201810,70,3,48,1,2,3,1,2,2,1,,,,,,,,1,1,200000,781242,2,,37,37,55,1,5521
4731800,1,3,1,15,1,1,156.38886354,8890,88,15,2018,10,201810,70,108,48,2,2,108,1,5,2,4,,1,,,,,,,2,,1400000,1,1,13,16,85,2,8532
4731801,1,6,1,15,1,1,103.55304641,5611,56,15,2018,10,201810,70,4,48,3,2,4,1,2,2,3,,,,,,,,1,1,98,781242,2,,54,51,55,1,5521
4731811,1,2,1,15,1,1,70.026080761,4210,42,15,2018,10,201810,70,30,48,1,2,65,1,9,2,2,,,,,,,,1,2,,1800000,2,,98,98,45,2,4530
4731816,1,1,1,17,1,1,195.14077059,6499,64,17,2018,10,201810,70,3,48,1,2,4,1,2,2,4,,,,,,,,1,1,500000,781242,2,,45,49,65,1,6599
4731836,1,2,1,17,1,1,214.67608839,7500,75,17,2018,10,201810,70,60,48,4,2,60,1,6,2,1,,,1,,,,,,2,,3000000,2,,06,06,85,2,8520
4731840,1,9,1,17,1,1,355.77594292,4210,42,17,2018,10,201810,70,5,48,1,2,5,2,9,2,2,1,,,,,,,,2,,2500000,1,1,95,95,45,1,4530
4731850,1,1,1,17,1,1,256.7193659,,,17,2018,10,201810,70,8,48,1,1,,,,,,,,,,,,,,,,781242,,,45,,,1,
4731852,1,3,1,17,1,1,239.77457377,4330,43,17,2018,10,201810,70,3,48,1,2,3,1,2,2,1,,,,,,,,1,1,600000,800000,2,,93,93,45,1,4552
4731855,1,2,1,17,1,1,295.53451108,6110,61,17,2018,10,201810,70,2,48,1,2,3,1,9,2,2,,,,,,,,1,1,700000,781242,2,,38,38,64,1,6421
4731857,1,4,1,17,1,1,280.96720059,6120,61,17,2018,10,201810,70,36,48,1,2,36,1,9,2,1,,,,,,,,1,2,,781242,2,,33,45,64,2,6421
4731860,1,1,1,17,1,1,207.29653926,5611,56,17,2018,10,201810,70,3,16,1,2,52,1,2,2,1,,,,,,,,1,2,,240000,2,,77,77,55,1,5521
4731891,1,1,1,17,1,1,228.0083261,9200,92,17,2018,10,201810,70,240,48,1,2,240,4,1,2,2,,,,,,,,1,2,,781242,2,,77,45,92,2,9242
4731891,1,2,1,17,1,1,228.0083261,9700,97,17,2018,10,201810,70,36,48,1,2,36,1,1,2,2,,,,,,,,1,2,,700000,2,,54,54,95,2,9500
4731892,1,2,1,17,1,1,203.28362339,1410,14,17,2018,10,201810,70,6,48,1,2,60,1,9,2,1,,,,,,,,1,2,,781242,2,,45,79,18,1,1810
4731897,1,2,1,17,1,1,325.43069587,8810,88,17,2018,10,201810,70,48,72,1,2,48,4,1,2,1,,,,,,,,1,2,,900000,2,,59,54,85,2,8531
4731898,3,1,3,17,1,1,238.46317352,4111,41,17,2018,10,201810,70,8,60,1,2,16,1,9,2,1,,,,,,,,1,2,,781242,2,,95,95,45,1,4521
4731899,1,1,1,17,1,1,246.22825174,4921,49,17,2018,10,201810,70,4,48,4,2,8,4,1,2,1,,,,,,,1,,2,,781242,3,,98,98,60,1,6031
4731899,1,4,1,17,1,1,246.22825174,4520,45,17,2018,10,201810,70,1,48,1,2,4,1,3,2,1,,,,,,,,1,2,,781242,2,,99,99,50,1,5020
4731916,1,3,1,17,1,1,196.99408947,7310,73,17,2018,10,201810,70,40,48,1,2,40,4,6,2,8,,,,,,,,1,2,,1200000,2,,16,16,74,2,7430
4731916,1,4,1,17,1,1,196.99408947,9700,97,17,2018,10,201810,70,32,48,1,2,32,3,1,2,1,,1,,,,,,,2,,1400000,1,1,59,59,95,2,9500
4731917,1,2,1,17,1,1,203.28362339,8621,86,17,2018,10,201810,70,12,48,1,2,12,1,9,2,2,,,,,,,,1,2,,1500000,2,,11,11,85,1,8512
4731925,1,1,1,17,1,1,201.70140855,0141,01,17,2018,10,201810,70,16,48,1,2,16,1,4,2,1,,,,,1,,,,2,,1500000,2,,59,59,01,2,0121
4731938,1,2,1,18,1,1,73.22895048,8423,84,18,2018,10,201810,70,8,48,1,2,8,2,9,2,1,,,,,,,,1,2,,750000,2,,58,58,75,1,7524
4731939,1,1,1,18,1,1,75.41769488,4111,41,18,2018,10,201810,70,12,50,4,2,12,4,1,2,1,,,,,,,,1,2,,1800000,2,,95,95,45,1,4521
4731943,1,2,1,18,1,1,44.3474681,0161,01,18,2018,10,201810,70,2,40,4,2,2,4,1,2,1,,,,,,,,1,1,500000,500000,2,,61,61,01,1,0140
4731945,1,2,1,18,1,1,70.293564264,4111,41,18,2018,10,201810,70,12,48,1,2,12,1,3,2,4,,,,,,,,1,2,,800000,2,,95,95,45,1,4521
4731952,1,2,1,18,1,1,137.53080002,,,18,2018,10,201810,70,24,48,1,1,,,,,,,,,,,,,,,,800000,,,53,,,2,
4731952,1,4,1,18,1,1,137.53080002,4711,47,18,2018,10,201810,70,4,48,1,2,208,1,1,2,1,,,,,,,,1,2,,800000,2,,45,45,52,1,5211
4731968,1,3,1,18,1,1,95.399167802,5320,53,18,2018,10,201810,70,8,48,1,2,8,1,9,2,7,,,,,,,,1,2,,1000000,2,,97,97,64,1,6412
4731980,1,3,1,19,1,1,121.70623048,9602,96,19,2018,10,201810,70,8,45,1,2,48,4,1,2,1,,,,,,,,1,2,,782000,2,,57,57,93,1,9302
4731986,1,4,1,19,1,1,134.37209802,4771,47,19,2018,10,201810,70,96,48,1,2,144,1,3,2,4,,,,,,,,1,2,,98,2,,02,45,52,2,5233
4731991,1,3,1,19,1,1,131.67675113,,,19,2018,10,201810,70,96,45,1,1,,,,,,,,,,,,,,,,98,,,39,,,2,
4731992,1,2,1,19,1,1,112.02990338,7490,74,19,2018,10,201810,70,24,48,4,2,24,4,1,2,4,,,,,,,,1,2,,781242,2,,03,03,73,2,7310
4731999,1,2,1,19,1,1,107.46045094,5611,56,19,2018,10,201810,70,8,45,1,2,8,4,3,2,1,,,,,,,,1,2,,782000,2,,53,53,55,1,5521
4732001,1,1,1,19,1,1,135.69993824,4792,47,19,2018,10,201810,70,24,48,3,2,48,4,1,2,8,,,,,,,,1,2,,781242,2,,55,45,52,2,5261
4732004,1,1,1,19,1,1,133.15334531,,,19,2018,10,201810,70,4,24,4,1,,,,,,,,,,,,,,,,98,,,53,,,1,
4732008,1,2,1,19,1,1,114.03005583,8010,80,19,2018,10,201810,70,60,48,1,2,2,4,1,2,1,,,,,,,,1,1,60000,781212,2,,58,58,74,2,7492
4732010,1,2,1,19,1,1,113.06085003,5611,56,19,2018,10,201810,70,4,40,4,2,6,4,3,2,1,,,,,,,,1,1,400000,400000,2,,41,53,55,1,5521
4732023,1,3,1,19,1,1,252.47238054,,,19,2018,10,201810,70,1,48,1,1,,,,,,,,,,,,,,,,99,,,09,,,1,
4732030,1,3,1,19,1,1,122.90233515,4771,47,19,2018,10,201810,70,12,48,1,2,12,1,4,2,2,,,,,,,,1,2,,781242,2,,53,45,52,1,5233
4732034,1,3,1,19,1,1,143.91544506,7310,73,19,2018,10,201810,70,48,24,1,2,72,1,4,2,2,,,,,,,,1,2,,781000,2,,33,33,74,2,7430
4732063,1,3,1,20,1,1,88.266949153,4210,42,20,2018,10,201810,70,28,48,1,2,36,1,9,2,1,,,,,,,,1,2,,781300,2,,03,39,45,2,4530
4732064,1,2,1,20,1,1,103.23214989,6110,61,20,2018,10,201810,70,16,48,1,2,97,4,1,2,1,,,,,,,,1,2,,781300,2,,32,38,64,2,6421
