DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4731562,1,2,1,05,1,1,1365.9999073,05,2018,10,201810,80,1,4,7,2,,,11,1,4,2,,,,,1
4731565,1,2,1,05,1,1,1130.7237451,05,2018,10,201810,80,1,2,8,2,,,2,2,,2,,,,,2
4731572,1,3,1,05,1,1,1056.4068789,05,2018,10,201810,80,1,2,1,1,,1,9,1,,2,,2,,800000,2
4731574,1,1,1,05,1,1,1511.9486385,05,2018,10,201810,80,1,4,5,2,,,10,3,,2,,,,,3
4731574,1,2,1,05,1,1,1511.9486385,05,2018,10,201810,80,1,4,3,2,,,9,2,,2,,,,,2
4731574,1,3,1,05,1,1,1511.9486385,05,2018,10,201810,80,2,,,,2,,,2,,2,,,,,2
4731575,1,1,1,05,1,1,981.19121137,05,2018,10,201810,80,1,4,3,2,,,9,2,,2,,,,,2
4731575,1,3,1,05,1,1,981.19121137,05,2018,10,201810,80,1,4,1,2,,,8,2,,2,,,,,2
4731575,1,4,1,05,1,1,981.19121137,05,2018,10,201810,80,1,4,5,2,,,10,3,,2,,,,,3
4731579,1,1,1,05,1,1,1703.0801242,05,2018,10,201810,80,1,4,5,2,,,10,3,,2,,,,,3
4731579,1,2,1,05,1,1,1703.0801242,05,2018,10,201810,80,2,,,,2,,,2,,2,,,,,2
4731585,1,2,1,05,1,1,1023.456796,05,2018,10,201810,80,2,,,,1,4,9,2,,2,,,,,2
4731586,1,3,1,05,1,1,916.65465243,05,2018,10,201810,80,2,,,,2,,,2,,2,,,,,2
4731591,1,2,1,05,1,1,1130.0043227,05,2018,10,201810,80,1,4,5,2,,,10,3,,2,,,,,3
4731592,1,1,1,05,1,1,1285.0525405,05,2018,10,201810,80,1,4,5,2,,,10,3,,2,,,,,3
4731592,1,2,1,05,1,1,1285.0525405,05,2018,10,201810,80,2,,,,2,,,2,,2,,,,,2
4731592,1,3,1,05,1,1,1285.0525405,05,2018,10,201810,80,1,4,4,2,,,8,2,,2,,,,,2
4731593,1,1,1,05,1,1,1511.9486385,05,2018,10,201810,80,1,4,5,2,,,10,3,,2,,,,,3
4731593,1,2,1,05,1,1,1511.9486385,05,2018,10,201810,80,1,4,3,2,,,9,2,,2,,,,,2
4731593,1,3,1,05,1,1,1511.9486385,05,2018,10,201810,80,2,,,,2,,,2,,2,,,,,2
4731595,1,2,1,05,1,1,1168.3893433,05,2018,10,201810,80,1,4,3,2,,,9,2,,2,,,,,2
4731596,1,1,1,05,1,1,1327.6148868,05,2018,10,201810,80,1,4,7,2,,,4,2,,2,,,,,2
4731596,1,2,1,05,1,1,1327.6148868,05,2018,10,201810,80,1,4,7,2,,,9,2,,2,,,,,2
4731600,1,1,1,05,1,1,1121.0835251,05,2018,10,201810,80,2,,,,2,,,2,,2,,,,,2
4731602,1,2,1,05,1,1,1506.2847472,05,2018,10,201810,80,2,,,,2,,,2,,2,,,,,2
4731602,1,3,1,05,1,1,1506.2847472,05,2018,10,201810,80,2,,,,2,,,2,,2,,,,,2
4731605,1,1,1,05,1,1,1561.2433407,05,2018,10,201810,80,1,4,7,1,,2,1,2,,2,,,,,2
4731606,1,1,1,05,1,1,1665.5782622,05,2018,10,201810,80,1,2,3,2,,,9,2,,2,,2,,781242,2
4731607,1,1,1,05,1,1,1246.3707584,05,2018,10,201810,80,1,4,8,2,,,9,3,,2,,,,,3
4731607,1,2,1,05,1,1,1246.3707584,05,2018,10,201810,80,1,4,5,2,,,10,3,,2,,,,,3
4731609,1,4,1,05,1,1,1239.9932515,05,2018,10,201810,80,1,4,4,2,,,4,2,,2,,,,,2
4731610,1,2,1,05,1,1,1827.9175506,05,2018,10,201810,80,1,4,3,2,,,9,2,,2,,,,,2
